TV: 2026-05-23 22:13:00 -> 2026-05-30 20:51:00, 1032 rows
TV entries: 516
Fetching Binance data: 2026-05-22 22:13:00 -> 2026-05-31 20:51:00
拉取 ETH/USDT:USDT 1m K线, 最近 30 天...
  获取 43201 根K线, 2026-04-30 12:58:00 → 2026-05-30 12:58:00
Binance bars in range: 10966
Python trades: 122

TV entry               Dir    Python entry           Diff(min)  Match
2026-05-24 16:13:00    SHORT  2026-05-24 17:15:00    +62.0  OFF(62m)
2026-05-24 16:25:00    LONG   2026-05-24 15:00:00    +85.0  OFF(85m)
2026-05-24 16:40:00    SHORT  2026-05-24 17:15:00    +35.0  OFF(35m)
2026-05-24 17:13:00    LONG   2026-05-24 15:00:00    +133.0  OFF(133m)
2026-05-24 17:31:00    SHORT  2026-05-24 17:15:00    +16.0  OFF(16m)
2026-05-24 17:40:00    LONG   2026-05-24 15:00:00    +160.0  OFF(160m)
2026-05-24 18:07:00    SHORT  2026-05-24 17:15:00    +52.0  OFF(52m)
2026-05-24 18:28:00    LONG   2026-05-24 21:00:00    +152.0  OFF(152m)
2026-05-24 18:37:00    SHORT  2026-05-24 17:15:00    +82.0  OFF(82m)
2026-05-24 18:58:00    LONG   2026-05-24 21:00:00    +122.0  OFF(122m)
2026-05-24 19:43:00    SHORT  2026-05-24 21:45:00    +122.0  OFF(122m)
2026-05-24 19:58:00    LONG   2026-05-24 21:00:00    +62.0  OFF(62m)
2026-05-24 20:07:00    SHORT  2026-05-24 21:45:00    +98.0  OFF(98m)
2026-05-24 20:43:00    LONG   2026-05-24 21:00:00    +17.0  OFF(17m)
2026-05-24 20:55:00    SHORT  2026-05-24 21:45:00    +50.0  OFF(50m)
2026-05-24 21:22:00    LONG   2026-05-24 21:00:00    +22.0  OFF(22m)
2026-05-24 21:31:00    SHORT  2026-05-24 21:45:00    +14.0  OFF(14m)
2026-05-24 21:37:00    LONG   2026-05-24 21:00:00    +37.0  OFF(37m)
2026-05-24 21:52:00    SHORT  2026-05-24 21:45:00    +7.0  OFF(7m)
2026-05-24 22:10:00    LONG   2026-05-24 23:15:00    +65.0  OFF(65m)
2026-05-24 22:16:00    SHORT  2026-05-24 21:45:00    +31.0  OFF(31m)
2026-05-24 22:34:00    LONG   2026-05-24 23:15:00    +41.0  OFF(41m)
2026-05-24 23:10:00    SHORT  2026-05-25 00:00:00    +50.0  OFF(50m)
2026-05-24 23:16:00    LONG   2026-05-24 23:15:00    +1.0  OK
2026-05-24 23:22:00    SHORT  2026-05-25 00:00:00    +38.0  OFF(38m)
2026-05-24 23:55:00    LONG   2026-05-24 23:15:00    +40.0  OFF(40m)
2026-05-25 00:31:00    SHORT  2026-05-25 00:00:00    +31.0  OFF(31m)
2026-05-25 00:52:00    LONG   2026-05-25 01:30:00    +38.0  OFF(38m)
2026-05-25 01:19:00    SHORT  2026-05-25 02:15:00    +56.0  OFF(56m)
2026-05-25 01:37:00    LONG   2026-05-25 01:30:00    +7.0  OFF(7m)
2026-05-25 01:52:00    SHORT  2026-05-25 02:15:00    +23.0  OFF(23m)
2026-05-25 02:19:00    LONG   2026-05-25 03:00:00    +41.0  OFF(41m)
2026-05-25 02:25:00    SHORT  2026-05-25 02:15:00    +10.0  OFF(10m)
2026-05-25 02:43:00    LONG   2026-05-25 03:00:00    +17.0  OFF(17m)
2026-05-25 02:55:00    SHORT  2026-05-25 02:15:00    +40.0  OFF(40m)
2026-05-25 03:01:00    LONG   2026-05-25 03:00:00    +1.0  OK
2026-05-25 03:16:00    SHORT  2026-05-25 03:45:00    +29.0  OFF(29m)
2026-05-25 03:46:00    LONG   2026-05-25 04:30:00    +44.0  OFF(44m)
2026-05-25 04:04:00    SHORT  2026-05-25 03:45:00    +19.0  OFF(19m)
2026-05-25 04:34:00    LONG   2026-05-25 04:30:00    +4.0  OFF(4m)
2026-05-25 04:55:00    SHORT  2026-05-25 06:00:00    +65.0  OFF(65m)
2026-05-25 05:04:00    LONG   2026-05-25 04:30:00    +34.0  OFF(34m)
2026-05-25 05:31:00    SHORT  2026-05-25 06:00:00    +29.0  OFF(29m)
2026-05-25 05:58:00    LONG   2026-05-25 04:30:00    +88.0  OFF(88m)
2026-05-25 06:31:00    SHORT  2026-05-25 06:00:00    +31.0  OFF(31m)
2026-05-25 06:49:00    LONG   2026-05-25 04:30:00    +139.0  OFF(139m)
2026-05-25 06:58:00    SHORT  2026-05-25 06:00:00    +58.0  OFF(58m)
2026-05-25 07:13:00    LONG   2026-05-25 09:45:00    +152.0  OFF(152m)
2026-05-25 07:28:00    SHORT  2026-05-25 06:00:00    +88.0  OFF(88m)
2026-05-25 07:37:00    LONG   2026-05-25 09:45:00    +128.0  OFF(128m)
2026-05-25 08:01:00    SHORT  2026-05-25 06:00:00    +121.0  OFF(121m)
2026-05-25 08:07:00    LONG   2026-05-25 09:45:00    +98.0  OFF(98m)
2026-05-25 08:22:00    SHORT  2026-05-25 06:00:00    +142.0  OFF(142m)
2026-05-25 08:28:00    LONG   2026-05-25 09:45:00    +77.0  OFF(77m)
2026-05-25 08:49:00    SHORT  2026-05-25 11:15:00    +146.0  OFF(146m)
2026-05-25 09:19:00    LONG   2026-05-25 09:45:00    +26.0  OFF(26m)
2026-05-25 09:31:00    SHORT  2026-05-25 11:15:00    +104.0  OFF(104m)
2026-05-25 10:10:00    LONG   2026-05-25 09:45:00    +25.0  OFF(25m)
2026-05-25 10:22:00    SHORT  2026-05-25 11:15:00    +53.0  OFF(53m)
2026-05-25 10:49:00    LONG   2026-05-25 09:45:00    +64.0  OFF(64m)
2026-05-25 11:01:00    SHORT  2026-05-25 11:15:00    +14.0  OFF(14m)
2026-05-25 11:22:00    LONG   2026-05-25 12:45:00    +83.0  OFF(83m)
2026-05-25 11:28:00    SHORT  2026-05-25 11:15:00    +13.0  OFF(13m)
2026-05-25 11:40:00    LONG   2026-05-25 12:45:00    +65.0  OFF(65m)
2026-05-25 11:52:00    SHORT  2026-05-25 11:15:00    +37.0  OFF(37m)
2026-05-25 11:58:00    LONG   2026-05-25 12:45:00    +47.0  OFF(47m)
2026-05-25 12:10:00    SHORT  2026-05-25 11:15:00    +55.0  OFF(55m)
2026-05-25 12:25:00    LONG   2026-05-25 12:45:00    +20.0  OFF(20m)
2026-05-25 13:25:00    SHORT  2026-05-25 13:30:00    +5.0  OFF(5m)
2026-05-25 13:40:00    LONG   2026-05-25 14:15:00    +35.0  OFF(35m)
2026-05-25 13:55:00    SHORT  2026-05-25 13:30:00    +25.0  OFF(25m)
2026-05-25 14:34:00    LONG   2026-05-25 14:15:00    +19.0  OFF(19m)
2026-05-25 15:16:00    SHORT  2026-05-25 15:45:00    +29.0  OFF(29m)
2026-05-25 15:37:00    LONG   2026-05-25 14:15:00    +82.0  OFF(82m)
2026-05-25 16:13:00    SHORT  2026-05-25 15:45:00    +28.0  OFF(28m)
2026-05-25 16:34:00    LONG   2026-05-25 14:15:00    +139.0  OFF(139m)
2026-05-25 17:22:00    SHORT  2026-05-25 15:45:00    +97.0  OFF(97m)
2026-05-25 17:31:00    LONG   2026-05-25 19:30:00    +119.0  OFF(119m)
2026-05-25 17:40:00    SHORT  2026-05-25 15:45:00    +115.0  OFF(115m)
2026-05-25 18:13:00    LONG   2026-05-25 19:30:00    +77.0  OFF(77m)
2026-05-25 18:25:00    SHORT  2026-05-25 20:15:00    +110.0  OFF(110m)
2026-05-25 18:52:00    LONG   2026-05-25 19:30:00    +38.0  OFF(38m)
2026-05-25 19:07:00    SHORT  2026-05-25 20:15:00    +68.0  OFF(68m)
2026-05-25 19:13:00    LONG   2026-05-25 19:30:00    +17.0  OFF(17m)
2026-05-25 19:19:00    SHORT  2026-05-25 20:15:00    +56.0  OFF(56m)
2026-05-25 19:34:00    LONG   2026-05-25 19:30:00    +4.0  OFF(4m)
2026-05-25 19:52:00    SHORT  2026-05-25 20:15:00    +23.0  OFF(23m)
2026-05-25 20:16:00    LONG   2026-05-25 19:30:00    +46.0  OFF(46m)
2026-05-25 20:43:00    SHORT  2026-05-25 20:15:00    +28.0  OFF(28m)
2026-05-25 20:58:00    LONG   2026-05-25 19:30:00    +88.0  OFF(88m)
2026-05-25 21:16:00    SHORT  2026-05-25 20:15:00    +61.0  OFF(61m)
2026-05-25 21:37:00    LONG   2026-05-25 23:15:00    +98.0  OFF(98m)
2026-05-25 22:43:00    SHORT  2026-05-26 00:00:00    +77.0  OFF(77m)
2026-05-25 22:52:00    LONG   2026-05-25 23:15:00    +23.0  OFF(23m)
2026-05-25 23:19:00    SHORT  2026-05-26 00:00:00    +41.0  OFF(41m)
2026-05-25 23:40:00    LONG   2026-05-25 23:15:00    +25.0  OFF(25m)
2026-05-25 23:46:00    SHORT  2026-05-26 00:00:00    +14.0  OFF(14m)
2026-05-25 23:58:00    LONG   2026-05-25 23:15:00    +43.0  OFF(43m)
2026-05-26 00:19:00    SHORT  2026-05-26 00:00:00    +19.0  OFF(19m)
2026-05-26 00:28:00    LONG   2026-05-26 01:30:00    +62.0  OFF(62m)
2026-05-26 01:10:00    SHORT  2026-05-26 02:15:00    +65.0  OFF(65m)
2026-05-26 01:31:00    LONG   2026-05-26 01:30:00    +1.0  OK
2026-05-26 01:40:00    SHORT  2026-05-26 02:15:00    +35.0  OFF(35m)
2026-05-26 02:07:00    LONG   2026-05-26 01:30:00    +37.0  OFF(37m)
2026-05-26 02:19:00    SHORT  2026-05-26 02:15:00    +4.0  OFF(4m)
2026-05-26 03:16:00    LONG   2026-05-26 03:00:00    +16.0  OFF(16m)
2026-05-26 03:22:00    SHORT  2026-05-26 03:45:00    +23.0  OFF(23m)
2026-05-26 03:28:00    LONG   2026-05-26 03:00:00    +28.0  OFF(28m)
2026-05-26 03:37:00    SHORT  2026-05-26 03:45:00    +8.0  OFF(8m)
2026-05-26 03:49:00    LONG   2026-05-26 04:30:00    +41.0  OFF(41m)
2026-05-26 04:19:00    SHORT  2026-05-26 03:45:00    +34.0  OFF(34m)
2026-05-26 05:07:00    LONG   2026-05-26 04:30:00    +37.0  OFF(37m)
2026-05-26 05:22:00    SHORT  2026-05-26 03:45:00    +97.0  OFF(97m)
2026-05-26 05:31:00    LONG   2026-05-26 04:30:00    +61.0  OFF(61m)
2026-05-26 06:31:00    SHORT  2026-05-26 08:15:00    +104.0  OFF(104m)
2026-05-26 06:46:00    LONG   2026-05-26 04:30:00    +136.0  OFF(136m)
2026-05-26 07:04:00    SHORT  2026-05-26 08:15:00    +71.0  OFF(71m)
2026-05-26 07:10:00    LONG   2026-05-26 04:30:00    +160.0  OFF(160m)
2026-05-26 07:28:00    SHORT  2026-05-26 08:15:00    +47.0  OFF(47m)
2026-05-26 07:34:00    LONG   2026-05-26 10:30:00    +176.0  OFF(176m)
2026-05-26 08:13:00    SHORT  2026-05-26 08:15:00    +2.0  CLOSE
2026-05-26 09:01:00    LONG   2026-05-26 10:30:00    +89.0  OFF(89m)
2026-05-26 09:07:00    SHORT  2026-05-26 08:15:00    +52.0  OFF(52m)
2026-05-26 09:13:00    LONG   2026-05-26 10:30:00    +77.0  OFF(77m)
2026-05-26 09:28:00    SHORT  2026-05-26 08:15:00    +73.0  OFF(73m)
2026-05-26 09:52:00    LONG   2026-05-26 10:30:00    +38.0  OFF(38m)
2026-05-26 10:04:00    SHORT  2026-05-26 11:15:00    +71.0  OFF(71m)
2026-05-26 10:52:00    LONG   2026-05-26 10:30:00    +22.0  OFF(22m)
2026-05-26 11:01:00    SHORT  2026-05-26 11:15:00    +14.0  OFF(14m)
2026-05-26 11:25:00    LONG   2026-05-26 10:30:00    +55.0  OFF(55m)
2026-05-26 11:49:00    SHORT  2026-05-26 11:15:00    +34.0  OFF(34m)
2026-05-26 11:55:00    LONG   2026-05-26 12:45:00    +50.0  OFF(50m)
2026-05-26 12:07:00    SHORT  2026-05-26 11:15:00    +52.0  OFF(52m)
2026-05-26 12:31:00    LONG   2026-05-26 12:45:00    +14.0  OFF(14m)
2026-05-26 12:52:00    SHORT  2026-05-26 13:30:00    +38.0  OFF(38m)
2026-05-26 13:13:00    LONG   2026-05-26 12:45:00    +28.0  OFF(28m)
2026-05-26 13:52:00    SHORT  2026-05-26 13:30:00    +22.0  OFF(22m)
2026-05-26 14:10:00    LONG   2026-05-26 14:15:00    +5.0  OFF(5m)
2026-05-26 14:25:00    SHORT  2026-05-26 15:00:00    +35.0  OFF(35m)
2026-05-26 14:40:00    LONG   2026-05-26 14:15:00    +25.0  OFF(25m)
2026-05-26 15:04:00    SHORT  2026-05-26 15:00:00    +4.0  OFF(4m)
2026-05-26 15:25:00    LONG   2026-05-26 15:45:00    +20.0  OFF(20m)
2026-05-26 15:37:00    SHORT  2026-05-26 15:00:00    +37.0  OFF(37m)
2026-05-26 15:46:00    LONG   2026-05-26 15:45:00    +1.0  OK
2026-05-26 16:01:00    SHORT  2026-05-26 15:00:00    +61.0  OFF(61m)
2026-05-26 16:16:00    LONG   2026-05-26 15:45:00    +31.0  OFF(31m)
2026-05-26 16:34:00    SHORT  2026-05-26 17:15:00    +41.0  OFF(41m)
2026-05-26 16:43:00    LONG   2026-05-26 15:45:00    +58.0  OFF(58m)
2026-05-26 17:04:00    SHORT  2026-05-26 17:15:00    +11.0  OFF(11m)
2026-05-26 17:22:00    LONG   2026-05-26 18:00:00    +38.0  OFF(38m)
2026-05-26 17:40:00    SHORT  2026-05-26 17:15:00    +25.0  OFF(25m)
2026-05-26 17:58:00    LONG   2026-05-26 18:00:00    +2.0  CLOSE
2026-05-26 18:07:00    SHORT  2026-05-26 18:45:00    +38.0  OFF(38m)
2026-05-26 18:13:00    LONG   2026-05-26 18:00:00    +13.0  OFF(13m)
2026-05-26 18:52:00    SHORT  2026-05-26 18:45:00    +7.0  OFF(7m)
2026-05-26 19:46:00    LONG   2026-05-26 19:30:00    +16.0  OFF(16m)
2026-05-26 20:01:00    SHORT  2026-05-26 18:45:00    +76.0  OFF(76m)
2026-05-26 20:19:00    LONG   2026-05-26 19:30:00    +49.0  OFF(49m)
2026-05-26 20:25:00    SHORT  2026-05-26 21:45:00    +80.0  OFF(80m)
2026-05-26 20:34:00    LONG   2026-05-26 19:30:00    +64.0  OFF(64m)
2026-05-26 21:10:00    SHORT  2026-05-26 21:45:00    +35.0  OFF(35m)
2026-05-26 21:43:00    LONG   2026-05-26 19:30:00    +133.0  OFF(133m)
2026-05-26 22:37:00    SHORT  2026-05-26 21:45:00    +52.0  OFF(52m)
2026-05-26 23:16:00    LONG   2026-05-27 00:00:00    +44.0  OFF(44m)
2026-05-26 23:25:00    SHORT  2026-05-26 21:45:00    +100.0  OFF(100m)
2026-05-26 23:46:00    LONG   2026-05-27 00:00:00    +14.0  OFF(14m)
2026-05-26 23:52:00    SHORT  2026-05-26 21:45:00    +127.0  OFF(127m)
2026-05-27 00:04:00    LONG   2026-05-27 00:00:00    +4.0  OFF(4m)
2026-05-27 00:10:00    SHORT  2026-05-26 21:45:00    +145.0  OFF(145m)
2026-05-27 00:22:00    LONG   2026-05-27 00:00:00    +22.0  OFF(22m)
2026-05-27 00:46:00    SHORT  2026-05-27 03:45:00    +179.0  OFF(179m)
2026-05-27 01:01:00    LONG   2026-05-27 00:00:00    +61.0  OFF(61m)
2026-05-27 01:19:00    SHORT  2026-05-27 03:45:00    +146.0  OFF(146m)
2026-05-27 01:49:00    LONG   2026-05-27 00:00:00    +109.0  OFF(109m)
2026-05-27 02:34:00    SHORT  2026-05-27 03:45:00    +71.0  OFF(71m)
2026-05-27 02:58:00    LONG   2026-05-27 05:15:00    +137.0  OFF(137m)
2026-05-27 03:04:00    SHORT  2026-05-27 03:45:00    +41.0  OFF(41m)
2026-05-27 03:13:00    LONG   2026-05-27 05:15:00    +122.0  OFF(122m)
2026-05-27 03:19:00    SHORT  2026-05-27 03:45:00    +26.0  OFF(26m)
2026-05-27 03:25:00    LONG   2026-05-27 05:15:00    +110.0  OFF(110m)
2026-05-27 04:01:00    SHORT  2026-05-27 03:45:00    +16.0  OFF(16m)
2026-05-27 04:07:00    LONG   2026-05-27 05:15:00    +68.0  OFF(68m)
2026-05-27 04:22:00    SHORT  2026-05-27 03:45:00    +37.0  OFF(37m)
2026-05-27 04:28:00    LONG   2026-05-27 05:15:00    +47.0  OFF(47m)
2026-05-27 04:40:00    SHORT  2026-05-27 03:45:00    +55.0  OFF(55m)
2026-05-27 04:46:00    LONG   2026-05-27 05:15:00    +29.0  OFF(29m)
2026-05-27 05:10:00    SHORT  2026-05-27 06:00:00    +50.0  OFF(50m)
2026-05-27 05:25:00    LONG   2026-05-27 05:15:00    +10.0  OFF(10m)
2026-05-27 05:55:00    SHORT  2026-05-27 06:00:00    +5.0  OFF(5m)
2026-05-27 06:37:00    LONG   2026-05-27 06:45:00    +8.0  OFF(8m)
2026-05-27 06:43:00    SHORT  2026-05-27 06:00:00    +43.0  OFF(43m)
2026-05-27 06:58:00    LONG   2026-05-27 06:45:00    +13.0  OFF(13m)
2026-05-27 07:55:00    SHORT  2026-05-27 09:45:00    +110.0  OFF(110m)
2026-05-27 08:07:00    LONG   2026-05-27 06:45:00    +82.0  OFF(82m)
2026-05-27 08:22:00    SHORT  2026-05-27 09:45:00    +83.0  OFF(83m)
2026-05-27 08:34:00    LONG   2026-05-27 06:45:00    +109.0  OFF(109m)
2026-05-27 09:07:00    SHORT  2026-05-27 09:45:00    +38.0  OFF(38m)
2026-05-27 09:43:00    LONG   2026-05-27 12:00:00    +137.0  OFF(137m)
2026-05-27 10:04:00    SHORT  2026-05-27 09:45:00    +19.0  OFF(19m)
2026-05-27 10:52:00    LONG   2026-05-27 12:00:00    +68.0  OFF(68m)
2026-05-27 11:16:00    SHORT  2026-05-27 09:45:00    +91.0  OFF(91m)
2026-05-27 11:28:00    LONG   2026-05-27 12:00:00    +32.0  OFF(32m)
2026-05-27 11:34:00    SHORT  2026-05-27 09:45:00    +109.0  OFF(109m)
2026-05-27 12:13:00    LONG   2026-05-27 12:00:00    +13.0  OFF(13m)
2026-05-27 12:19:00    SHORT  2026-05-27 13:30:00    +71.0  OFF(71m)
2026-05-27 12:43:00    LONG   2026-05-27 12:00:00    +43.0  OFF(43m)
2026-05-27 13:13:00    SHORT  2026-05-27 13:30:00    +17.0  OFF(17m)
2026-05-27 13:28:00    LONG   2026-05-27 12:00:00    +88.0  OFF(88m)
2026-05-27 13:37:00    SHORT  2026-05-27 13:30:00    +7.0  OFF(7m)
2026-05-27 13:52:00    LONG   2026-05-27 12:00:00    +112.0  OFF(112m)
2026-05-27 14:16:00    SHORT  2026-05-27 13:30:00    +46.0  OFF(46m)
2026-05-27 14:28:00    LONG   2026-05-27 16:30:00    +122.0  OFF(122m)
2026-05-27 14:55:00    SHORT  2026-05-27 13:30:00    +85.0  OFF(85m)
2026-05-27 15:04:00    LONG   2026-05-27 16:30:00    +86.0  OFF(86m)
2026-05-27 15:10:00    SHORT  2026-05-27 13:30:00    +100.0  OFF(100m)
2026-05-27 15:25:00    LONG   2026-05-27 16:30:00    +65.0  OFF(65m)
2026-05-27 15:46:00    SHORT  2026-05-27 17:15:00    +89.0  OFF(89m)
2026-05-27 15:52:00    LONG   2026-05-27 16:30:00    +38.0  OFF(38m)
2026-05-27 16:49:00    SHORT  2026-05-27 17:15:00    +26.0  OFF(26m)
2026-05-27 17:25:00    LONG   2026-05-27 18:00:00    +35.0  OFF(35m)
2026-05-27 17:31:00    SHORT  2026-05-27 17:15:00    +16.0  OFF(16m)
2026-05-27 17:37:00    LONG   2026-05-27 18:00:00    +23.0  OFF(23m)
2026-05-27 17:58:00    SHORT  2026-05-27 17:15:00    +43.0  OFF(43m)
2026-05-27 18:10:00    LONG   2026-05-27 18:00:00    +10.0  OFF(10m)
2026-05-27 18:34:00    SHORT  2026-05-27 19:30:00    +56.0  OFF(56m)
2026-05-27 19:07:00    LONG   2026-05-27 18:00:00    +67.0  OFF(67m)
2026-05-27 19:34:00    SHORT  2026-05-27 19:30:00    +4.0  OFF(4m)
2026-05-27 20:25:00    LONG   2026-05-27 20:15:00    +10.0  OFF(10m)
2026-05-27 20:46:00    SHORT  2026-05-27 21:00:00    +14.0  OFF(14m)
2026-05-27 21:55:00    LONG   2026-05-27 23:15:00    +80.0  OFF(80m)
2026-05-27 22:13:00    SHORT  2026-05-27 21:00:00    +73.0  OFF(73m)
2026-05-27 22:40:00    LONG   2026-05-27 23:15:00    +35.0  OFF(35m)
2026-05-27 23:46:00    SHORT  2026-05-28 00:00:00    +14.0  OFF(14m)
2026-05-28 00:13:00    LONG   2026-05-28 00:45:00    +32.0  OFF(32m)
2026-05-28 00:22:00    SHORT  2026-05-28 00:00:00    +22.0  OFF(22m)
2026-05-28 00:31:00    LONG   2026-05-28 00:45:00    +14.0  OFF(14m)
2026-05-28 00:40:00    SHORT  2026-05-28 00:00:00    +40.0  OFF(40m)
2026-05-28 00:46:00    LONG   2026-05-28 00:45:00    +1.0  OK
2026-05-28 01:07:00    SHORT  2026-05-28 01:30:00    +23.0  OFF(23m)
2026-05-28 01:52:00    LONG   2026-05-28 02:15:00    +23.0  OFF(23m)
2026-05-28 01:58:00    SHORT  2026-05-28 01:30:00    +28.0  OFF(28m)
2026-05-28 02:28:00    LONG   2026-05-28 02:15:00    +13.0  OFF(13m)
2026-05-28 03:13:00    SHORT  2026-05-28 03:00:00    +13.0  OFF(13m)
2026-05-28 03:28:00    LONG   2026-05-28 04:30:00    +62.0  OFF(62m)
2026-05-28 03:46:00    SHORT  2026-05-28 03:00:00    +46.0  OFF(46m)
2026-05-28 03:58:00    LONG   2026-05-28 04:30:00    +32.0  OFF(32m)
2026-05-28 04:28:00    SHORT  2026-05-28 03:00:00    +88.0  OFF(88m)
2026-05-28 04:43:00    LONG   2026-05-28 04:30:00    +13.0  OFF(13m)
2026-05-28 05:07:00    SHORT  2026-05-28 03:00:00    +127.0  OFF(127m)
2026-05-28 06:07:00    LONG   2026-05-28 04:30:00    +97.0  OFF(97m)
2026-05-28 06:16:00    SHORT  2026-05-28 07:30:00    +74.0  OFF(74m)
2026-05-28 06:22:00    LONG   2026-05-28 04:30:00    +112.0  OFF(112m)
2026-05-28 06:49:00    SHORT  2026-05-28 07:30:00    +41.0  OFF(41m)
2026-05-28 07:16:00    LONG   2026-05-28 08:15:00    +59.0  OFF(59m)
2026-05-28 07:28:00    SHORT  2026-05-28 07:30:00    +2.0  CLOSE
2026-05-28 07:46:00    LONG   2026-05-28 08:15:00    +29.0  OFF(29m)
2026-05-28 08:13:00    SHORT  2026-05-28 07:30:00    +43.0  OFF(43m)
2026-05-28 08:22:00    LONG   2026-05-28 08:15:00    +7.0  OFF(7m)
2026-05-28 08:31:00    SHORT  2026-05-28 09:00:00    +29.0  OFF(29m)
2026-05-28 08:37:00    LONG   2026-05-28 08:15:00    +22.0  OFF(22m)
