trade_no,entry_time,exit_time,direction,entry_price,exit_price,ideal_exit,pnl_pct,pnl_usd,fee_usd,slip_usd,equity,leverage_pnl,cum_pnl,return_pct,dd_pct,month
18,2025-05-24 16:45:00,2025-05-24 16:45:00,SHORT,2550.54,2561.06,2560.55,-0.413,-11.48,1.87,0.51,765.69,-1.24%,79.48,11.58,9.16,2025-05
19,2025-05-24 18:45:00,2025-05-24 18:45:00,LONG,2561.06,2552.83,2553.34,-0.322,-9.23,1.84,0.51,756.46,-0.96%,70.25,10.24,10.26,2025-05
20,2025-05-25 12:15:00,2025-05-25 12:15:00,SHORT,2552.83,2505.53,2505.03,1.853,40.23,1.82,0.5,796.69,5.56%,110.48,16.1,5.49,2025-05
21,2025-05-25 14:30:00,2025-05-25 14:30:00,LONG,2505.53,2509.09,2509.59,0.142,1.48,1.91,0.5,798.17,0.43%,111.96,16.32,5.31,2025-05
22,2025-05-25 18:15:00,2025-05-25 18:15:00,SHORT,2509.09,2522.51,2522.01,-0.535,-14.72,1.92,0.5,783.44,-1.6%,97.24,14.17,7.06,2025-05
23,2025-05-26 10:45:00,2025-05-26 10:45:00,LONG,2522.51,2559.58,2560.09,1.469,32.66,1.88,0.51,816.1,4.41%,129.9,18.93,3.18,2025-05
24,2025-05-26 12:45:00,2025-05-26 12:45:00,SHORT,2559.58,2571.89,2571.38,-0.481,-13.74,1.96,0.51,802.36,-1.44%,116.16,16.93,4.81,2025-05
25,2025-05-26 13:45:00,2025-05-26 13:45:00,LONG,2571.89,2557.94,2558.45,-0.543,-14.99,1.93,0.51,787.37,-1.63%,101.17,14.74,6.59,2025-05
26,2025-05-26 15:30:00,2025-05-26 15:30:00,SHORT,2557.94,2563.68,2563.17,-0.225,-7.19,1.89,0.51,780.18,-0.67%,93.98,13.7,7.45,2025-05
27,2025-05-26 16:15:00,2025-05-26 16:15:00,LONG,2563.68,2555.62,2556.13,-0.314,-9.23,1.87,0.51,770.95,-0.94%,84.75,12.35,8.54,2025-05
28,2025-05-26 20:30:00,2025-05-26 20:30:00,SHORT,2555.62,2551.8,2551.29,0.15,1.61,1.85,0.51,772.56,0.45%,86.36,12.59,8.35,2025-05
29,2025-05-27 00:30:00,2025-05-27 00:30:00,LONG,2551.8,2553.25,2553.76,0.057,-0.53,1.85,0.51,772.03,0.17%,85.83,12.51,8.41,2025-05
30,2025-05-27 03:00:00,2025-05-27 03:00:00,SHORT,2553.25,2542.27,2541.76,0.43,8.11,1.85,0.51,780.14,1.29%,93.94,13.69,7.45,2025-05
31,2025-05-27 23:15:00,2025-05-27 23:15:00,LONG,2542.27,2652.71,2653.24,4.344,99.8,1.87,0.53,879.94,13.03%,193.74,28.23,0.0,2025-05
32,2025-05-27 23:30:00,2025-05-27 23:30:00,SHORT,2652.71,2660.73,2660.19,-0.302,-10.09,2.11,0.53,869.84,-0.91%,183.65,26.76,1.15,2025-05
33,2025-05-28 00:00:00,2025-05-28 00:00:00,LONG,2660.73,2653.34,2653.87,-0.278,-9.33,2.09,0.53,860.51,-0.83%,174.32,25.4,2.21,2025-05
34,2025-05-28 00:45:00,2025-05-28 00:45:00,SHORT,2653.34,2659.8,2659.26,-0.243,-8.35,2.07,0.53,852.16,-0.73%,165.97,24.19,3.16,2025-05
35,2025-05-28 01:00:00,2025-05-28 01:00:00,LONG,2659.8,2648.94,2649.47,-0.408,-12.48,2.05,0.53,839.68,-1.22%,153.49,22.37,4.58,2025-05
36,2025-05-28 11:30:00,2025-05-28 11:30:00,SHORT,2648.94,2650.62,2650.09,-0.064,-3.62,2.02,0.53,836.06,-0.19%,149.87,21.84,4.99,2025-05
37,2025-05-28 14:00:00,2025-05-28 14:00:00,LONG,2650.62,2645.01,2645.54,-0.212,-7.32,2.01,0.53,828.74,-0.64%,142.55,20.77,5.82,2025-05
38,2025-05-28 17:00:00,2025-05-28 17:00:00,SHORT,2645.01,2648.32,2647.79,-0.125,-5.1,1.99,0.53,823.64,-0.38%,137.45,20.03,6.4,2025-05
39,2025-05-28 18:45:00,2025-05-28 18:45:00,LONG,2648.32,2641.9,2642.43,-0.242,-7.96,1.98,0.53,815.68,-0.73%,129.49,18.87,7.3,2025-05
40,2025-05-28 19:00:00,2025-05-28 19:00:00,SHORT,2641.9,2645.79,2645.26,-0.147,-5.56,1.96,0.53,810.11,-0.44%,123.93,18.06,7.94,2025-05
41,2025-05-28 19:30:00,2025-05-28 19:30:00,LONG,2645.79,2627.53,2628.05,-0.69,-18.72,1.94,0.53,791.39,-2.07%,105.21,15.33,10.06,2025-05
42,2025-05-28 21:15:00,2025-05-28 21:15:00,SHORT,2627.53,2649.0,2648.47,-0.817,-21.31,1.9,0.53,770.09,-2.45%,83.9,12.23,12.48,2025-05
43,2025-05-28 22:15:00,2025-05-28 22:15:00,LONG,2649.0,2638.8,2639.32,-0.385,-10.75,1.85,0.53,759.34,-1.16%,73.15,10.66,13.71,2025-05
44,2025-05-28 23:00:00,2025-05-28 23:00:00,SHORT,2638.8,2656.88,2656.35,-0.685,-17.43,1.82,0.53,741.9,-2.06%,55.72,8.12,15.69,2025-05
45,2025-05-29 11:45:00,2025-05-29 11:45:00,LONG,2656.88,2710.69,2711.24,2.026,43.3,1.78,0.54,785.21,6.08%,99.02,14.43,10.77,2025-05
46,2025-05-30 05:30:00,2025-05-30 05:30:00,SHORT,2710.69,2643.42,2642.89,2.482,56.58,1.88,0.53,841.78,7.45%,155.6,22.67,4.34,2025-05
47,2025-05-30 06:00:00,2025-05-30 06:00:00,LONG,2643.42,2636.48,2637.01,-0.263,-8.65,2.02,0.53,833.13,-0.79%,146.95,21.41,5.32,2025-05
48,2025-05-31 10:00:00,2025-05-31 10:00:00,SHORT,2636.48,2529.58,2529.07,4.055,99.34,2.0,0.51,932.47,12.16%,246.29,35.89,0.0,2025-05
49,2025-05-31 10:15:00,2025-05-31 10:15:00,LONG,2529.58,2525.52,2526.03,-0.16,-6.73,2.24,0.51,925.75,-0.48%,239.56,34.91,0.72,2025-05
50,2025-05-31 12:00:00,2025-05-31 12:00:00,SHORT,2525.52,2526.52,2526.02,-0.04,-3.32,2.22,0.51,922.43,-0.12%,236.24,34.43,1.08,2025-05
51,2025-05-31 17:45:00,2025-05-31 17:45:00,LONG,2526.52,2530.05,2530.55,0.139,1.64,2.21,0.51,924.07,0.42%,237.88,34.66,0.9,2025-05
52,2025-05-31 18:00:00,2025-05-31 18:00:00,SHORT,2530.05,2533.14,2532.63,-0.122,-5.6,2.22,0.51,918.46,-0.37%,232.28,33.85,1.5,2025-05
53,2025-05-31 20:00:00,2025-05-31 20:00:00,LONG,2533.14,2533.22,2533.73,0.003,-2.11,2.2,0.51,916.35,0.01%,230.17,33.54,1.73,2025-05
54,2025-05-31 20:15:00,2025-05-31 20:15:00,SHORT,2533.22,2538.85,2538.34,-0.222,-8.3,2.2,0.51,908.05,-0.67%,221.87,32.33,2.62,2025-05
55,2025-05-31 22:45:00,2025-05-31 22:45:00,LONG,2538.85,2533.68,2534.19,-0.203,-7.72,2.18,0.51,900.34,-0.61%,214.15,31.21,3.45,2025-05
56,2025-05-31 23:00:00,2025-05-31 23:00:00,SHORT,2533.68,2535.95,2535.44,-0.09,-4.58,2.16,0.51,895.76,-0.27%,209.57,30.54,3.94,2025-05
57,2025-06-01 00:00:00,2025-06-01 00:00:00,LONG,2535.95,2520.33,2520.83,-0.616,-18.71,2.15,0.5,877.05,-1.85%,190.86,27.81,5.94,2025-06
58,2025-06-01 14:15:00,2025-06-01 14:15:00,SHORT,2520.33,2510.65,2510.15,0.384,8.0,2.1,0.5,885.05,1.15%,198.86,28.98,5.09,2025-06
59,2025-06-01 18:15:00,2025-06-01 18:15:00,LONG,2510.65,2522.31,2522.81,0.464,10.21,2.12,0.5,895.25,1.39%,209.07,30.46,3.99,2025-06
60,2025-06-01 18:45:00,2025-06-01 18:45:00,SHORT,2522.31,2511.81,2511.31,0.416,9.03,2.15,0.5,904.28,1.25%,218.1,31.78,3.02,2025-06
61,2025-06-02 02:00:00,2025-06-02 02:00:00,LONG,2511.81,2520.37,2520.88,0.341,7.08,2.17,0.5,911.36,1.02%,225.18,32.81,2.26,2025-06
62,2025-06-02 13:15:00,2025-06-02 13:15:00,SHORT,2520.37,2500.28,2499.78,0.797,19.6,2.19,0.5,930.96,2.39%,244.78,35.67,0.16,2025-06
63,2025-06-03 16:15:00,2025-06-03 16:15:00,LONG,2500.28,2609.11,2609.64,4.353,119.33,2.23,0.52,1050.3,13.06%,364.11,53.06,0.0,2025-06
64,2025-06-03 17:00:00,2025-06-03 17:00:00,SHORT,2609.11,2615.36,2614.84,-0.239,-10.07,2.52,0.52,1040.23,-0.72%,354.04,51.59,0.96,2025-06
65,2025-06-03 18:00:00,2025-06-03 18:00:00,LONG,2615.36,2610.49,2611.01,-0.186,-8.31,2.5,0.52,1031.92,-0.56%,345.73,50.38,1.75,2025-06
66,2025-06-03 19:00:00,2025-06-03 19:00:00,SHORT,2610.49,2625.39,2624.86,-0.571,-20.15,2.48,0.52,1011.77,-1.71%,325.58,47.45,3.67,2025-06
67,2025-06-03 20:15:00,2025-06-03 20:15:00,LONG,2625.39,2612.89,2613.41,-0.476,-16.88,2.43,0.52,994.89,-1.43%,308.7,44.99,5.28,2025-06
68,2025-06-03 20:30:00,2025-06-03 20:30:00,SHORT,2612.89,2612.47,2611.95,0.016,-1.91,2.39,0.52,992.99,0.05%,306.79,44.71,5.46,2025-06
69,2025-06-03 21:30:00,2025-06-03 21:30:00,LONG,2612.47,2600.39,2600.91,-0.462,-16.15,2.38,0.52,976.84,-1.39%,290.64,42.35,6.99,2025-06
70,2025-06-04 01:00:00,2025-06-04 01:00:00,SHORT,2600.39,2606.99,2606.47,-0.254,-9.79,2.34,0.52,967.05,-0.76%,280.85,40.93,7.93,2025-06
71,2025-06-04 12:15:00,2025-06-04 12:15:00,LONG,2606.99,2627.07,2627.59,0.77,20.02,2.32,0.53,987.07,2.31%,300.87,43.85,6.02,2025-06
72,2025-06-04 14:45:00,2025-06-04 14:45:00,SHORT,2627.07,2629.56,2629.03,-0.095,-5.17,2.37,0.53,981.89,-0.28%,295.7,43.09,6.51,2025-06
73,2025-06-04 18:45:00,2025-06-04 18:45:00,LONG,2629.56,2632.41,2632.93,0.108,0.84,2.36,0.53,982.73,0.33%,296.54,43.21,6.43,2025-06
74,2025-06-05 02:30:00,2025-06-05 02:30:00,SHORT,2632.41,2619.36,2618.84,0.495,12.25,2.36,0.52,994.98,1.49%,308.79,45.0,5.27,2025-06
75,2025-06-05 05:15:00,2025-06-05 05:15:00,LONG,2619.36,2620.1,2620.63,0.028,-1.54,2.39,0.52,993.43,0.08%,307.25,44.77,5.41,2025-06
76,2025-06-05 12:00:00,2025-06-05 12:00:00,SHORT,2620.1,2614.38,2613.86,0.218,4.12,2.38,0.52,997.56,0.66%,311.37,45.37,5.02,2025-06
77,2025-06-05 13:30:00,2025-06-05 13:30:00,LONG,2614.38,2619.94,2620.46,0.212,3.96,2.39,0.52,1001.52,0.64%,315.33,45.95,4.64,2025-06
78,2025-06-06 09:15:00,2025-06-06 09:15:00,SHORT,2619.94,2469.54,2469.04,5.741,170.08,2.4,0.49,1171.6,17.22%,485.41,70.74,0.0,2025-06
79,2025-06-06 19:45:00,2025-06-06 19:45:00,LONG,2469.54,2486.59,2487.09,0.691,21.47,2.81,0.5,1193.06,2.07%,506.88,73.86,0.0,2025-06
80,2025-06-06 20:00:00,2025-06-06 20:00:00,SHORT,2486.59,2490.94,2490.44,-0.175,-9.12,2.86,0.5,1183.94,-0.52%,497.76,72.54,0.76,2025-06
81,2025-06-06 21:00:00,2025-06-06 21:00:00,LONG,2490.94,2491.34,2491.84,0.016,-2.27,2.84,0.5,1181.67,0.05%,495.49,72.2,0.95,2025-06
82,2025-06-06 21:30:00,2025-06-06 21:30:00,SHORT,2491.34,2498.32,2497.82,-0.28,-12.76,2.84,0.5,1168.91,-0.84%,482.73,70.35,2.02,2025-06
83,2025-06-06 22:30:00,2025-06-06 22:30:00,LONG,2498.32,2482.7,2483.2,-0.625,-24.72,2.81,0.5,1144.19,-1.87%,458.01,66.74,4.1,2025-06
84,2025-06-07 03:00:00,2025-06-07 03:00:00,SHORT,2482.7,2484.65,2484.15,-0.078,-5.43,2.75,0.5,1138.75,-0.23%,452.58,65.95,4.55,2025-06
85,2025-06-07 04:00:00,2025-06-07 04:00:00,LONG,2484.65,2482.12,2482.62,-0.102,-6.21,2.73,0.5,1132.55,-0.3%,446.37,65.05,5.07,2025-06
86,2025-06-07 04:30:00,2025-06-07 04:30:00,SHORT,2482.12,2489.1,2488.6,-0.281,-12.27,2.72,0.5,1120.27,-0.84%,434.1,63.26,6.1,2025-06
87,2025-06-07 08:45:00,2025-06-07 08:45:00,LONG,2489.1,2483.22,2483.71,-0.236,-10.63,2.69,0.5,1109.64,-0.71%,423.47,61.71,6.99,2025-06
88,2025-06-07 09:00:00,2025-06-07 09:00:00,SHORT,2483.22,2487.72,2487.22,-0.181,-8.7,2.66,0.5,1100.94,-0.54%,414.77,60.44,7.72,2025-06
89,2025-06-07 09:30:00,2025-06-07 09:30:00,LONG,2487.72,2484.71,2485.2,-0.121,-6.64,2.64,0.5,1094.29,-0.36%,408.13,59.47,8.28,2025-06
90,2025-06-07 10:00:00,2025-06-07 10:00:00,SHORT,2484.71,2489.89,2489.39,-0.209,-9.48,2.63,0.5,1084.82,-0.63%,398.65,58.09,9.07,2025-06
91,2025-06-08 01:00:00,2025-06-08 01:00:00,LONG,2489.89,2513.07,2513.57,0.931,27.69,2.6,0.5,1112.51,2.79%,426.34,62.13,6.75,2025-06
92,2025-06-08 01:30:00,2025-06-08 01:30:00,SHORT,2513.07,2517.42,2516.92,-0.173,-8.45,2.67,0.5,1104.06,-0.52%,417.89,60.89,7.46,2025-06
93,2025-06-08 02:00:00,2025-06-08 02:00:00,LONG,2517.42,2513.78,2514.28,-0.145,-7.44,2.65,0.5,1096.61,-0.43%,410.45,59.81,8.08,2025-06
94,2025-06-08 04:30:00,2025-06-08 04:30:00,SHORT,2513.78,2514.98,2514.48,-0.048,-4.21,2.63,0.5,1092.4,-0.14%,406.24,59.2,8.44,2025-06
95,2025-06-08 05:00:00,2025-06-08 05:00:00,LONG,2514.98,2512.51,2513.02,-0.098,-5.84,2.62,0.5,1086.56,-0.29%,400.4,58.34,8.93,2025-06
96,2025-06-08 05:15:00,2025-06-08 05:15:00,SHORT,2512.51,2515.33,2514.83,-0.112,-6.26,2.61,0.5,1080.3,-0.34%,394.14,57.43,9.45,2025-06
97,2025-06-08 05:30:00,2025-06-08 05:30:00,LONG,2515.33,2511.15,2511.65,-0.166,-7.98,2.59,0.5,1072.32,-0.5%,386.16,56.27,10.12,2025-06
98,2025-06-08 08:00:00,2025-06-08 08:00:00,SHORT,2511.15,2517.64,2517.13,-0.258,-10.89,2.57,0.5,1061.43,-0.78%,375.27,54.68,11.03,2025-06
99,2025-06-08 09:00:00,2025-06-08 09:00:00,LONG,2517.64,2513.0,2513.5,-0.184,-8.41,2.55,0.5,1053.02,-0.55%,366.86,53.46,11.74,2025-06
100,2025-06-08 11:15:00,2025-06-08 11:15:00,SHORT,2513.0,2509.81,2509.31,0.127,1.48,2.53,0.5,1054.5,0.38%,368.34,53.67,11.61,2025-06
101,2025-06-08 12:15:00,2025-06-08 12:15:00,LONG,2509.81,2508.63,2509.13,-0.047,-4.02,2.53,0.5,1050.48,-0.14%,364.32,53.09,11.95,2025-06
102,2025-06-08 13:30:00,2025-06-08 13:30:00,SHORT,2508.63,2514.66,2514.16,-0.241,-10.1,2.52,0.5,1040.37,-0.72%,354.22,51.61,12.8,2025-06
103,2025-06-08 22:00:00,2025-06-08 22:00:00,LONG,2514.66,2532.95,2533.46,0.727,20.21,2.5,0.51,1060.58,2.18%,374.43,54.56,11.1,2025-06
104,2025-06-09 09:30:00,2025-06-09 09:30:00,SHORT,2532.95,2503.96,2503.46,1.145,33.87,2.55,0.5,1094.45,3.43%,408.3,59.49,8.27,2025-06
105,2025-06-11 08:15:00,2025-06-11 08:15:00,LONG,2503.96,2779.68,2780.24,11.011,358.91,2.63,0.56,1453.36,33.03%,767.21,111.8,0.0,2025-06
106,2025-06-11 12:00:00,2025-06-11 12:00:00,SHORT,2779.68,2779.08,2778.52,0.022,-2.54,3.49,0.56,1450.82,0.07%,764.67,111.43,0.17,2025-06
107,2025-06-11 12:15:00,2025-06-11 12:15:00,LONG,2779.08,2772.46,2773.01,-0.238,-13.85,3.48,0.55,1436.97,-0.71%,750.82,109.41,1.13,2025-06
108,2025-06-11 12:30:00,2025-06-11 12:30:00,SHORT,2772.46,2783.26,2782.71,-0.39,-20.25,3.45,0.56,1416.72,-1.17%,730.57,106.46,2.52,2025-06
109,2025-06-11 18:00:00,2025-06-11 18:00:00,LONG,2783.26,2810.3,2810.86,0.971,37.88,3.4,0.56,1454.6,2.91%,768.45,111.98,0.0,2025-06
110,2025-06-11 20:15:00,2025-06-11 20:15:00,SHORT,2810.3,2820.66,2820.1,-0.369,-19.58,3.49,0.56,1435.02,-1.11%,748.87,109.13,1.35,2025-06
111,2025-06-11 21:30:00,2025-06-11 21:30:00,LONG,2820.66,2808.48,2809.04,-0.432,-22.04,3.44,0.56,1412.99,-1.3%,726.83,105.92,2.86,2025-06
112,2025-06-12 14:00:00,2025-06-12 14:00:00,SHORT,2808.48,2761.42,2760.87,1.676,67.63,3.39,0.55,1480.62,5.03%,794.46,115.77,0.0,2025-06
113,2025-06-12 15:15:00,2025-06-12 15:15:00,LONG,2761.42,2757.88,2758.43,-0.128,-9.26,3.55,0.55,1471.36,-0.39%,785.2,114.42,0.63,2025-06
114,2025-06-12 17:15:00,2025-06-12 17:15:00,SHORT,2757.88,2760.69,2760.13,-0.102,-8.03,3.53,0.55,1463.33,-0.31%,777.17,113.25,1.17,2025-06
115,2025-06-12 18:00:00,2025-06-12 18:00:00,LONG,2760.69,2753.39,2753.94,-0.264,-15.11,3.51,0.55,1448.22,-0.79%,762.06,111.05,2.19,2025-06
116,2025-06-13 12:00:00,2025-06-13 12:00:00,SHORT,2753.39,2555.4,2554.88,7.191,308.95,3.48,0.51,1757.17,21.57%,1071.01,156.07,0.0,2025-06
117,2025-06-13 13:45:00,2025-06-13 13:45:00,LONG,2555.4,2548.41,2548.92,-0.273,-18.62,4.22,0.51,1738.55,-0.82%,1052.39,153.36,1.06,2025-06
118,2025-06-13 16:00:00,2025-06-13 16:00:00,SHORT,2548.41,2564.96,2564.44,-0.649,-38.03,4.17,0.51,1700.52,-1.95%,1014.36,147.82,3.22,2025-06
119,2025-06-13 17:45:00,2025-06-13 17:45:00,LONG,2564.96,2524.0,2524.5,-1.597,-85.55,4.08,0.5,1614.97,-4.79%,928.81,135.35,8.09,2025-06
120,2025-06-13 20:30:00,2025-06-13 20:30:00,SHORT,2524.0,2547.7,2547.2,-0.939,-49.39,3.88,0.51,1565.59,-2.82%,879.42,128.15,10.9,2025-06
121,2025-06-14 03:30:00,2025-06-14 03:30:00,LONG,2547.7,2551.98,2552.5,0.168,4.13,3.76,0.51,1569.72,0.5%,883.55,128.76,10.67,2025-06
122,2025-06-14 13:00:00,2025-06-14 13:00:00,SHORT,2551.98,2543.65,2543.14,0.327,11.62,3.77,0.51,1581.34,0.98%,895.17,130.45,10.01,2025-06
123,2025-06-14 13:30:00,2025-06-14 13:30:00,LONG,2543.65,2531.26,2531.77,-0.487,-26.89,3.8,0.51,1554.45,-1.46%,868.28,126.53,11.54,2025-06
124,2025-06-14 21:45:00,2025-06-14 21:45:00,SHORT,2531.26,2529.1,2528.59,0.086,0.26,3.73,0.51,1554.7,0.26%,868.54,126.57,11.52,2025-06
125,2025-06-14 22:30:00,2025-06-14 22:30:00,LONG,2529.1,2521.09,2521.59,-0.317,-18.5,3.73,0.5,1536.21,-0.95%,850.04,123.87,12.57,2025-06
126,2025-06-14 23:30:00,2025-06-14 23:30:00,SHORT,2521.09,2536.29,2535.78,-0.603,-31.47,3.69,0.51,1504.74,-1.81%,818.57,119.29,14.37,2025-06
127,2025-06-15 07:00:00,2025-06-15 07:00:00,LONG,2536.29,2529.47,2529.98,-0.269,-15.75,3.61,0.51,1488.99,-0.81%,802.82,116.99,15.26,2025-06
128,2025-06-15 12:45:00,2025-06-15 12:45:00,SHORT,2529.47,2526.04,2525.53,0.136,2.49,3.57,0.51,1491.48,0.41%,805.31,117.35,15.12,2025-06
129,2025-06-15 19:30:00,2025-06-15 19:30:00,LONG,2526.04,2541.81,2542.32,0.624,24.36,3.58,0.51,1515.83,1.87%,829.67,120.9,13.73,2025-06
130,2025-06-15 22:00:00,2025-06-15 22:00:00,SHORT,2541.81,2525.35,2524.85,0.647,25.8,3.64,0.5,1541.63,1.94%,855.47,124.66,12.27,2025-06
131,2025-06-16 01:00:00,2025-06-16 01:00:00,LONG,2525.35,2537.68,2538.19,0.488,18.88,3.7,0.51,1560.51,1.46%,874.35,127.41,11.19,2025-06
132,2025-06-16 01:30:00,2025-06-16 01:30:00,SHORT,2537.68,2532.84,2532.34,0.191,5.19,3.75,0.51,1565.7,0.57%,879.54,128.17,10.9,2025-06
133,2025-06-16 22:30:00,2025-06-16 22:30:00,LONG,2532.84,2648.82,2649.35,4.579,211.32,3.76,0.53,1777.02,13.74%,1090.86,158.97,0.0,2025-06
134,2025-06-17 02:45:00,2025-06-17 02:45:00,SHORT,2648.82,2583.26,2582.74,2.475,127.68,4.26,0.52,1904.7,7.43%,1218.54,177.57,0.0,2025-06
135,2025-06-17 04:15:00,2025-06-17 04:15:00,LONG,2583.26,2597.44,2597.96,0.549,26.81,4.57,0.52,1931.51,1.65%,1245.35,181.48,0.0,2025-06
136,2025-06-17 19:15:00,2025-06-17 19:15:00,SHORT,2597.44,2526.99,2526.48,2.713,152.54,4.64,0.51,2084.05,8.14%,1397.89,203.71,0.0,2025-06
137,2025-06-17 20:15:00,2025-06-17 20:15:00,LONG,2526.99,2511.03,2511.53,-0.632,-44.49,5.0,0.5,2039.56,-1.89%,1353.4,197.23,2.13,2025-06
138,2025-06-18 00:30:00,2025-06-18 00:30:00,SHORT,2511.03,2516.82,2516.32,-0.231,-19.01,4.89,0.5,2020.55,-0.69%,1334.39,194.45,3.05,2025-06
139,2025-06-18 06:45:00,2025-06-18 06:45:00,LONG,2516.82,2521.76,2522.26,0.196,7.04,4.85,0.5,2027.59,0.59%,1341.43,195.48,2.71,2025-06
140,2025-06-18 07:30:00,2025-06-18 07:30:00,SHORT,2521.76,2532.66,2532.15,-0.432,-31.16,4.87,0.51,1996.43,-1.3%,1310.27,190.94,4.2,2025-06
141,2025-06-18 09:30:00,2025-06-18 09:30:00,LONG,2532.66,2528.47,2528.98,-0.165,-14.7,4.79,0.51,1981.73,-0.5%,1295.57,188.8,4.91,2025-06
142,2025-06-18 14:00:00,2025-06-18 14:00:00,SHORT,2528.47,2516.68,2516.18,0.466,22.95,4.76,0.5,2004.68,1.4%,1318.52,192.14,3.81,2025-06
143,2025-06-18 14:45:00,2025-06-18 14:45:00,LONG,2516.68,2510.17,2510.68,-0.259,-20.37,4.81,0.5,1984.31,-0.78%,1298.15,189.17,4.79,2025-06
144,2025-06-18 20:30:00,2025-06-18 20:30:00,SHORT,2510.17,2515.59,2515.09,-0.216,-17.61,4.76,0.5,1966.71,-0.65%,1280.54,186.61,5.63,2025-06
145,2025-06-19 01:00:00,2025-06-19 01:00:00,LONG,2515.59,2518.37,2518.88,0.111,1.81,4.72,0.5,1968.51,0.33%,1282.35,186.87,5.54,2025-06
146,2025-06-19 02:30:00,2025-06-19 02:30:00,SHORT,2518.37,2521.26,2520.76,-0.115,-11.5,4.72,0.5,1957.01,-0.34%,1270.85,185.2,6.1,2025-06
147,2025-06-19 02:45:00,2025-06-19 02:45:00,LONG,2521.26,2517.94,2518.45,-0.132,-12.43,4.7,0.5,1944.58,-0.4%,1258.42,183.38,6.69,2025-06
148,2025-06-19 04:45:00,2025-06-19 04:45:00,SHORT,2517.94,2524.85,2524.35,-0.275,-20.68,4.67,0.5,1923.9,-0.82%,1237.74,180.37,7.68,2025-06
149,2025-06-19 07:45:00,2025-06-19 07:45:00,LONG,2524.85,2518.22,2518.72,-0.263,-19.79,4.62,0.5,1904.1,-0.79%,1217.95,177.48,8.63,2025-06
150,2025-06-19 08:00:00,2025-06-19 08:00:00,SHORT,2518.22,2523.48,2522.98,-0.209,-16.51,4.57,0.5,1887.59,-0.63%,1201.44,175.08,9.43,2025-06
