Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Net PnL %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %
27,Exit long,2026-02-19 00:30,short,1973.83,1.0073,1999.974004,-11.74,-0.59,0.19,0.01,-20.63,-1.03,-237.49,-0.02
27,Entry long,2026-02-18 23:45,long,1985.48,1.0073,1999.974004,-11.74,-0.59,0.19,0.01,-20.63,-1.03,-237.49,-0.02
28,Exit short,2026-02-19 05:45,long,1942,1.0132,1999.884556,32.25,1.61,50.71,2.54,-14.25,-0.71,-205.24,-0.02
28,Entry short,2026-02-19 00:30,short,1973.83,1.0132,1999.884556,32.25,1.61,50.71,2.54,-14.25,-0.71,-205.24,-0.02
29,Exit long,2026-02-19 06:30,short,1946.3,1.0298,1999.8716,4.43,0.22,6.62,0.33,-2.14,-0.11,-200.81,-0.02
29,Entry long,2026-02-19 05:45,long,1942,1.0298,1999.8716,4.43,0.22,6.62,0.33,-2.14,-0.11,-200.81,-0.02
30,Exit short,2026-02-19 07:15,long,1948.74,1.0275,1999.82325,-2.51,-0.13,1.73,0.09,-4.59,-0.23,-203.31,-0.02
30,Entry short,2026-02-19 06:30,short,1946.3,1.0275,1999.82325,-2.51,-0.13,1.73,0.09,-4.59,-0.23,-203.31,-0.02
31,Exit long,2026-02-19 13:15,short,1965.81,1.0263,1999.991862,17.52,0.88,31.92,1.60,-0.06,0.00,-185.8,-0.02
31,Entry long,2026-02-19 07:15,long,1948.74,1.0263,1999.991862,17.52,0.88,31.92,1.60,-0.06,0.00,-185.8,-0.02
32,Exit short,2026-02-19 14:45,long,1982.92,1.0173,1999.818513,-17.41,-0.87,1.64,0.08,-19.52,-0.98,-203.2,-0.02
32,Entry short,2026-02-19 13:15,short,1965.81,1.0173,1999.818513,-17.41,-0.87,1.64,0.08,-19.52,-0.98,-203.2,-0.02
33,Exit long,2026-02-19 16:15,short,1972.63,1.0086,1999.973112,-10.38,-0.52,4.67,0.23,-12.12,-0.61,-213.58,-0.02
33,Entry long,2026-02-19 14:45,long,1982.92,1.0086,1999.973112,-10.38,-0.52,4.67,0.23,-12.12,-0.61,-213.58,-0.02
34,Exit short,2026-02-20 01:15,long,1929.41,1.0138,1999.852294,43.82,2.19,66.54,3.33,-7.99,-0.40,-169.76,-0.02
34,Entry short,2026-02-19 16:15,short,1972.63,1.0138,1999.852294,43.82,2.19,66.54,3.33,-7.99,-0.40,-169.76,-0.02
35,Exit long,2026-02-20 02:00,short,1934.01,1.0365,1999.833465,4.77,0.24,5.28,0.26,-19.32,-0.97,-165,-0.02
35,Entry long,2026-02-20 01:15,long,1929.41,1.0365,1999.833465,4.77,0.24,5.28,0.26,-19.32,-0.97,-165,-0.02
36,Exit short,2026-02-20 02:45,long,1939.99,1.0341,1999.959741,-6.18,-0.31,7.22,0.36,-11.02,-0.55,-171.18,-0.02
36,Entry short,2026-02-20 02:00,short,1934.01,1.0341,1999.959741,-6.18,-0.31,7.22,0.36,-11.02,-0.55,-171.18,-0.02
37,Exit long,2026-02-20 06:30,short,1940.87,1.0309,1999.935691,0.91,0.05,12.97,0.65,-12.53,-0.63,-170.27,-0.02
37,Entry long,2026-02-20 02:45,long,1939.99,1.0309,1999.935691,0.91,0.05,12.97,0.65,-12.53,-0.63,-170.27,-0.02
38,Exit short,2026-02-20 07:15,long,1950.15,1.0304,1999.872448,-9.56,-0.48,1.63,0.08,-9.85,-0.49,-179.83,-0.02
38,Entry short,2026-02-20 06:30,short,1940.87,1.0304,1999.872448,-9.56,-0.48,1.63,0.08,-9.85,-0.49,-179.83,-0.02
39,Exit long,2026-02-20 10:15,short,1948.98,1.0255,1999.878825,-1.2,-0.06,14.76,0.74,-4.03,-0.20,-181.03,-0.02
39,Entry long,2026-02-20 07:15,long,1950.15,1.0255,1999.878825,-1.2,-0.06,14.76,0.74,-4.03,-0.20,-181.03,-0.02
40,Exit short,2026-02-20 11:45,long,1954.85,1.0261,1999.848378,-6.02,-0.30,0.07,0.00,-11.96,-0.60,-187.06,-0.02
40,Entry short,2026-02-20 10:15,short,1948.98,1.0261,1999.848378,-6.02,-0.30,0.07,0.00,-11.96,-0.60,-187.06,-0.02
41,Exit long,2026-02-20 12:30,short,1944.96,1.023,1999.81155,-10.12,-0.51,1.33,0.07,-24.39,-1.22,-197.17,-0.02
41,Entry long,2026-02-20 11:45,long,1954.85,1.023,1999.81155,-10.12,-0.51,1.33,0.07,-24.39,-1.22,-197.17,-0.02
42,Exit short,2026-02-20 14:00,long,1958.77,1.0282,1999.807872,-14.2,-0.71,10.47,0.52,-21.12,-1.06,-211.37,-0.02
42,Entry short,2026-02-20 12:30,short,1944.96,1.0282,1999.807872,-14.2,-0.71,10.47,0.52,-21.12,-1.06,-211.37,-0.02
43,Exit long,2026-02-20 19:15,short,1953.87,1.021,1999.90417,-5,-0.25,15.41,0.77,-9.14,-0.46,-216.38,-0.02
43,Entry long,2026-02-20 14:00,long,1958.77,1.021,1999.90417,-5,-0.25,15.41,0.77,-9.14,-0.46,-216.38,-0.02
44,Exit short,2026-02-20 23:00,long,1945.94,1.0236,1999.981332,8.12,0.41,31.63,1.58,-27.25,-1.36,-208.26,-0.02
44,Entry short,2026-02-20 19:15,short,1953.87,1.0236,1999.981332,8.12,0.41,31.63,1.58,-27.25,-1.36,-208.26,-0.02
45,Exit long,2026-02-21 01:15,short,1944.38,1.0277,1999.842538,-1.6,-0.08,28.32,1.42,-10.83,-0.54,-209.86,-0.02
45,Entry long,2026-02-20 23:00,long,1945.94,1.0277,1999.842538,-1.6,-0.08,28.32,1.42,-10.83,-0.54,-209.86,-0.02
46,Exit short,2026-02-21 02:00,long,1964.77,1.0286,1999.989268,-20.97,-1.05,1.05,0.05,-27.32,-1.37,-230.84,-0.02
46,Entry short,2026-02-21 01:15,short,1944.38,1.0286,1999.989268,-20.97,-1.05,1.05,0.05,-27.32,-1.37,-230.84,-0.02
47,Exit long,2026-02-21 06:30,short,1968.48,1.0179,1999.939383,3.78,0.19,16.7,0.84,-4.97,-0.25,-227.06,-0.02
47,Entry long,2026-02-21 02:00,long,1964.77,1.0179,1999.939383,3.78,0.19,16.7,0.84,-4.97,-0.25,-227.06,-0.02
48,Exit short,2026-02-21 10:15,long,1969.41,1.016,1999.97568,-0.94,-0.05,7.12,0.36,-4.87,-0.24,-228,-0.02
48,Entry short,2026-02-21 06:30,short,1968.48,1.016,1999.97568,-0.94,-0.05,7.12,0.36,-4.87,-0.24,-228,-0.02
49,Exit long,2026-02-21 11:00,short,1960.84,1.0155,1999.935855,-8.7,-0.44,1.31,0.07,-9.93,-0.50,-236.71,-0.02
49,Entry long,2026-02-21 10:15,long,1969.41,1.0155,1999.935855,-8.7,-0.44,1.31,0.07,-9.93,-0.50,-236.71,-0.02
50,Exit short,2026-02-21 14:00,long,1965.61,1.0199,1999.860716,-4.86,-0.24,5.32,0.27,-5.35,-0.27,-241.57,-0.02
50,Entry short,2026-02-21 11:00,short,1960.84,1.0199,1999.860716,-4.86,-0.24,5.32,0.27,-5.35,-0.27,-241.57,-0.02
51,Exit long,2026-02-21 20:45,short,1975.99,1.0174,1999.811614,10.56,0.53,23.39,1.17,-5.71,-0.29,-231.01,-0.02
51,Entry long,2026-02-21 14:00,long,1965.61,1.0174,1999.811614,10.56,0.53,23.39,1.17,-5.71,-0.29,-231.01,-0.02
52,Exit short,2026-02-21 21:30,long,1977.66,1.0121,1999.899479,-1.69,-0.08,3.4,0.17,-2.41,-0.12,-232.7,-0.02
52,Entry short,2026-02-21 20:45,short,1975.99,1.0121,1999.899479,-1.69,-0.08,3.4,0.17,-2.41,-0.12,-232.7,-0.02
53,Exit long,2026-02-22 00:30,short,1988.93,1.0112,1999.809792,11.4,0.57,18.1,0.91,-1.26,-0.06,-221.31,-0.02
53,Entry long,2026-02-21 21:30,long,1977.66,1.0112,1999.809792,11.4,0.57,18.1,0.91,-1.26,-0.06,-221.31,-0.02
54,Exit short,2026-02-22 01:15,long,1986.11,1.0055,1999.869115,2.84,0.14,4.7,0.23,-0.71,-0.04,-218.47,-0.02
54,Entry short,2026-02-22 00:30,short,1988.93,1.0055,1999.869115,2.84,0.14,4.7,0.23,-0.71,-0.04,-218.47,-0.02
55,Exit long,2026-02-22 04:15,short,1989.49,1.0069,1999.814159,3.4,0.17,9.26,0.46,-0.89,-0.04,-215.07,-0.02
55,Entry long,2026-02-22 01:15,long,1986.11,1.0069,1999.814159,3.4,0.17,9.26,0.46,-0.89,-0.04,-215.07,-0.02
56,Exit short,2026-02-22 09:30,long,1978.41,1.0052,1999.835348,11.14,0.56,21.85,1.09,-0.67,-0.03,-203.93,-0.02
56,Entry short,2026-02-22 04:15,short,1989.49,1.0052,1999.835348,11.14,0.56,21.85,1.09,-0.67,-0.03,-203.93,-0.02
57,Exit long,2026-02-22 11:00,short,1974.95,1.0109,1999.974669,-3.5,-0.17,4.63,0.23,-6.37,-0.32,-207.43,-0.02
57,Entry long,2026-02-22 09:30,long,1978.41,1.0109,1999.974669,-3.5,-0.17,4.63,0.23,-6.37,-0.32,-207.43,-0.02
58,Exit short,2026-02-22 14:00,long,1975.93,1.0126,1999.83437,-0.99,-0.05,7.65,0.38,-1.81,-0.09,-208.42,-0.02
58,Entry short,2026-02-22 11:00,short,1974.95,1.0126,1999.83437,-0.99,-0.05,7.65,0.38,-1.81,-0.09,-208.42,-0.02
59,Exit long,2026-02-22 17:00,short,1972.64,1.0121,1999.838753,-3.33,-0.17,3.65,0.18,-5.41,-0.27,-211.75,-0.02
59,Entry long,2026-02-22 14:00,long,1975.93,1.0121,1999.838753,-3.33,-0.17,3.65,0.18,-5.41,-0.27,-211.75,-0.02
60,Exit short,2026-02-22 18:30,long,1978.82,1.0138,1999.862432,-6.27,-0.31,0.93,0.05,-7.47,-0.37,-218.01,-0.02
60,Entry short,2026-02-22 17:00,short,1972.64,1.0138,1999.862432,-6.27,-0.31,0.93,0.05,-7.47,-0.37,-218.01,-0.02
61,Exit long,2026-02-22 20:45,short,1966.37,1.0107,1999.993374,-12.58,-0.63,4.36,0.22,-17.16,-0.86,-230.6,-0.02
61,Entry long,2026-02-22 18:30,long,1978.82,1.0107,1999.993374,-12.58,-0.63,4.36,0.22,-17.16,-0.86,-230.6,-0.02
62,Exit short,2026-02-22 23:45,long,1953.98,1.0171,1999.994927,12.6,0.63,23.23,1.16,-2.36,-0.12,-218,-0.02
62,Entry short,2026-02-22 20:45,short,1966.37,1.0171,1999.994927,12.6,0.63,23.23,1.16,-2.36,-0.12,-218,-0.02
63,Exit long,2026-02-23 00:30,short,1950,1.0235,1999.89853,-4.07,-0.20,1.62,0.08,-6.6,-0.33,-222.07,-0.02
63,Entry long,2026-02-22 23:45,long,1953.98,1.0235,1999.89853,-4.07,-0.20,1.62,0.08,-6.6,-0.33,-222.07,-0.02
64,Exit short,2026-02-23 04:15,long,1944.65,1.0256,1999.92,5.49,0.27,15.38,0.77,-3.69,-0.18,-216.58,-0.02
64,Entry short,2026-02-23 00:30,short,1950,1.0256,1999.92,5.49,0.27,15.38,0.77,-3.69,-0.18,-216.58,-0.02
65,Exit long,2026-02-23 08:45,short,1929.42,1.0284,1999.87806,-15.66,-0.78,16.76,0.84,-16.39,-0.82,-232.25,-0.02
65,Entry long,2026-02-23 04:15,long,1944.65,1.0284,1999.87806,-15.66,-0.78,16.76,0.84,-16.39,-0.82,-232.25,-0.02
66,Exit short,2026-02-23 13:15,long,1867.35,1.0365,1999.84383,64.34,3.22,84.95,4.25,0,0.00,-167.91,-0.02
66,Entry short,2026-02-23 08:45,short,1929.42,1.0365,1999.84383,64.34,3.22,84.95,4.25,0,0.00,-167.91,-0.02
67,Exit long,2026-02-23 23:00,short,1904.19,1.071,1999.93185,39.46,1.97,73.01,3.65,-4.35,-0.22,-128.45,-0.01
67,Entry long,2026-02-23 13:15,long,1867.35,1.071,1999.93185,39.46,1.97,73.01,3.65,-4.35,-0.22,-128.45,-0.01
68,Exit short,2026-02-24 05:00,long,1867.35,1.0503,1999.970757,38.69,1.93,70.43,3.52,-9.49,-0.47,-89.76,-0.01
68,Entry short,2026-02-23 23:00,short,1904.19,1.0503,1999.970757,38.69,1.93,70.43,3.52,-9.49,-0.47,-89.76,-0.01
69,Exit long,2026-02-24 08:00,short,1863.42,1.071,1999.93185,-4.21,-0.21,2.84,0.14,-17.56,-0.88,-93.97,-0.01
69,Entry long,2026-02-24 05:00,long,1867.35,1.071,1999.93185,-4.21,-0.21,2.84,0.14,-17.56,-0.88,-93.97,-0.01
70,Exit short,2026-02-24 08:45,long,1867.96,1.0732,1999.822344,-4.87,-0.24,1.93,0.10,-6.61,-0.33,-98.84,-0.01
70,Entry short,2026-02-24 08:00,short,1863.42,1.0732,1999.822344,-4.87,-0.24,1.93,0.10,-6.61,-0.33,-98.84,-0.01
71,Exit long,2026-02-24 09:30,short,1847.23,1.0706,1999.837976,-22.19,-1.11,0.03,0.00,-60.11,-3.01,-121.04,-0.01
71,Entry long,2026-02-24 08:45,long,1867.96,1.0706,1999.837976,-22.19,-1.11,0.03,0.00,-60.11,-3.01,-121.04,-0.01
72,Exit short,2026-02-24 13:15,long,1818.5,1.0827,1999.995921,31.11,1.56,36.23,1.81,-7.83,-0.39,-89.93,-0.01
72,Entry short,2026-02-24 09:30,short,1847.23,1.0827,1999.995921,31.11,1.56,36.23,1.81,-7.83,-0.39,-89.93,-0.01
73,Exit long,2026-02-24 14:00,short,1824.91,1.0998,1999.9863,7.05,0.35,11.43,0.57,-2.24,-0.11,-82.88,-0.01
73,Entry long,2026-02-24 13:15,long,1818.5,1.0998,1999.9863,7.05,0.35,11.43,0.57,-2.24,-0.11,-82.88,-0.01
74,Exit short,2026-02-24 15:30,long,1823.95,1.0959,1999.918869,1.05,0.05,10.61,0.53,-7.65,-0.38,-81.83,-0.01
74,Entry short,2026-02-24 14:00,short,1824.91,1.0959,1999.918869,1.05,0.05,10.61,0.53,-7.65,-0.38,-81.83,-0.01
75,Exit long,2026-02-24 16:15,short,1830.31,1.0965,1999.961175,6.97,0.35,8.13,0.41,-5.95,-0.30,-74.85,-0.01
75,Entry long,2026-02-24 15:30,long,1823.95,1.0965,1999.961175,6.97,0.35,8.13,0.41,-5.95,-0.30,-74.85,-0.01
76,Exit short,2026-02-24 17:00,long,1827.55,1.0927,1999.979737,3.02,0.15,6.3,0.32,-6.41,-0.32,-71.84,-0.01
76,Entry short,2026-02-24 16:15,short,1830.31,1.0927,1999.979737,3.02,0.15,6.3,0.32,-6.41,-0.32,-71.84,-0.01
77,Exit long,2026-02-24 17:45,short,1827.14,1.0943,1999.887965,-0.45,-0.02,0.53,0.03,-13.49,-0.67,-72.29,-0.01
77,Entry long,2026-02-24 17:00,long,1827.55,1.0943,1999.887965,-0.45,-0.02,0.53,0.03,-13.49,-0.67,-72.29,-0.01
78,Exit short,2026-02-24 18:30,long,1822.84,1.0946,1999.987444,4.71,0.24,7.19,0.36,-1.52,-0.08,-67.58,-0.01
78,Entry short,2026-02-24 17:45,short,1827.14,1.0946,1999.987444,4.71,0.24,7.19,0.36,-1.52,-0.08,-67.58,-0.01
79,Exit long,2026-02-24 19:15,short,1821.58,1.0971,1999.837764,-1.38,-0.07,7.5,0.38,-3.66,-0.18,-68.96,-0.01
79,Entry long,2026-02-24 18:30,long,1822.84,1.0971,1999.837764,-1.38,-0.07,7.5,0.38,-3.66,-0.18,-68.96,-0.01
80,Exit short,2026-02-24 20:00,long,1827.38,1.0979,1999.912682,-6.37,-0.32,3.84,0.19,-9.56,-0.48,-75.33,-0.01
80,Entry short,2026-02-24 19:15,short,1821.58,1.0979,1999.912682,-6.37,-0.32,3.84,0.19,-9.56,-0.48,-75.33,-0.01
81,Exit long,2026-02-24 20:45,short,1823.92,1.0944,1999.884672,-3.79,-0.19,2.08,0.10,-6.91,-0.35,-79.12,-0.01
81,Entry long,2026-02-24 20:00,long,1827.38,1.0944,1999.884672,-3.79,-0.19,2.08,0.10,-6.91,-0.35,-79.12,-0.01
82,Exit short,2026-02-24 23:00,long,1839.69,1.0965,1999.92828,-17.29,-0.86,26.23,1.31,-26.39,-1.32,-96.41,-0.01
82,Entry short,2026-02-24 20:45,short,1823.92,1.0965,1999.92828,-17.29,-0.86,26.23,1.31,-26.39,-1.32,-96.41,-0.01
83,Exit long,2026-02-25 03:30,short,1854,1.0871,1999.926999,15.56,0.78,27.93,1.40,-2.14,-0.11,-80.85,-0.01
83,Entry long,2026-02-24 23:00,long,1839.69,1.0871,1999.926999,15.56,0.78,27.93,1.40,-2.14,-0.11,-80.85,-0.01
84,Exit short,2026-02-25 05:00,long,1853.2,1.0787,1999.9098,0.86,0.04,4.85,0.24,-9.02,-0.45,-79.99,-0.01
84,Entry short,2026-02-25 03:30,short,1854,1.0787,1999.9098,0.86,0.04,4.85,0.24,-9.02,-0.45,-79.99,-0.01
85,Exit long,2026-02-25 05:45,short,1854.17,1.0792,1999.97344,1.05,0.05,1.75,0.09,-8.41,-0.42,-78.94,-0.01
85,Entry long,2026-02-25 05:00,long,1853.2,1.0792,1999.97344,1.05,0.05,1.75,0.09,-8.41,-0.42,-78.94,-0.01
86,Exit short,2026-02-25 06:30,long,1857.48,1.0786,1999.907762,-3.57,-0.18,1.35,0.07,-10.72,-0.54,-82.51,-0.01
86,Entry short,2026-02-25 05:45,short,1854.17,1.0786,1999.907762,-3.57,-0.18,1.35,0.07,-10.72,-0.54,-82.51,-0.01
87,Exit long,2026-02-25 07:15,short,1857.72,1.0767,1999.948716,0.26,0.01,3.8,0.19,-5.81,-0.29,-82.25,-0.01
87,Entry long,2026-02-25 06:30,long,1857.48,1.0767,1999.948716,0.26,0.01,3.8,0.19,-5.81,-0.29,-82.25,-0.01
88,Exit short,2026-02-25 08:45,long,1851.98,1.0765,1999.83558,6.18,0.31,11.82,0.59,-2.86,-0.14,-76.08,-0.01
88,Entry short,2026-02-25 07:15,short,1857.72,1.0765,1999.83558,6.18,0.31,11.82,0.59,-2.86,-0.14,-76.08,-0.01
89,Exit long,2026-02-25 11:45,short,1906.14,1.0799,1999.953202,58.49,2.92,100.3,5.02,-1.61,-0.08,-17.59,0.00
89,Entry long,2026-02-25 08:45,long,1851.98,1.0799,1999.953202,58.49,2.92,100.3,5.02,-1.61,-0.08,-17.59,0.00
90,Exit short,2026-02-25 17:00,long,1914.12,1.0492,1999.922088,-8.37,-0.42,29.5,1.48,-12.27,-0.61,-25.96,0.00
90,Entry short,2026-02-25 11:45,short,1906.14,1.0492,1999.922088,-8.37,-0.42,29.5,1.48,-12.27,-0.61,-25.96,0.00
91,Exit long,2026-02-26 04:15,short,2059.68,1.0448,1999.872576,152.08,7.60,179.76,8.99,-6.64,-0.33,126.12,0.01
91,Entry long,2026-02-25 17:00,long,1914.12,1.0448,1999.872576,152.08,7.60,179.76,8.99,-6.64,-0.33,126.12,0.01
92,Exit short,2026-02-26 05:00,long,2071.98,0.971,1999.94928,-11.94,-0.60,1.27,0.06,-23.61,-1.18,114.18,0.01
92,Entry short,2026-02-26 04:15,short,2059.68,0.971,1999.94928,-11.94,-0.60,1.27,0.06,-23.61,-1.18,114.18,0.01
93,Exit long,2026-02-26 07:15,short,2069.58,0.9652,1999.875096,-2.32,-0.12,73.75,3.69,-5.93,-0.30,111.86,0.01
93,Entry long,2026-02-26 05:00,long,2071.98,0.9652,1999.875096,-2.32,-0.12,73.75,3.69,-5.93,-0.30,111.86,0.01
94,Exit short,2026-02-26 11:45,long,2054.55,0.9663,1999.835154,14.52,0.73,34,1.70,-6.78,-0.34,126.38,0.01
94,Entry short,2026-02-26 07:15,short,2069.58,0.9663,1999.835154,14.52,0.73,34,1.70,-6.78,-0.34,126.38,0.01
95,Exit long,2026-02-26 16:15,short,2048.51,0.9734,1999.89897,-5.88,-0.29,27.51,1.38,-9.1,-0.46,120.5,0.01
