trade_no,entry_time,exit_time,dir,entry_px,exit_px,pnl
139,2025-06-05 14:15:00,2025-06-05 15:45:00,SHORT,2582.5,2589.43,-6.93
140,2025-06-05 15:45:00,2025-06-05 16:30:00,LONG,2589.43,2566.25,-23.18
141,2025-06-05 16:30:00,2025-06-05 17:15:00,SHORT,2566.25,2572.12,-5.87
142,2025-06-05 17:15:00,2025-06-05 19:30:00,LONG,2572.12,2542.31,-29.81
143,2025-06-05 19:30:00,2025-06-05 21:45:00,SHORT,2542.31,2437.29,105.02
144,2025-06-05 21:45:00,2025-06-05 22:30:00,LONG,2437.29,2425.13,-12.16
145,2025-06-05 22:30:00,2025-06-05 23:15:00,SHORT,2425.13,2422.12,3.01
146,2025-06-05 23:15:00,2025-06-06 00:00:00,LONG,2422.12,2406.9,-15.22
147,2025-06-06 00:00:00,2025-06-06 00:45:00,SHORT,2406.9,2426.41,-19.51
148,2025-06-06 00:45:00,2025-06-06 02:15:00,LONG,2426.41,2406.5,-19.91
149,2025-06-06 02:15:00,2025-06-06 03:00:00,SHORT,2406.5,2428.64,-22.14
150,2025-06-06 03:00:00,2025-06-06 06:45:00,LONG,2428.64,2457.95,29.31
151,2025-06-06 06:45:00,2025-06-06 07:30:00,SHORT,2457.95,2455.7,2.25
152,2025-06-06 07:30:00,2025-06-06 09:00:00,LONG,2455.7,2464.2,8.5
153,2025-06-06 09:00:00,2025-06-06 09:45:00,SHORT,2464.2,2468.53,-4.33
154,2025-06-06 09:45:00,2025-06-06 12:00:00,LONG,2468.53,2479.79,11.26
155,2025-06-06 12:00:00,2025-06-06 13:30:00,SHORT,2479.79,2499.79,-20.0
156,2025-06-06 13:30:00,2025-06-06 15:45:00,LONG,2499.79,2509.63,9.84
157,2025-06-06 15:45:00,2025-06-06 18:00:00,SHORT,2509.63,2493.8,15.83
158,2025-06-06 18:00:00,2025-06-06 19:30:00,LONG,2493.8,2492.84,-0.96
159,2025-06-06 19:30:00,2025-06-06 20:15:00,SHORT,2492.84,2494.47,-1.63
160,2025-06-06 20:15:00,2025-06-06 22:30:00,LONG,2494.47,2480.31,-14.16
161,2025-06-06 22:30:00,2025-06-07 00:45:00,SHORT,2480.31,2480.81,-0.5
162,2025-06-07 00:45:00,2025-06-07 01:30:00,LONG,2480.81,2470.69,-10.12
163,2025-06-07 01:30:00,2025-06-07 03:00:00,SHORT,2470.69,2486.81,-16.12
164,2025-06-07 03:00:00,2025-06-07 04:30:00,LONG,2486.81,2488.75,1.94
165,2025-06-07 04:30:00,2025-06-07 05:15:00,SHORT,2488.75,2489.01,-0.26
166,2025-06-07 05:15:00,2025-06-07 07:30:00,LONG,2489.01,2492.46,3.45
167,2025-06-07 07:30:00,2025-06-07 10:30:00,SHORT,2492.46,2491.7,0.76
168,2025-06-07 10:30:00,2025-06-07 12:00:00,LONG,2491.7,2495.46,3.76
169,2025-06-07 12:00:00,2025-06-07 12:45:00,SHORT,2495.46,2497.85,-2.39
170,2025-06-07 12:45:00,2025-06-07 15:45:00,LONG,2497.85,2519.75,21.9
171,2025-06-07 15:45:00,2025-06-07 19:30:00,SHORT,2519.75,2517.67,2.08
172,2025-06-07 19:30:00,2025-06-07 23:15:00,LONG,2517.67,2526.21,8.54
173,2025-06-07 23:15:00,2025-06-08 03:45:00,SHORT,2526.21,2511.72,14.49
174,2025-06-08 03:45:00,2025-06-08 05:15:00,LONG,2511.72,2515.33,3.61
175,2025-06-08 05:15:00,2025-06-08 06:45:00,SHORT,2515.33,2512.81,2.52
176,2025-06-08 06:45:00,2025-06-08 09:45:00,LONG,2512.81,2497.48,-15.33
177,2025-06-08 09:45:00,2025-06-08 11:15:00,SHORT,2497.48,2511.2,-13.72
178,2025-06-08 11:15:00,2025-06-08 12:45:00,LONG,2511.2,2507.69,-3.51
179,2025-06-08 12:45:00,2025-06-08 13:30:00,SHORT,2507.69,2518.41,-10.72
180,2025-06-08 13:30:00,2025-06-08 14:15:00,LONG,2518.41,2509.99,-8.42
181,2025-06-08 14:15:00,2025-06-08 15:00:00,SHORT,2509.99,2518.59,-8.6
182,2025-06-08 15:00:00,2025-06-08 18:00:00,LONG,2518.59,2531.6,13.01
183,2025-06-08 18:00:00,2025-06-08 19:30:00,SHORT,2531.6,2529.79,1.81
184,2025-06-08 19:30:00,2025-06-08 21:00:00,LONG,2529.79,2535.32,5.53
185,2025-06-08 21:00:00,2025-06-08 21:45:00,SHORT,2535.32,2538.19,-2.87
186,2025-06-08 21:45:00,2025-06-08 22:30:00,LONG,2538.19,2512.59,-25.6
187,2025-06-08 22:30:00,2025-06-09 00:00:00,SHORT,2512.59,2507.7,4.89
188,2025-06-09 00:00:00,2025-06-09 00:45:00,LONG,2507.7,2505.2,-2.5
189,2025-06-09 00:45:00,2025-06-09 01:30:00,SHORT,2505.2,2497.68,7.52
190,2025-06-09 01:30:00,2025-06-09 03:00:00,LONG,2497.68,2486.18,-11.5
191,2025-06-09 03:00:00,2025-06-09 03:45:00,SHORT,2486.18,2496.86,-10.68
192,2025-06-09 03:45:00,2025-06-09 04:30:00,LONG,2496.86,2486.92,-9.94
193,2025-06-09 04:30:00,2025-06-09 05:15:00,SHORT,2486.92,2486.5,0.42
194,2025-06-09 05:15:00,2025-06-09 06:00:00,LONG,2486.5,2481.15,-5.35
195,2025-06-09 06:00:00,2025-06-09 06:45:00,SHORT,2481.15,2493.5,-12.35
196,2025-06-09 06:45:00,2025-06-09 07:30:00,LONG,2493.5,2489.14,-4.36
197,2025-06-09 07:30:00,2025-06-09 08:15:00,SHORT,2489.14,2487.17,1.97
198,2025-06-09 08:15:00,2025-06-09 13:30:00,LONG,2487.17,2531.59,44.42
199,2025-06-09 13:30:00,2025-06-09 15:45:00,SHORT,2531.59,2534.11,-2.52
200,2025-06-09 15:45:00,2025-06-09 20:15:00,LONG,2534.11,2580.84,46.73
201,2025-06-09 20:15:00,2025-06-09 21:00:00,SHORT,2580.84,2619.19,-38.35
202,2025-06-09 21:00:00,2025-06-09 23:15:00,LONG,2619.19,2662.54,43.35
203,2025-06-09 23:15:00,2025-06-10 00:00:00,SHORT,2662.54,2691.4,-28.86
204,2025-06-10 00:00:00,2025-06-10 02:15:00,LONG,2691.4,2686.43,-4.97
205,2025-06-10 02:15:00,2025-06-10 04:30:00,SHORT,2686.43,2690.28,-3.85
206,2025-06-10 04:30:00,2025-06-10 06:00:00,LONG,2690.28,2658.53,-31.75
207,2025-06-10 06:00:00,2025-06-10 06:45:00,SHORT,2658.53,2675.99,-17.46
208,2025-06-10 06:45:00,2025-06-10 08:15:00,LONG,2675.99,2674.25,-1.74
209,2025-06-10 08:15:00,2025-06-10 09:45:00,SHORT,2674.25,2692.48,-18.23
210,2025-06-10 09:45:00,2025-06-10 13:30:00,LONG,2692.48,2720.9,28.42
211,2025-06-10 13:30:00,2025-06-10 14:15:00,SHORT,2720.9,2741.73,-20.83
212,2025-06-10 14:15:00,2025-06-10 15:00:00,LONG,2741.73,2747.82,6.09
213,2025-06-10 15:00:00,2025-06-10 16:30:00,SHORT,2747.82,2739.8,8.02
214,2025-06-10 16:30:00,2025-06-10 20:15:00,LONG,2739.8,2759.81,20.01
215,2025-06-10 20:15:00,2025-06-10 21:00:00,SHORT,2759.81,2757.67,2.14
216,2025-06-10 21:00:00,2025-06-10 23:15:00,LONG,2757.67,2798.89,41.22
217,2025-06-10 23:15:00,2025-06-11 00:00:00,SHORT,2798.89,2821.39,-22.5
218,2025-06-11 00:00:00,2025-06-11 00:45:00,LONG,2821.39,2795.3,-26.09
219,2025-06-11 00:45:00,2025-06-11 02:15:00,SHORT,2795.3,2782.8,12.5
220,2025-06-11 02:15:00,2025-06-11 03:00:00,LONG,2782.8,2789.51,6.71
221,2025-06-11 03:00:00,2025-06-11 03:45:00,SHORT,2789.51,2791.06,-1.55
222,2025-06-11 03:45:00,2025-06-11 05:15:00,LONG,2791.06,2801.5,10.44
223,2025-06-11 05:15:00,2025-06-11 07:30:00,SHORT,2801.5,2797.8,3.7
224,2025-06-11 07:30:00,2025-06-11 08:15:00,LONG,2797.8,2778.9,-18.9
225,2025-06-11 08:15:00,2025-06-11 10:30:00,SHORT,2778.9,2766.68,12.22
226,2025-06-11 10:30:00,2025-06-11 11:15:00,LONG,2766.68,2766.25,-0.43
227,2025-06-11 11:15:00,2025-06-11 12:00:00,SHORT,2766.25,2781.0,-14.75
228,2025-06-11 12:00:00,2025-06-11 17:15:00,LONG,2781.0,2867.62,86.62
229,2025-06-11 17:15:00,2025-06-11 18:45:00,SHORT,2867.62,2821.6,46.02
230,2025-06-11 18:45:00,2025-06-11 20:15:00,LONG,2821.6,2819.31,-2.29
231,2025-06-11 20:15:00,2025-06-11 23:15:00,SHORT,2819.31,2771.8,47.51
232,2025-06-11 23:15:00,2025-06-12 01:30:00,LONG,2771.8,2767.43,-4.37
233,2025-06-12 01:30:00,2025-06-12 02:15:00,SHORT,2767.43,2773.01,-5.58
234,2025-06-12 02:15:00,2025-06-12 03:00:00,LONG,2773.01,2761.49,-11.52
235,2025-06-12 03:00:00,2025-06-12 03:45:00,SHORT,2761.49,2765.08,-3.59
236,2025-06-12 03:45:00,2025-06-12 04:30:00,LONG,2765.08,2753.01,-12.07
237,2025-06-12 04:30:00,2025-06-12 06:00:00,SHORT,2753.01,2760.27,-7.26
238,2025-06-12 06:00:00,2025-06-12 07:30:00,LONG,2760.27,2745.83,-14.44
239,2025-06-12 07:30:00,2025-06-12 09:00:00,SHORT,2745.83,2753.3,-7.47
240,2025-06-12 09:00:00,2025-06-12 10:30:00,LONG,2753.3,2742.58,-10.72
241,2025-06-12 10:30:00,2025-06-12 11:15:00,SHORT,2742.58,2727.49,15.09
242,2025-06-12 11:15:00,2025-06-12 12:00:00,LONG,2727.49,2718.05,-9.44
243,2025-06-12 12:00:00,2025-06-12 12:45:00,SHORT,2718.05,2736.9,-18.85
244,2025-06-12 12:45:00,2025-06-12 15:45:00,LONG,2736.9,2719.79,-17.11
245,2025-06-12 15:45:00,2025-06-12 16:30:00,SHORT,2719.79,2740.89,-21.1
246,2025-06-12 16:30:00,2025-06-12 18:45:00,LONG,2740.89,2735.29,-5.6
247,2025-06-12 18:45:00,2025-06-12 19:30:00,SHORT,2735.29,2722.5,12.79
248,2025-06-12 19:30:00,2025-06-12 20:15:00,LONG,2722.5,2690.41,-32.09
249,2025-06-12 20:15:00,2025-06-12 23:15:00,SHORT,2690.41,2657.72,32.69
250,2025-06-12 23:15:00,2025-06-13 00:00:00,LONG,2657.72,2568.09,-89.63
251,2025-06-13 00:00:00,2025-06-13 03:00:00,SHORT,2568.09,2493.71,74.38
252,2025-06-13 03:00:00,2025-06-13 05:15:00,LONG,2493.71,2513.23,19.52
253,2025-06-13 05:15:00,2025-06-13 06:45:00,SHORT,2513.23,2532.91,-19.68
254,2025-06-13 06:45:00,2025-06-13 09:00:00,LONG,2532.91,2517.08,-15.83
255,2025-06-13 09:00:00,2025-06-13 10:30:00,SHORT,2517.08,2527.86,-10.78
256,2025-06-13 10:30:00,2025-06-13 12:45:00,LONG,2527.86,2542.09,14.23
257,2025-06-13 12:45:00,2025-06-13 15:00:00,SHORT,2542.09,2548.91,-6.82
258,2025-06-13 15:00:00,2025-06-13 17:15:00,LONG,2548.91,2535.22,-13.69
259,2025-06-13 17:15:00,2025-06-13 19:30:00,SHORT,2535.22,2527.6,7.62
260,2025-06-13 19:30:00,2025-06-14 00:45:00,LONG,2527.6,2562.63,35.03
261,2025-06-14 00:45:00,2025-06-14 02:15:00,SHORT,2562.63,2558.14,4.49
262,2025-06-14 02:15:00,2025-06-14 03:00:00,LONG,2558.14,2553.13,-5.01
263,2025-06-14 03:00:00,2025-06-14 04:30:00,SHORT,2553.13,2554.2,-1.07
264,2025-06-14 04:30:00,2025-06-14 05:15:00,LONG,2554.2,2550.0,-4.2
265,2025-06-14 05:15:00,2025-06-14 06:00:00,SHORT,2550.0,2551.57,-1.57
266,2025-06-14 06:00:00,2025-06-14 06:45:00,LONG,2551.57,2543.53,-8.04
267,2025-06-14 06:45:00,2025-06-14 09:00:00,SHORT,2543.53,2530.17,13.36
268,2025-06-14 09:00:00,2025-06-14 09:45:00,LONG,2530.17,2523.0,-7.17
269,2025-06-14 09:45:00,2025-06-14 10:30:00,SHORT,2523.0,2529.79,-6.79
270,2025-06-14 10:30:00,2025-06-14 12:45:00,LONG,2529.79,2536.64,6.85
271,2025-06-14 12:45:00,2025-06-14 13:30:00,SHORT,2536.64,2530.99,5.65
272,2025-06-14 13:30:00,2025-06-14 14:15:00,LONG,2530.99,2533.6,2.61
273,2025-06-14 14:15:00,2025-06-14 18:00:00,SHORT,2533.6,2517.83,15.77
274,2025-06-14 18:00:00,2025-06-14 18:45:00,LONG,2517.83,2508.48,-9.35
275,2025-06-14 18:45:00,2025-06-14 19:30:00,SHORT,2508.48,2517.91,-9.43
276,2025-06-14 19:30:00,2025-06-14 20:15:00,LONG,2517.91,2506.81,-11.1
277,2025-06-14 20:15:00,2025-06-14 21:00:00,SHORT,2506.81,2512.89,-6.08
278,2025-06-14 21:00:00,2025-06-15 00:00:00,LONG,2512.89,2534.81,21.92
279,2025-06-15 00:00:00,2025-06-15 00:45:00,SHORT,2534.81,2537.6,-2.79
280,2025-06-15 00:45:00,2025-06-15 01:30:00,LONG,2537.6,2532.36,-5.24
281,2025-06-15 01:30:00,2025-06-15 02:15:00,SHORT,2532.36,2534.79,-2.43
282,2025-06-15 02:15:00,2025-06-15 03:00:00,LONG,2534.79,2532.39,-2.4
283,2025-06-15 03:00:00,2025-06-15 03:45:00,SHORT,2532.39,2530.1,2.29
284,2025-06-15 03:45:00,2025-06-15 06:45:00,LONG,2530.1,2535.6,5.5
285,2025-06-15 06:45:00,2025-06-15 10:30:00,SHORT,2535.6,2519.32,16.28
286,2025-06-15 10:30:00,2025-06-15 15:45:00,LONG,2519.32,2541.81,22.49
287,2025-06-15 15:45:00,2025-06-15 18:00:00,SHORT,2541.81,2546.87,-5.06
288,2025-06-15 18:00:00,2025-06-15 18:45:00,LONG,2546.87,2548.65,1.78
289,2025-06-15 18:45:00,2025-06-15 21:45:00,SHORT,2548.65,2517.4,31.25
290,2025-06-15 21:45:00,2025-06-16 01:30:00,LONG,2517.4,2538.51,21.11
291,2025-06-16 01:30:00,2025-06-16 02:15:00,SHORT,2538.51,2569.67,-31.16
292,2025-06-16 02:15:00,2025-06-16 03:45:00,LONG,2569.67,2568.25,-1.42
293,2025-06-16 03:45:00,2025-06-16 06:00:00,SHORT,2568.25,2610.78,-42.53
294,2025-06-16 06:00:00,2025-06-16 09:45:00,LONG,2610.78,2621.54,10.76
295,2025-06-16 09:45:00,2025-06-16 10:30:00,SHORT,2621.54,2620.61,0.93
296,2025-06-16 10:30:00,2025-06-16 11:15:00,LONG,2620.61,2597.88,-22.73
