trade_no,entry_time,exit_time,dir,entry_px,exit_px,pnl
65,2025-06-08 13:30:00,2025-06-08 22:30:00,LONG,2514.16,2509.98,-4.18
66,2025-06-08 22:30:00,2025-06-09 09:30:00,SHORT,2509.98,2503.46,6.52
67,2025-06-09 09:30:00,2025-06-11 08:15:00,LONG,2503.46,2780.24,276.78
68,2025-06-11 08:15:00,2025-06-11 12:30:00,SHORT,2780.24,2782.71,-2.47
69,2025-06-11 12:30:00,2025-06-11 20:00:00,LONG,2782.71,2802.83,20.12
70,2025-06-11 20:00:00,2025-06-11 20:15:00,SHORT,2802.83,2820.1,-17.27
71,2025-06-11 20:15:00,2025-06-11 21:30:00,LONG,2820.1,2809.04,-11.05
72,2025-06-11 21:30:00,2025-06-12 14:00:00,SHORT,2809.04,2760.87,48.17
73,2025-06-12 14:00:00,2025-06-12 15:15:00,LONG,2760.87,2758.43,-2.44
74,2025-06-12 15:15:00,2025-06-12 17:15:00,SHORT,2758.43,2760.13,-1.71
75,2025-06-12 17:15:00,2025-06-12 18:15:00,LONG,2760.13,2740.61,-19.52
76,2025-06-12 18:15:00,2025-06-13 11:30:00,SHORT,2740.61,2533.19,207.42
77,2025-06-13 11:30:00,2025-06-13 14:15:00,LONG,2533.19,2516.49,-16.69
78,2025-06-13 14:15:00,2025-06-13 14:30:00,SHORT,2516.49,2524.29,-7.79
79,2025-06-13 14:30:00,2025-06-13 18:00:00,LONG,2524.29,2530.38,6.1
80,2025-06-13 18:00:00,2025-06-13 20:00:00,SHORT,2530.38,2539.4,-9.02
81,2025-06-13 20:00:00,2025-06-14 03:45:00,LONG,2539.4,2549.42,10.02
82,2025-06-14 03:45:00,2025-06-14 21:45:00,SHORT,2549.42,2528.59,20.83
83,2025-06-14 21:45:00,2025-06-14 22:30:00,LONG,2528.59,2521.59,-7.0
84,2025-06-14 22:30:00,2025-06-14 23:30:00,SHORT,2521.59,2535.78,-14.19
85,2025-06-14 23:30:00,2025-06-15 07:30:00,LONG,2535.78,2523.04,-12.74
86,2025-06-15 07:30:00,2025-06-15 13:00:00,SHORT,2523.04,2531.47,-8.42
87,2025-06-15 13:00:00,2025-06-15 20:00:00,LONG,2531.47,2530.11,-1.36
88,2025-06-15 20:00:00,2025-06-15 22:00:00,SHORT,2530.11,2524.85,5.26
89,2025-06-15 22:00:00,2025-06-16 01:00:00,LONG,2524.85,2538.19,13.34
90,2025-06-16 01:00:00,2025-06-16 01:30:00,SHORT,2538.19,2532.34,5.86
91,2025-06-16 01:30:00,2025-06-16 22:30:00,LONG,2532.34,2649.35,117.01
92,2025-06-16 22:30:00,2025-06-18 00:00:00,SHORT,2649.35,2518.69,130.65
93,2025-06-18 00:00:00,2025-06-18 00:15:00,LONG,2518.69,2510.1,-8.59
94,2025-06-18 00:15:00,2025-06-18 00:30:00,SHORT,2510.1,2516.32,-6.22
95,2025-06-18 00:30:00,2025-06-18 07:00:00,LONG,2516.32,2518.24,1.92
96,2025-06-18 07:00:00,2025-06-18 07:15:00,SHORT,2518.24,2526.0,-7.76
97,2025-06-18 07:15:00,2025-06-18 10:00:00,LONG,2526.0,2520.67,-5.32
98,2025-06-18 10:00:00,2025-06-18 14:00:00,SHORT,2520.67,2516.18,4.49
99,2025-06-18 14:00:00,2025-06-18 14:45:00,LONG,2516.18,2510.68,-5.5
100,2025-06-18 14:45:00,2025-06-18 20:30:00,SHORT,2510.68,2515.09,-4.41
101,2025-06-18 20:30:00,2025-06-19 07:45:00,LONG,2515.09,2518.72,3.63
102,2025-06-19 07:45:00,2025-06-19 08:00:00,SHORT,2518.72,2522.98,-4.26
103,2025-06-19 08:00:00,2025-06-19 12:30:00,LONG,2522.98,2528.69,5.72
104,2025-06-19 12:30:00,2025-06-19 22:00:00,SHORT,2528.69,2515.78,12.92
105,2025-06-19 22:00:00,2025-06-20 04:15:00,LONG,2515.78,2515.44,-0.33
106,2025-06-20 04:15:00,2025-06-20 06:00:00,SHORT,2515.44,2520.13,-4.69
107,2025-06-20 06:00:00,2025-06-20 14:15:00,LONG,2520.13,2523.73,3.59
108,2025-06-20 14:15:00,2025-06-21 05:15:00,SHORT,2523.73,2423.95,99.78
109,2025-06-21 05:15:00,2025-06-21 13:45:00,LONG,2423.95,2427.1,3.15
110,2025-06-21 13:45:00,2025-06-22 11:15:00,SHORT,2427.1,2275.57,151.53
111,2025-06-22 11:15:00,2025-06-22 12:30:00,LONG,2275.57,2268.14,-7.43
112,2025-06-22 12:30:00,2025-06-22 12:45:00,SHORT,2268.14,2278.3,-10.16
113,2025-06-22 12:45:00,2025-06-22 13:00:00,LONG,2278.3,2272.0,-6.3
114,2025-06-22 13:00:00,2025-06-22 22:00:00,SHORT,2272.0,2193.86,78.13
115,2025-06-22 22:00:00,2025-06-23 10:30:00,LONG,2193.86,2239.0,45.13
116,2025-06-23 10:30:00,2025-06-23 10:45:00,SHORT,2239.0,2245.32,-6.33
117,2025-06-23 10:45:00,2025-06-23 16:00:00,LONG,2245.32,2235.43,-9.89
118,2025-06-23 16:00:00,2025-06-23 17:15:00,SHORT,2235.43,2268.04,-32.61
119,2025-06-23 17:15:00,2025-06-24 08:00:00,LONG,2268.04,2383.19,115.15
120,2025-06-24 08:00:00,2025-06-24 08:15:00,SHORT,2383.19,2397.87,-14.67
121,2025-06-24 08:15:00,2025-06-24 11:30:00,LONG,2397.87,2408.41,10.54
122,2025-06-24 11:30:00,2025-06-24 13:15:00,SHORT,2408.41,2420.23,-11.82
123,2025-06-24 13:15:00,2025-06-24 23:00:00,LONG,2420.23,2435.99,15.76
124,2025-06-24 23:00:00,2025-06-24 23:30:00,SHORT,2435.99,2442.32,-6.32
125,2025-06-24 23:30:00,2025-06-25 03:45:00,LONG,2442.32,2445.18,2.87
126,2025-06-25 03:45:00,2025-06-25 07:15:00,SHORT,2445.18,2447.84,-2.66
127,2025-06-25 07:15:00,2025-06-25 08:00:00,LONG,2447.84,2439.4,-8.45
128,2025-06-25 08:00:00,2025-06-25 13:15:00,SHORT,2439.4,2442.82,-3.43
129,2025-06-25 13:15:00,2025-06-25 13:30:00,LONG,2442.82,2432.57,-10.25
130,2025-06-25 13:30:00,2025-06-25 19:00:00,SHORT,2432.57,2425.17,7.4
131,2025-06-25 19:00:00,2025-06-25 23:00:00,LONG,2425.17,2409.98,-15.19
132,2025-06-25 23:00:00,2025-06-26 00:30:00,SHORT,2409.98,2425.42,-15.44
133,2025-06-26 00:30:00,2025-06-26 10:45:00,LONG,2425.42,2450.19,24.77
134,2025-06-26 10:45:00,2025-06-26 20:30:00,SHORT,2450.19,2450.34,-0.16
135,2025-06-26 20:30:00,2025-06-26 21:00:00,LONG,2450.34,2436.78,-13.57
136,2025-06-26 21:00:00,2025-06-27 02:45:00,SHORT,2436.78,2439.87,-3.09
137,2025-06-27 02:45:00,2025-06-27 12:30:00,LONG,2439.87,2447.55,7.69
138,2025-06-27 12:30:00,2025-06-28 02:15:00,SHORT,2447.55,2419.91,27.64
139,2025-06-28 02:15:00,2025-06-28 13:30:00,LONG,2419.91,2421.57,1.66
140,2025-06-28 13:30:00,2025-06-28 14:00:00,SHORT,2421.57,2425.38,-3.81
141,2025-06-28 14:00:00,2025-06-28 20:45:00,LONG,2425.38,2430.12,4.73
142,2025-06-28 20:45:00,2025-06-28 21:30:00,SHORT,2430.12,2434.51,-4.39
143,2025-06-28 21:30:00,2025-06-29 01:30:00,LONG,2434.51,2430.03,-4.48
144,2025-06-29 01:30:00,2025-06-29 06:45:00,SHORT,2430.03,2436.66,-6.63
145,2025-06-29 06:45:00,2025-06-29 14:30:00,LONG,2436.66,2442.59,5.94
146,2025-06-29 14:30:00,2025-06-29 22:00:00,SHORT,2442.59,2439.1,3.49
147,2025-06-29 22:00:00,2025-06-30 06:45:00,LONG,2439.1,2478.24,39.14
148,2025-06-30 06:45:00,2025-06-30 15:45:00,SHORT,2478.24,2476.31,1.92
149,2025-06-30 15:45:00,2025-06-30 16:15:00,LONG,2476.31,2464.48,-11.84
150,2025-06-30 16:15:00,2025-06-30 17:30:00,SHORT,2464.48,2489.61,-25.13
151,2025-06-30 17:30:00,2025-07-01 03:30:00,LONG,2489.61,2483.14,-6.46
152,2025-07-01 03:30:00,2025-07-02 03:00:00,SHORT,2483.14,2422.81,60.33
153,2025-07-02 03:00:00,2025-07-02 12:30:00,LONG,2422.81,2438.25,15.44
154,2025-07-02 12:30:00,2025-07-02 13:00:00,SHORT,2438.25,2443.69,-5.43
155,2025-07-02 13:00:00,2025-07-03 02:30:00,LONG,2443.69,2557.06,113.38
156,2025-07-03 02:30:00,2025-07-03 02:45:00,SHORT,2557.06,2563.86,-6.79
157,2025-07-03 02:45:00,2025-07-03 03:45:00,LONG,2563.86,2562.01,-1.84
158,2025-07-03 03:45:00,2025-07-03 05:15:00,SHORT,2562.01,2582.86,-20.85
159,2025-07-03 05:15:00,2025-07-03 15:00:00,LONG,2582.86,2581.19,-1.67
160,2025-07-03 15:00:00,2025-07-03 20:15:00,SHORT,2581.19,2594.63,-13.44
161,2025-07-03 20:15:00,2025-07-03 23:15:00,LONG,2594.63,2588.27,-6.36
162,2025-07-03 23:15:00,2025-07-04 00:30:00,SHORT,2588.27,2594.4,-6.13
163,2025-07-04 00:30:00,2025-07-04 00:45:00,LONG,2594.4,2591.98,-2.42
164,2025-07-04 00:45:00,2025-07-04 01:00:00,SHORT,2591.98,2594.46,-2.48
165,2025-07-04 01:00:00,2025-07-04 01:30:00,LONG,2594.46,2588.8,-5.65
166,2025-07-04 01:30:00,2025-07-04 22:30:00,SHORT,2588.8,2517.66,71.15
167,2025-07-04 22:30:00,2025-07-04 23:30:00,LONG,2517.66,2505.97,-11.69
168,2025-07-04 23:30:00,2025-07-05 00:00:00,SHORT,2505.97,2512.59,-6.62
169,2025-07-05 00:00:00,2025-07-05 09:00:00,LONG,2512.59,2511.97,-0.62
170,2025-07-05 09:00:00,2025-07-05 09:45:00,SHORT,2511.97,2517.91,-5.94
171,2025-07-05 09:45:00,2025-07-05 12:00:00,LONG,2517.91,2514.83,-3.08
172,2025-07-05 12:00:00,2025-07-05 13:15:00,SHORT,2514.83,2521.56,-6.74
173,2025-07-05 13:15:00,2025-07-05 13:30:00,LONG,2521.56,2516.63,-4.93
174,2025-07-05 13:30:00,2025-07-05 21:15:00,SHORT,2516.63,2511.61,5.02
175,2025-07-05 21:15:00,2025-07-06 03:15:00,LONG,2511.61,2511.46,-0.15
176,2025-07-06 03:15:00,2025-07-06 03:45:00,SHORT,2511.46,2514.43,-2.97
177,2025-07-06 03:45:00,2025-07-06 05:30:00,LONG,2514.43,2510.41,-4.03
178,2025-07-06 05:30:00,2025-07-06 06:00:00,SHORT,2510.41,2512.55,-2.14
179,2025-07-06 06:00:00,2025-07-06 08:00:00,LONG,2512.55,2515.15,2.6
180,2025-07-06 08:00:00,2025-07-06 11:45:00,SHORT,2515.15,2515.6,-0.45
181,2025-07-06 11:45:00,2025-07-06 12:00:00,LONG,2515.6,2513.59,-2.01
182,2025-07-06 12:00:00,2025-07-06 12:30:00,SHORT,2513.59,2515.16,-1.57
183,2025-07-06 12:30:00,2025-07-06 18:30:00,LONG,2515.16,2531.5,16.33
184,2025-07-06 18:30:00,2025-07-06 19:00:00,SHORT,2531.5,2537.87,-6.37
185,2025-07-06 19:00:00,2025-07-07 06:30:00,LONG,2537.87,2569.89,32.02
186,2025-07-07 06:30:00,2025-07-07 08:30:00,SHORT,2569.89,2579.39,-9.5
187,2025-07-07 08:30:00,2025-07-07 09:45:00,LONG,2579.39,2569.89,-9.5
188,2025-07-07 09:45:00,2025-07-07 23:30:00,SHORT,2569.89,2544.63,25.26
189,2025-07-07 23:30:00,2025-07-08 02:30:00,LONG,2544.63,2532.26,-12.37
190,2025-07-08 02:30:00,2025-07-08 04:30:00,SHORT,2532.26,2539.43,-7.17
191,2025-07-08 04:30:00,2025-07-09 03:00:00,LONG,2539.43,2598.31,58.88
192,2025-07-09 03:00:00,2025-07-09 05:00:00,SHORT,2598.31,2607.04,-8.73
193,2025-07-09 05:00:00,2025-07-09 09:00:00,LONG,2607.04,2607.42,0.38
194,2025-07-09 09:00:00,2025-07-09 10:30:00,SHORT,2607.42,2616.79,-9.37
195,2025-07-09 10:30:00,2025-07-10 10:00:00,LONG,2616.79,2772.81,156.02
196,2025-07-10 10:00:00,2025-07-10 10:30:00,SHORT,2772.81,2780.38,-7.57
197,2025-07-10 10:30:00,2025-07-10 11:30:00,LONG,2780.38,2775.28,-5.09
198,2025-07-10 11:30:00,2025-07-10 13:00:00,SHORT,2775.28,2784.63,-9.35
199,2025-07-10 13:00:00,2025-07-10 14:15:00,LONG,2784.63,2772.81,-11.83
200,2025-07-10 14:15:00,2025-07-10 16:15:00,SHORT,2772.81,2786.94,-14.14
201,2025-07-10 16:15:00,2025-07-11 12:15:00,LONG,2786.94,2981.83,194.88
202,2025-07-11 12:15:00,2025-07-11 12:45:00,SHORT,2981.83,2986.86,-5.03
203,2025-07-11 12:45:00,2025-07-11 14:45:00,LONG,2986.86,2986.42,-0.44
204,2025-07-11 14:45:00,2025-07-11 19:15:00,SHORT,2986.42,3003.72,-17.3
205,2025-07-11 19:15:00,2025-07-11 20:30:00,LONG,3003.72,2987.5,-16.22
206,2025-07-11 20:30:00,2025-07-11 21:15:00,SHORT,2987.5,2994.94,-7.43
207,2025-07-11 21:15:00,2025-07-11 21:30:00,LONG,2994.94,2985.13,-9.81
208,2025-07-11 21:30:00,2025-07-12 07:00:00,SHORT,2985.13,2966.09,19.04
209,2025-07-12 07:00:00,2025-07-12 07:30:00,LONG,2966.09,2963.46,-2.63
210,2025-07-12 07:30:00,2025-07-12 09:30:00,SHORT,2963.46,2973.99,-10.53
211,2025-07-12 09:30:00,2025-07-12 12:00:00,LONG,2973.99,2956.39,-17.6
212,2025-07-12 12:00:00,2025-07-12 23:45:00,SHORT,2956.39,2939.61,16.78
213,2025-07-12 23:45:00,2025-07-13 09:30:00,LONG,2939.61,2948.42,8.81
214,2025-07-13 09:30:00,2025-07-13 10:00:00,SHORT,2948.42,2952.77,-4.35
215,2025-07-13 10:00:00,2025-07-13 10:45:00,LONG,2952.77,2946.87,-5.9
216,2025-07-13 10:45:00,2025-07-13 11:00:00,SHORT,2946.87,2952.36,-5.49
217,2025-07-13 11:00:00,2025-07-13 21:30:00,LONG,2952.36,2977.69,25.32
218,2025-07-13 21:30:00,2025-07-14 00:30:00,SHORT,2977.69,2987.37,-9.68
219,2025-07-14 00:30:00,2025-07-14 00:45:00,LONG,2987.37,2977.23,-10.15
220,2025-07-14 00:45:00,2025-07-14 02:15:00,SHORT,2977.23,2989.46,-12.23
221,2025-07-14 02:15:00,2025-07-14 14:30:00,LONG,2989.46,3030.38,40.91
222,2025-07-14 14:30:00,2025-07-15 09:00:00,SHORT,3030.38,2983.45,46.93
223,2025-07-15 09:00:00,2025-07-15 10:30:00,LONG,2983.45,2970.11,-13.34
224,2025-07-15 10:30:00,2025-07-15 11:45:00,SHORT,2970.11,2977.1,-7.0
225,2025-07-15 11:45:00,2025-07-15 14:45:00,LONG,2977.1,2996.35,19.25
226,2025-07-15 14:45:00,2025-07-15 15:30:00,SHORT,2996.35,3023.84,-27.49
227,2025-07-15 15:30:00,2025-07-17 03:00:00,LONG,3023.84,3332.32,308.47
228,2025-07-17 03:00:00,2025-07-17 05:30:00,SHORT,3332.32,3362.74,-30.42
229,2025-07-17 05:30:00,2025-07-17 13:30:00,LONG,3362.74,3409.55,46.81
230,2025-07-17 13:30:00,2025-07-17 15:15:00,SHORT,3409.55,3416.94,-7.39
231,2025-07-17 15:15:00,2025-07-17 16:00:00,LONG,3416.94,3404.65,-12.28
232,2025-07-17 16:00:00,2025-07-17 18:15:00,SHORT,3404.65,3436.67,-32.01
233,2025-07-17 18:15:00,2025-07-17 19:45:00,LONG,3436.67,3432.85,-3.82
234,2025-07-17 19:45:00,2025-07-17 21:00:00,SHORT,3432.85,3443.34,-10.49
235,2025-07-17 21:00:00,2025-07-18 12:15:00,LONG,3443.34,3593.38,150.03
236,2025-07-18 12:15:00,2025-07-18 12:30:00,SHORT,3593.38,3607.68,-14.3
237,2025-07-18 12:30:00,2025-07-18 14:15:00,LONG,3607.68,3639.78,32.1
238,2025-07-18 14:15:00,2025-07-18 17:15:00,SHORT,3639.78,3594.31,45.47
239,2025-07-18 17:15:00,2025-07-18 18:00:00,LONG,3594.31,3581.54,-12.76
240,2025-07-18 18:00:00,2025-07-19 02:30:00,SHORT,3581.54,3564.0,17.55
241,2025-07-19 02:30:00,2025-07-19 08:00:00,LONG,3564.0,3563.76,-0.24
242,2025-07-19 08:00:00,2025-07-19 09:30:00,SHORT,3563.76,3567.61,-3.86
243,2025-07-19 09:30:00,2025-07-19 10:45:00,LONG,3567.61,3558.11,-9.51
244,2025-07-19 10:45:00,2025-07-19 11:15:00,SHORT,3558.11,3560.38,-2.28
245,2025-07-19 11:15:00,2025-07-19 11:45:00,LONG,3560.38,3550.66,-9.72
246,2025-07-19 11:45:00,2025-07-19 19:15:00,SHORT,3550.66,3560.09,-9.43
247,2025-07-19 19:15:00,2025-07-19 21:00:00,LONG,3560.09,3553.75,-6.34
248,2025-07-19 21:00:00,2025-07-19 21:45:00,SHORT,3553.75,3570.13,-16.38
249,2025-07-19 21:45:00,2025-07-20 20:00:00,LONG,3570.13,3738.91,168.78
250,2025-07-20 20:00:00,2025-07-20 21:15:00,SHORT,3738.91,3748.31,-9.4
251,2025-07-20 21:15:00,2025-07-20 22:00:00,LONG,3748.31,3756.62,8.31
252,2025-07-20 22:00:00,2025-07-20 23:30:00,SHORT,3756.62,3764.11,-7.49
253,2025-07-20 23:30:00,2025-07-21 00:00:00,LONG,3764.11,3743.02,-21.1
254,2025-07-21 00:00:00,2025-07-21 03:00:00,SHORT,3743.02,3756.64,-13.62
255,2025-07-21 03:00:00,2025-07-21 16:00:00,LONG,3756.64,3793.2,36.56
256,2025-07-21 16:00:00,2025-07-22 01:45:00,SHORT,3793.2,3788.56,4.64
257,2025-07-22 01:45:00,2025-07-22 02:45:00,LONG,3788.56,3745.75,-42.8
258,2025-07-22 02:45:00,2025-07-22 14:45:00,SHORT,3745.75,3702.61,43.14
259,2025-07-22 14:45:00,2025-07-22 19:30:00,LONG,3702.61,3691.3,-11.32
260,2025-07-22 19:30:00,2025-07-22 20:00:00,SHORT,3691.3,3688.62,2.68
261,2025-07-22 20:00:00,2025-07-23 05:15:00,LONG,3688.62,3714.29,25.68
262,2025-07-23 05:15:00,2025-07-23 23:00:00,SHORT,3714.29,3623.19,91.11
263,2025-07-23 23:00:00,2025-07-24 04:45:00,LONG,3623.19,3605.41,-17.78
264,2025-07-24 04:45:00,2025-07-24 08:00:00,SHORT,3605.41,3614.66,-9.25
265,2025-07-24 08:00:00,2025-07-24 10:15:00,LONG,3614.66,3617.99,3.33
266,2025-07-24 10:15:00,2025-07-24 11:00:00,SHORT,3617.99,3639.95,-21.96
267,2025-07-24 11:00:00,2025-07-25 00:00:00,LONG,3639.95,3693.55,53.6
268,2025-07-25 00:00:00,2025-07-25 08:45:00,SHORT,3693.55,3666.98,26.57
269,2025-07-25 08:45:00,2025-07-25 14:30:00,LONG,3666.98,3663.4,-3.58
270,2025-07-25 14:30:00,2025-07-25 20:30:00,SHORT,3663.4,3673.95,-10.55
271,2025-07-25 20:30:00,2025-07-26 12:00:00,LONG,3673.95,3725.74,51.79
272,2025-07-26 12:00:00,2025-07-26 12:15:00,SHORT,3725.74,3748.96,-23.22
273,2025-07-26 12:15:00,2025-07-26 13:45:00,LONG,3748.96,3745.01,-3.95
274,2025-07-26 13:45:00,2025-07-26 18:30:00,SHORT,3745.01,3739.64,5.37
275,2025-07-26 18:30:00,2025-07-26 20:00:00,LONG,3739.64,3743.69,4.06
276,2025-07-26 20:00:00,2025-07-26 20:30:00,SHORT,3743.69,3744.22,-0.53
277,2025-07-26 20:30:00,2025-07-27 00:00:00,LONG,3744.22,3734.55,-9.67
278,2025-07-27 00:00:00,2025-07-27 00:15:00,SHORT,3734.55,3743.6,-9.05
279,2025-07-27 00:15:00,2025-07-27 09:45:00,LONG,3743.6,3761.54,17.94
280,2025-07-27 09:45:00,2025-07-27 10:00:00,SHORT,3761.54,3769.64,-8.1
281,2025-07-27 10:00:00,2025-07-28 09:30:00,LONG,3769.64,3872.43,102.79
282,2025-07-28 09:30:00,2025-07-28 09:45:00,SHORT,3872.43,3887.43,-15.0
283,2025-07-28 09:45:00,2025-07-28 11:00:00,LONG,3887.43,3877.42,-10.0
284,2025-07-28 11:00:00,2025-07-29 05:00:00,SHORT,3877.42,3789.08,88.34
285,2025-07-29 05:00:00,2025-07-29 14:00:00,LONG,3789.08,3823.24,34.15
286,2025-07-29 14:00:00,2025-07-29 23:45:00,SHORT,3823.24,3794.17,29.07
287,2025-07-29 23:45:00,2025-07-30 00:15:00,LONG,3794.17,3778.41,-15.76
288,2025-07-30 00:15:00,2025-07-30 01:30:00,SHORT,3778.41,3784.26,-5.85
289,2025-07-30 01:30:00,2025-07-30 09:30:00,LONG,3784.26,3785.35,1.09
290,2025-07-30 09:30:00,2025-07-30 14:45:00,SHORT,3785.35,3809.79,-24.44
291,2025-07-30 14:45:00,2025-07-30 15:00:00,LONG,3809.79,3802.36,-7.44
292,2025-07-30 15:00:00,2025-07-30 16:15:00,SHORT,3802.36,3807.13,-4.78
293,2025-07-30 16:15:00,2025-07-30 18:30:00,LONG,3807.13,3791.18,-15.95
294,2025-07-30 18:30:00,2025-07-30 23:00:00,SHORT,3791.18,3774.41,16.78
295,2025-07-30 23:00:00,2025-07-31 11:00:00,LONG,3774.41,3848.22,73.82
