Trade number,类型,日期和时间,信号,价格 USDT,大小（数量）,大小（价值）,Net PnL USDT,Net PnL %,有利波动 USDT,有利波动 %,不利波动 USDT,不利波动 %,Cumulative PnL USDT,Cumulative PnL %
17,空头进场,2025-11-01 23:15,VltClsSE,3882.07,1,3882.07,-24.62,-0.63,1.24,0.03,-24.62,-0.63,-49.85,0.00
18,多头出场,2025-11-02 01:00,VltClsSE,3882.71,1,3906.69,-23.98,-0.61,2.7,0.07,-23.98,-0.61,-73.83,-0.01
18,多头进场,2025-11-02 00:00,VltClsLE,3906.69,1,3906.69,-23.98,-0.61,2.7,0.07,-23.98,-0.61,-73.83,-0.01
19,空头出场,2025-11-02 02:30,VltClsLE,3877.33,1,3882.71,5.38,0.14,19.79,0.51,0,0.00,-68.45,-0.01
19,空头进场,2025-11-02 01:00,VltClsSE,3882.71,1,3882.71,5.38,0.14,19.79,0.51,0,0.00,-68.45,-0.01
20,多头出场,2025-11-02 04:45,VltClsSE,3882.93,1,3877.33,5.6,0.14,14.27,0.37,-6.12,-0.16,-62.85,-0.01
20,多头进场,2025-11-02 02:30,VltClsLE,3877.33,1,3877.33,5.6,0.14,14.27,0.37,-6.12,-0.16,-62.85,-0.01
21,空头出场,2025-11-02 05:15,VltClsLE,3882.2,1,3882.93,0.73,0.02,6.01,0.15,-0.04,0.00,-62.12,-0.01
21,空头进场,2025-11-02 04:45,VltClsSE,3882.93,1,3882.93,0.73,0.02,6.01,0.15,-0.04,0.00,-62.12,-0.01
22,多头出场,2025-11-02 05:30,VltClsSE,3877.7,1,3882.2,-4.5,-0.12,2.29,0.06,-4.5,-0.12,-66.62,-0.01
22,多头进场,2025-11-02 05:15,VltClsLE,3882.2,1,3882.2,-4.5,-0.12,2.29,0.06,-4.5,-0.12,-66.62,-0.01
23,空头出场,2025-11-02 06:00,VltClsLE,3873.37,1,3877.7,4.33,0.11,11.1,0.29,0,0.00,-62.29,-0.01
23,空头进场,2025-11-02 05:30,VltClsSE,3877.7,1,3877.7,4.33,0.11,11.1,0.29,0,0.00,-62.29,-0.01
24,多头出场,2025-11-02 07:00,VltClsSE,3869.57,1,3873.37,-3.8,-0.10,2.51,0.06,-9.06,-0.23,-66.09,-0.01
24,多头进场,2025-11-02 06:00,VltClsLE,3873.37,1,3873.37,-3.8,-0.10,2.51,0.06,-9.06,-0.23,-66.09,-0.01
25,空头出场,2025-11-02 08:30,VltClsLE,3870.34,1,3869.57,-0.77,-0.02,4.24,0.11,-7.35,-0.19,-66.86,-0.01
25,空头进场,2025-11-02 07:00,VltClsSE,3869.57,1,3869.57,-0.77,-0.02,4.24,0.11,-7.35,-0.19,-66.86,-0.01
26,多头出场,2025-11-02 09:45,VltClsSE,3868.29,1,3870.34,-2.05,-0.05,6.58,0.17,-8.63,-0.22,-68.91,-0.01
26,多头进场,2025-11-02 08:30,VltClsLE,3870.34,1,3870.34,-2.05,-0.05,6.58,0.17,-8.63,-0.22,-68.91,-0.01
27,空头出场,2025-11-02 10:30,VltClsLE,3880.5,1,3868.29,-12.21,-0.32,0.89,0.02,-12.21,-0.32,-81.12,-0.01
27,空头进场,2025-11-02 09:45,VltClsSE,3868.29,1,3868.29,-12.21,-0.32,0.89,0.02,-12.21,-0.32,-81.12,-0.01
28,多头出场,2025-11-02 12:00,VltClsSE,3876.75,1,3880.5,-3.75,-0.10,6.35,0.16,-3.75,-0.10,-84.87,-0.01
28,多头进场,2025-11-02 10:30,VltClsLE,3880.5,1,3880.5,-3.75,-0.10,6.35,0.16,-3.75,-0.10,-84.87,-0.01
29,空头出场,2025-11-02 12:15,VltClsLE,3887.36,1,3876.75,-10.61,-0.27,0.74,0.02,-10.61,-0.27,-95.48,-0.01
29,空头进场,2025-11-02 12:00,VltClsSE,3876.75,1,3876.75,-10.61,-0.27,0.74,0.02,-10.61,-0.27,-95.48,-0.01
30,多头出场,2025-11-02 13:00,VltClsSE,3899.92,1,3887.36,12.56,0.32,26.22,0.67,-4.01,-0.10,-82.92,-0.01
30,多头进场,2025-11-02 12:15,VltClsLE,3887.36,1,3887.36,12.56,0.32,26.22,0.67,-4.01,-0.10,-82.92,-0.01
31,空头出场,2025-11-02 14:45,VltClsLE,3906.64,1,3899.92,-6.72,-0.17,7.79,0.20,-6.72,-0.17,-89.64,-0.01
31,空头进场,2025-11-02 13:00,VltClsSE,3899.92,1,3899.92,-6.72,-0.17,7.79,0.20,-6.72,-0.17,-89.64,-0.01
32,多头出场,2025-11-02 15:00,VltClsSE,3896.43,1,3906.64,-10.21,-0.26,1.16,0.03,-10.21,-0.26,-99.85,-0.01
32,多头进场,2025-11-02 14:45,VltClsLE,3906.64,1,3906.64,-10.21,-0.26,1.16,0.03,-10.21,-0.26,-99.85,-0.01
33,空头出场,2025-11-02 15:45,VltClsLE,3904.33,1,3896.43,-7.9,-0.20,3.9,0.10,-7.9,-0.20,-107.75,-0.01
33,空头进场,2025-11-02 15:00,VltClsSE,3896.43,1,3896.43,-7.9,-0.20,3.9,0.10,-7.9,-0.20,-107.75,-0.01
34,多头出场,2025-11-02 17:30,VltClsSE,3894.95,1,3904.33,-9.38,-0.24,13.9,0.36,-11.78,-0.30,-117.13,-0.01
34,多头进场,2025-11-02 15:45,VltClsLE,3904.33,1,3904.33,-9.38,-0.24,13.9,0.36,-11.78,-0.30,-117.13,-0.01
35,空头出场,2025-11-02 19:00,VltClsLE,3871.26,1,3894.95,23.69,0.61,41.19,1.06,0,0.00,-93.44,-0.01
35,空头进场,2025-11-02 17:30,VltClsSE,3894.95,1,3894.95,23.69,0.61,41.19,1.06,0,0.00,-93.44,-0.01
36,多头出场,2025-11-02 20:15,VltClsSE,3880.32,1,3871.26,9.06,0.23,26.48,0.68,-4.25,-0.11,-84.38,-0.01
36,多头进场,2025-11-02 19:00,VltClsLE,3871.26,1,3871.26,9.06,0.23,26.48,0.68,-4.25,-0.11,-84.38,-0.01
37,空头出场,2025-11-02 22:30,VltClsLE,3853.49,1,3880.32,26.83,0.69,41.2,1.06,-6.84,-0.18,-57.55,-0.01
37,空头进场,2025-11-02 20:15,VltClsSE,3880.32,1,3880.32,26.83,0.69,41.2,1.06,-6.84,-0.18,-57.55,-0.01
38,多头出场,2025-11-03 01:45,VltClsSE,3849.93,1,3853.49,-3.56,-0.09,17.56,0.46,-12.85,-0.33,-61.11,-0.01
38,多头进场,2025-11-02 22:30,VltClsLE,3853.49,1,3853.49,-3.56,-0.09,17.56,0.46,-12.85,-0.33,-61.11,-0.01
39,空头出场,2025-11-03 02:30,VltClsLE,3866.47,1,3849.93,-16.54,-0.43,0.16,0.00,-16.54,-0.43,-77.65,-0.01
39,空头进场,2025-11-03 01:45,VltClsSE,3849.93,1,3849.93,-16.54,-0.43,0.16,0.00,-16.54,-0.43,-77.65,-0.01
40,多头出场,2025-11-03 03:00,VltClsSE,3858.51,1,3866.47,-7.96,-0.21,0.95,0.02,-7.96,-0.21,-85.61,-0.01
40,多头进场,2025-11-03 02:30,VltClsLE,3866.47,1,3866.47,-7.96,-0.21,0.95,0.02,-7.96,-0.21,-85.61,-0.01
41,空头出场,2025-11-03 03:30,VltClsLE,3856.21,1,3858.51,2.3,0.06,8.25,0.21,-3.25,-0.08,-83.31,-0.01
41,空头进场,2025-11-03 03:00,VltClsSE,3858.51,1,3858.51,2.3,0.06,8.25,0.21,-3.25,-0.08,-83.31,-0.01
42,多头出场,2025-11-03 04:00,VltClsSE,3848.32,1,3856.21,-7.89,-0.20,2.23,0.06,-13.09,-0.34,-91.2,-0.01
42,多头进场,2025-11-03 03:30,VltClsLE,3856.21,1,3856.21,-7.89,-0.20,2.23,0.06,-13.09,-0.34,-91.2,-0.01
43,空头出场,2025-11-03 05:30,VltClsLE,3858.55,1,3848.32,-10.23,-0.27,0.4,0.01,-14.79,-0.38,-101.43,-0.01
43,空头进场,2025-11-03 04:00,VltClsSE,3848.32,1,3848.32,-10.23,-0.27,0.4,0.01,-14.79,-0.38,-101.43,-0.01
44,多头出场,2025-11-03 06:30,VltClsSE,3854.63,1,3858.55,-3.92,-0.10,10.03,0.26,-3.92,-0.10,-105.35,-0.01
44,多头进场,2025-11-03 05:30,VltClsLE,3858.55,1,3858.55,-3.92,-0.10,10.03,0.26,-3.92,-0.10,-105.35,-0.01
45,空头出场,2025-11-03 07:00,VltClsLE,3861.3,1,3854.63,-6.67,-0.17,10.58,0.27,-6.67,-0.17,-112.02,-0.01
45,空头进场,2025-11-03 06:30,VltClsSE,3854.63,1,3854.63,-6.67,-0.17,10.58,0.27,-6.67,-0.17,-112.02,-0.01
46,多头出场,2025-11-03 08:45,VltClsSE,3873.24,1,3861.3,11.94,0.31,54.97,1.42,0,0.00,-100.08,-0.01
46,多头进场,2025-11-03 07:00,VltClsLE,3861.3,1,3861.3,11.94,0.31,54.97,1.42,0,0.00,-100.08,-0.01
47,空头出场,2025-11-03 10:45,VltClsLE,3810.16,1,3873.24,63.08,1.63,85.83,2.22,0,0.00,-37,0.00
47,空头进场,2025-11-03 08:45,VltClsSE,3873.24,1,3873.24,63.08,1.63,85.83,2.22,0,0.00,-37,0.00
48,多头出场,2025-11-03 11:00,VltClsSE,3784.07,1,3810.16,-26.09,-0.68,1.82,0.05,-26.09,-0.68,-63.09,-0.01
48,多头进场,2025-11-03 10:45,VltClsLE,3810.16,1,3810.16,-26.09,-0.68,1.82,0.05,-26.09,-0.68,-63.09,-0.01
49,空头出场,2025-11-03 12:45,VltClsLE,3745.58,1,3784.07,38.49,1.02,68.38,1.81,0,0.00,-24.6,0.00
49,空头进场,2025-11-03 11:00,VltClsSE,3784.07,1,3784.07,38.49,1.02,68.38,1.81,0,0.00,-24.6,0.00
50,多头出场,2025-11-03 13:30,VltClsSE,3744.35,1,3745.58,-1.23,-0.03,19.88,0.53,-1.23,-0.03,-25.83,0.00
50,多头进场,2025-11-03 12:45,VltClsLE,3745.58,1,3745.58,-1.23,-0.03,19.88,0.53,-1.23,-0.03,-25.83,0.00
51,空头出场,2025-11-03 16:45,VltClsLE,3712.82,1,3744.35,31.53,0.84,60.7,1.62,0,0.00,5.7,0.00
51,空头进场,2025-11-03 13:30,VltClsSE,3744.35,1,3744.35,31.53,0.84,60.7,1.62,0,0.00,5.7,0.00
52,多头出场,2025-11-03 17:15,VltClsSE,3719.05,1,3712.82,6.23,0.17,27.18,0.73,0,0.00,11.93,0.00
52,多头进场,2025-11-03 16:45,VltClsLE,3712.82,1,3712.82,6.23,0.17,27.18,0.73,0,0.00,11.93,0.00
53,空头出场,2025-11-03 19:00,VltClsLE,3690.1,1,3719.05,28.95,0.78,56.17,1.51,-0.95,-0.03,40.88,0.00
53,空头进场,2025-11-03 17:15,VltClsSE,3719.05,1,3719.05,28.95,0.78,56.17,1.51,-0.95,-0.03,40.88,0.00
54,多头出场,2025-11-03 20:30,VltClsSE,3713.27,1,3690.1,23.17,0.63,38.54,1.04,0,0.00,64.05,0.01
54,多头进场,2025-11-03 19:00,VltClsLE,3690.1,1,3690.1,23.17,0.63,38.54,1.04,0,0.00,64.05,0.01
55,空头出场,2025-11-03 21:15,VltClsLE,3712.99,1,3713.27,0.28,0.01,19.3,0.52,-5.83,-0.16,64.33,0.01
55,空头进场,2025-11-03 20:30,VltClsSE,3713.27,1,3713.27,0.28,0.01,19.3,0.52,-5.83,-0.16,64.33,0.01
56,多头出场,2025-11-03 22:30,VltClsSE,3709.08,1,3712.99,-3.91,-0.11,35.65,0.96,-7.36,-0.20,60.42,0.01
56,多头进场,2025-11-03 21:15,VltClsLE,3712.99,1,3712.99,-3.91,-0.11,35.65,0.96,-7.36,-0.20,60.42,0.01
57,空头出场,2025-11-03 22:45,VltClsLE,3729.94,1,3709.08,-20.86,-0.56,3.14,0.08,-20.86,-0.56,39.56,0.00
57,空头进场,2025-11-03 22:30,VltClsSE,3709.08,1,3709.08,-20.86,-0.56,3.14,0.08,-20.86,-0.56,39.56,0.00
58,多头出场,2025-11-03 23:00,VltClsSE,3719.84,1,3729.94,-10.1,-0.27,9.76,0.26,-10.1,-0.27,29.46,0.00
58,多头进场,2025-11-03 22:45,VltClsLE,3729.94,1,3729.94,-10.1,-0.27,9.76,0.26,-10.1,-0.27,29.46,0.00
59,空头出场,2025-11-04 01:15,VltClsLE,3653.49,1,3719.84,66.35,1.78,155.71,4.19,0,0.00,95.81,0.01
59,空头进场,2025-11-03 23:00,VltClsSE,3719.84,1,3719.84,66.35,1.78,155.71,4.19,0,0.00,95.81,0.01
60,多头出场,2025-11-04 04:00,VltClsSE,3617.6,1,3653.49,-35.89,-0.98,28.86,0.79,-35.89,-0.98,59.92,0.01
60,多头进场,2025-11-04 01:15,VltClsLE,3653.49,1,3653.49,-35.89,-0.98,28.86,0.79,-35.89,-0.98,59.92,0.01
61,空头出场,2025-11-04 05:00,VltClsLE,3607.23,1,3617.6,10.37,0.29,54.86,1.52,0,0.00,70.29,0.01
61,空头进场,2025-11-04 04:00,VltClsSE,3617.6,1,3617.6,10.37,0.29,54.86,1.52,0,0.00,70.29,0.01
62,多头出场,2025-11-04 05:15,VltClsSE,3572.52,1,3607.23,-34.71,-0.96,8.21,0.23,-34.71,-0.96,35.58,0.00
62,多头进场,2025-11-04 05:00,VltClsLE,3607.23,1,3607.23,-34.71,-0.96,8.21,0.23,-34.71,-0.96,35.58,0.00
63,空头出场,2025-11-04 08:30,VltClsLE,3581.58,1,3572.52,-9.06,-0.25,13.7,0.38,-34.24,-0.96,26.52,0.00
63,空头进场,2025-11-04 05:15,VltClsSE,3572.52,1,3572.52,-9.06,-0.25,13.7,0.38,-34.24,-0.96,26.52,0.00
64,多头出场,2025-11-04 12:15,VltClsSE,3635.47,1,3581.58,53.89,1.50,72.96,2.04,0,0.00,80.41,0.01
64,多头进场,2025-11-04 08:30,VltClsLE,3581.58,1,3581.58,53.89,1.50,72.96,2.04,0,0.00,80.41,0.01
65,空头出场,2025-11-04 14:00,VltClsLE,3519.01,1,3635.47,116.46,3.20,156.98,4.32,-8.71,-0.24,196.87,0.02
65,空头进场,2025-11-04 12:15,VltClsSE,3635.47,1,3635.47,116.46,3.20,156.98,4.32,-8.71,-0.24,196.87,0.02
66,多头出场,2025-11-04 15:00,VltClsSE,3486.05,1,3519.01,-32.96,-0.94,43.26,1.23,-32.96,-0.94,163.91,0.02
66,多头进场,2025-11-04 14:00,VltClsLE,3519.01,1,3519.01,-32.96,-0.94,43.26,1.23,-32.96,-0.94,163.91,0.02
67,空头出场,2025-11-04 15:15,VltClsLE,3518.65,1,3486.05,-32.6,-0.94,5.26,0.15,-32.6,-0.94,131.31,0.01
67,空头进场,2025-11-04 15:00,VltClsSE,3486.05,1,3486.05,-32.6,-0.94,5.26,0.15,-32.6,-0.94,131.31,0.01
68,多头出场,2025-11-04 16:00,VltClsSE,3473.96,1,3518.65,-44.69,-1.27,1.98,0.06,-44.69,-1.27,86.62,0.01
68,多头进场,2025-11-04 15:15,VltClsLE,3518.65,1,3518.65,-44.69,-1.27,1.98,0.06,-44.69,-1.27,86.62,0.01
69,空头出场,2025-11-04 16:15,VltClsLE,3492.74,1,3473.96,-18.78,-0.54,13.66,0.39,-18.78,-0.54,67.84,0.01
69,空头进场,2025-11-04 16:00,VltClsSE,3473.96,1,3473.96,-18.78,-0.54,13.66,0.39,-18.78,-0.54,67.84,0.01
70,多头出场,2025-11-04 20:00,VltClsSE,3515.32,1,3492.74,22.58,0.65,41.26,1.18,-19.24,-0.55,90.42,0.01
70,多头进场,2025-11-04 16:15,VltClsLE,3492.74,1,3492.74,22.58,0.65,41.26,1.18,-19.24,-0.55,90.42,0.01
71,空头出场,2025-11-04 21:30,VltClsLE,3512.15,1,3515.32,3.17,0.09,21.51,0.61,-5.3,-0.15,93.59,0.01
71,空头进场,2025-11-04 20:00,VltClsSE,3515.32,1,3515.32,3.17,0.09,21.51,0.61,-5.3,-0.15,93.59,0.01
72,多头出场,2025-11-04 22:30,VltClsSE,3484.33,1,3512.15,-27.82,-0.79,11.37,0.32,-27.82,-0.79,65.77,0.01
72,多头进场,2025-11-04 21:30,VltClsLE,3512.15,1,3512.15,-27.82,-0.79,11.37,0.32,-27.82,-0.79,65.77,0.01
73,空头出场,2025-11-04 22:45,VltClsLE,3545.4,1,3484.33,-61.07,-1.75,10.33,0.30,-61.07,-1.75,4.7,0.00
73,空头进场,2025-11-04 22:30,VltClsSE,3484.33,1,3484.33,-61.07,-1.75,10.33,0.30,-61.07,-1.75,4.7,0.00
74,多头出场,2025-11-04 23:45,VltClsSE,3521.14,1,3545.4,-24.26,-0.68,42.26,1.19,-24.26,-0.68,-19.56,0.00
74,多头进场,2025-11-04 22:45,VltClsLE,3545.4,1,3545.4,-24.26,-0.68,42.26,1.19,-24.26,-0.68,-19.56,0.00
75,空头出场,2025-11-05 01:30,VltClsLE,3417.02,1,3521.14,104.12,2.96,158.44,4.50,0,0.00,84.56,0.01
75,空头进场,2025-11-04 23:45,VltClsSE,3521.14,1,3521.14,104.12,2.96,158.44,4.50,0,0.00,84.56,0.01
76,多头出场,2025-11-05 02:00,VltClsSE,3343.42,1,3417.02,-73.6,-2.15,3.28,0.10,-73.6,-2.15,10.96,0.00
76,多头进场,2025-11-05 01:30,VltClsLE,3417.02,1,3417.02,-73.6,-2.15,3.28,0.10,-73.6,-2.15,10.96,0.00
77,空头出场,2025-11-05 04:30,VltClsLE,3221.93,1,3343.42,121.49,3.63,218.42,6.53,-11.08,-0.33,132.45,0.01
77,空头进场,2025-11-05 02:00,VltClsSE,3343.42,1,3343.42,121.49,3.63,218.42,6.53,-11.08,-0.33,132.45,0.01
78,多头出场,2025-11-05 05:30,VltClsSE,3120.59,1,3221.93,-101.34,-3.15,4.23,0.13,-101.34,-3.15,31.11,0.00
78,多头进场,2025-11-05 04:30,VltClsLE,3221.93,1,3221.93,-101.34,-3.15,4.23,0.13,-101.34,-3.15,31.11,0.00
79,空头出场,2025-11-05 05:45,VltClsLE,3152.31,1,3120.59,-31.72,-1.02,63.59,2.04,-31.72,-1.02,-0.61,0.00
79,空头进场,2025-11-05 05:30,VltClsSE,3120.59,1,3120.59,-31.72,-1.02,63.59,2.04,-31.72,-1.02,-0.61,0.00
80,多头出场,2025-11-05 08:30,VltClsSE,3236.51,1,3152.31,84.2,2.67,152.18,4.83,0,0.00,83.59,0.01
80,多头进场,2025-11-05 05:45,VltClsLE,3152.31,1,3152.31,84.2,2.67,152.18,4.83,0,0.00,83.59,0.01
81,空头出场,2025-11-05 08:45,VltClsLE,3249.7,1,3236.51,-13.19,-0.41,7.54,0.23,-13.19,-0.41,70.4,0.01
81,空头进场,2025-11-05 08:30,VltClsSE,3236.51,1,3236.51,-13.19,-0.41,7.54,0.23,-13.19,-0.41,70.4,0.01
82,多头出场,2025-11-05 09:00,VltClsSE,3220.26,1,3249.7,-29.44,-0.91,0.3,0.01,-29.44,-0.91,40.96,0.00
82,多头进场,2025-11-05 08:45,VltClsLE,3249.7,1,3249.7,-29.44,-0.91,0.3,0.01,-29.44,-0.91,40.96,0.00
83,空头出场,2025-11-05 09:45,VltClsLE,3210.2,1,3220.26,10.06,0.31,53.6,1.66,-5.95,-0.18,51.02,0.01
83,空头进场,2025-11-05 09:00,VltClsSE,3220.26,1,3220.26,10.06,0.31,53.6,1.66,-5.95,-0.18,51.02,0.01
84,多头出场,2025-11-05 12:45,VltClsSE,3322.67,1,3210.2,112.47,3.50,138.92,4.33,0,0.00,163.49,0.02
84,多头进场,2025-11-05 09:45,VltClsLE,3210.2,1,3210.2,112.47,3.50,138.92,4.33,0,0.00,163.49,0.02
85,空头出场,2025-11-05 13:00,VltClsLE,3345.49,1,3322.67,-22.82,-0.69,0.18,0.01,-22.82,-0.69,140.67,0.01
85,空头进场,2025-11-05 12:45,VltClsSE,3322.67,1,3322.67,-22.82,-0.69,0.18,0.01,-22.82,-0.69,140.67,0.01
86,多头出场,2025-11-05 13:15,VltClsSE,3330.7,1,3345.49,-14.79,-0.44,9.11,0.27,-14.79,-0.44,125.88,0.01
86,多头进场,2025-11-05 13:00,VltClsLE,3345.49,1,3345.49,-14.79,-0.44,9.11,0.27,-14.79,-0.44,125.88,0.01
87,空头出场,2025-11-05 14:15,VltClsLE,3329.93,1,3330.7,0.77,0.02,20.06,0.60,-14.42,-0.43,126.65,0.01
87,空头进场,2025-11-05 13:15,VltClsSE,3330.7,1,3330.7,0.77,0.02,20.06,0.60,-14.42,-0.43,126.65,0.01
88,多头出场,2025-11-05 15:00,VltClsSE,3324.87,1,3329.93,-5.06,-0.15,11.67,0.35,-8.93,-0.27,121.59,0.01
88,多头进场,2025-11-05 14:15,VltClsLE,3329.93,1,3329.93,-5.06,-0.15,11.67,0.35,-8.93,-0.27,121.59,0.01
89,空头出场,2025-11-05 16:30,VltClsLE,3308.79,1,3324.87,16.08,0.48,40.33,1.21,-17.19,-0.52,137.67,0.01
89,空头进场,2025-11-05 15:00,VltClsSE,3324.87,1,3324.87,16.08,0.48,40.33,1.21,-17.19,-0.52,137.67,0.01
90,多头出场,2025-11-05 18:00,VltClsSE,3292.77,1,3308.79,-16.02,-0.48,13.25,0.40,-26.01,-0.79,121.65,0.01
90,多头进场,2025-11-05 16:30,VltClsLE,3308.79,1,3308.79,-16.02,-0.48,13.25,0.40,-26.01,-0.79,121.65,0.01
91,空头出场,2025-11-05 19:00,VltClsLE,3288.48,1,3292.77,4.29,0.13,18.23,0.55,-9.26,-0.28,125.94,0.01
91,空头进场,2025-11-05 18:00,VltClsSE,3292.77,1,3292.77,4.29,0.13,18.23,0.55,-9.26,-0.28,125.94,0.01
92,多头出场,2025-11-05 20:30,VltClsSE,3338.52,1,3288.48,50.04,1.52,70.52,2.14,0,0.00,175.98,0.02
92,多头进场,2025-11-05 19:00,VltClsLE,3288.48,1,3288.48,50.04,1.52,70.52,2.14,0,0.00,175.98,0.02
93,空头出场,2025-11-05 21:30,VltClsLE,3347.65,1,3338.52,-9.13,-0.27,13.88,0.42,-11.53,-0.35,166.85,0.02
93,空头进场,2025-11-05 20:30,VltClsSE,3338.52,1,3338.52,-9.13,-0.27,13.88,0.42,-11.53,-0.35,166.85,0.02
94,多头出场,2025-11-05 22:15,VltClsSE,3332.09,1,3347.65,-15.56,-0.46,28.14,0.84,-15.56,-0.46,151.29,0.02
94,多头进场,2025-11-05 21:30,VltClsLE,3347.65,1,3347.65,-15.56,-0.46,28.14,0.84,-15.56,-0.46,151.29,0.02
95,空头出场,2025-11-05 22:45,VltClsLE,3354.32,1,3332.09,-22.23,-0.67,12.65,0.38,-22.23,-0.67,129.06,0.01
95,空头进场,2025-11-05 22:15,VltClsSE,3332.09,1,3332.09,-22.23,-0.67,12.65,0.38,-22.23,-0.67,129.06,0.01
