交易 #,类型,日期和时间,信号,价格 USDT,大小（数量）,大小（价值）,净损益 USDT,净损益 %,有利波动 USDT,有利波动 %,不利波动 USDT,不利波动 %,累计P&L USDT,累计P&L %
57,空头出场,2025-12-26 06:30,Close entry(s) order short,2921.56,0.6804,1999.994976,12.17,0.61,22.48,1.12,-1.37,-0.07,116.26,0.01
57,空头进场,2025-12-26 06:00,short,2939.44,0.6804,1999.994976,12.17,0.61,22.48,1.12,-1.37,-0.07,116.26,0.01
58,空头出场,2025-12-26 22:30,Close entry(s) order short,2917.37,0.6764,1999.999812,26.69,1.33,31.68,1.58,-19.66,-0.98,142.95,0.01
58,空头进场,2025-12-26 15:30,short,2956.83,0.6764,1999.999812,26.69,1.33,31.68,1.58,-19.66,-0.98,142.95,0.01
59,多头出场,2025-12-28 06:00,Close entry(s) order long,2940.56,0.6818,1999.99212,4.88,0.24,13.95,0.70,-11.09,-0.55,147.83,0.01
59,多头进场,2025-12-27 11:30,long,2933.4,0.6818,1999.99212,4.88,0.24,13.95,0.70,-11.09,-0.55,147.83,0.01
60,空头出场,2025-12-29 17:30,Close entry(s) order short,2976.65,0.6805,1999.97589,-25.63,-1.28,9.83,0.49,-80.84,-4.04,122.2,0.01
60,空头进场,2025-12-28 12:30,short,2938.98,0.6805,1999.97589,-25.63,-1.28,9.83,0.49,-80.84,-4.04,122.2,0.01
61,多头出场,2025-12-30 16:00,Close entry(s) order long,2976.39,0.6801,1999.827249,24.42,1.22,42.96,2.15,-2.24,-0.11,146.61,0.01
61,多头进场,2025-12-30 11:00,long,2940.49,0.6801,1999.827249,24.42,1.22,42.96,2.15,-2.24,-0.11,146.61,0.01
62,空头出场,2025-12-31 23:00,Close entry(s) order short,2976.98,0.6721,1999.719293,-1.11,-0.06,20.55,1.03,-35.45,-1.77,145.5,0.01
62,空头进场,2025-12-31 02:00,short,2975.33,0.6721,1999.719293,-1.11,-0.06,20.55,1.03,-35.45,-1.77,145.5,0.01
63,多头出场,2026-01-02 06:30,Close entry(s) order long,2999.3,0.6698,1999.862048,9.07,0.45,13.54,0.68,-17.98,-0.90,154.57,0.02
63,多头进场,2025-12-31 23:30,long,2985.76,0.6698,1999.862048,9.07,0.45,13.54,0.68,-17.98,-0.90,154.57,0.02
64,空头出场,2026-01-03 15:00,Close entry(s) order short,3082.5,0.6677,1999.708084,-58.48,-2.92,0.44,0.02,-103.55,-5.18,96.09,0.01
64,空头进场,2026-01-02 10:00,short,2994.92,0.6677,1999.708084,-58.48,-2.92,0.44,0.02,-103.55,-5.18,96.09,0.01
65,多头出场,2026-01-04 07:00,Close entry(s) order long,3130.43,0.6441,1999.956264,16.35,0.82,16.72,0.84,-4.32,-0.22,112.45,0.01
65,多头进场,2026-01-03 20:30,long,3105.04,0.6441,1999.956264,16.35,0.82,16.72,0.84,-4.32,-0.22,112.45,0.01
66,空头出场,2026-01-05 14:00,Close entry(s) order short,3145.03,0.6382,1999.786936,-7.37,-0.37,9.4,0.47,-55.74,-2.79,105.08,0.01
66,空头进场,2026-01-04 16:00,short,3133.48,0.6382,1999.786936,-7.37,-0.37,9.4,0.47,-55.74,-2.79,105.08,0.01
67,多头出场,2026-01-05 23:30,Close entry(s) order long,3195.57,0.6315,1999.9605,18.04,0.90,24,1.20,-20.2,-1.01,123.12,0.01
67,多头进场,2026-01-05 16:00,long,3167,0.6315,1999.9605,18.04,0.90,24,1.20,-20.2,-1.01,123.12,0.01
68,空头出场,2026-01-07 01:30,Close entry(s) order short,3196.43,0.6316,1999.967716,-18.9,-0.94,0.21,0.01,-89.91,-4.50,104.22,0.01
68,空头进场,2026-01-06 01:00,short,3166.51,0.6316,1999.967716,-18.9,-0.94,0.21,0.01,-89.91,-4.50,104.22,0.01
69,多头出场,2026-01-07 07:30,Close entry(s) order long,3296.84,0.6171,1999.805115,34.67,1.73,37.61,1.88,-1.35,-0.07,138.9,0.01
69,多头进场,2026-01-07 04:00,long,3240.65,0.6171,1999.805115,34.67,1.73,37.61,1.88,-1.35,-0.07,138.9,0.01
70,空头出场,2026-01-07 17:30,Close entry(s) order short,3200.18,0.6138,1999.754262,35.48,1.77,36.49,1.82,-14.82,-0.74,174.38,0.02
70,空头进场,2026-01-07 08:30,short,3257.99,0.6138,1999.754262,35.48,1.77,36.49,1.82,-14.82,-0.74,174.38,0.02
71,多头出场,2026-01-09 01:30,Close entry(s) order long,3134.95,0.6307,1999.943393,-22.73,-1.14,8.45,0.42,-73.38,-3.67,151.65,0.02
71,多头进场,2026-01-08 07:00,long,3170.99,0.6307,1999.943393,-22.73,-1.14,8.45,0.42,-73.38,-3.67,151.65,0.02
72,空头出场,2026-01-10 03:00,Close entry(s) order short,3075.16,0.6416,1999.713216,26.69,1.33,37.26,1.86,-20.31,-1.02,178.34,0.02
72,空头进场,2026-01-09 03:00,short,3116.76,0.6416,1999.713216,26.69,1.33,37.26,1.86,-20.31,-1.02,178.34,0.02
73,多头出场,2026-01-11 11:30,Close entry(s) order long,3096.78,0.6468,1999.77624,3.22,0.16,7.97,0.40,-8.93,-0.45,181.56,0.02
73,多头进场,2026-01-10 10:00,long,3091.8,0.6468,1999.77624,3.22,0.16,7.97,0.40,-8.93,-0.45,181.56,0.02
74,空头出场,2026-01-12 16:30,Close entry(s) order short,3115.47,0.6439,1999.779547,-6.27,-0.31,8.46,0.42,-42.34,-2.12,175.29,0.02
74,空头进场,2026-01-12 04:00,short,3105.73,0.6439,1999.779547,-6.27,-0.31,8.46,0.42,-42.34,-2.12,175.29,0.02
75,多头出场,2026-01-13 00:00,Close entry(s) order long,3143.22,0.641,1999.92,14.88,0.74,16.02,0.80,-3.25,-0.16,190.17,0.02
75,多头进场,2026-01-12 23:00,long,3120,0.641,1999.92,14.88,0.74,16.02,0.80,-3.25,-0.16,190.17,0.02
76,空头出场,2026-01-14 19:30,Close entry(s) order short,3286.22,0.6423,1999.968048,-110.77,-5.54,19.44,0.97,-163.16,-8.16,79.4,0.01
76,空头进场,2026-01-13 01:00,short,3113.76,0.6423,1999.968048,-110.77,-5.54,19.44,0.97,-163.16,-8.16,79.4,0.01
77,多头出场,2026-01-14 22:30,Close entry(s) order long,3349.21,0.603,1999.94598,19.63,0.98,24.93,1.25,-5.05,-0.25,99.03,0.01
77,多头进场,2026-01-14 22:00,long,3316.66,0.603,1999.94598,19.63,0.98,24.93,1.25,-5.05,-0.25,99.03,0.01
78,空头出场,2026-01-15 11:00,Close entry(s) order short,3291.53,0.5971,1999.741639,34.37,1.72,34.88,1.74,-12.19,-0.61,133.4,0.01
78,空头进场,2026-01-15 06:30,short,3349.09,0.5971,1999.741639,34.37,1.72,34.88,1.74,-12.19,-0.61,133.4,0.01
79,多头出场,2026-01-15 17:30,Close entry(s) order long,3365.99,0.6012,1999.699416,23.93,1.20,29.35,1.47,-3.61,-0.18,157.33,0.02
79,多头进场,2026-01-15 15:00,long,3326.18,0.6012,1999.699416,23.93,1.20,29.35,1.47,-3.61,-0.18,157.33,0.02
80,空头出场,2026-01-16 00:00,Close entry(s) order short,3317.12,0.5983,1999.704073,15.07,0.75,33.82,1.69,-9.51,-0.48,172.4,0.02
80,空头进场,2026-01-15 22:30,short,3342.31,0.5983,1999.704073,15.07,0.75,33.82,1.69,-9.51,-0.48,172.4,0.02
81,多头出场,2026-01-17 22:30,Close entry(s) order long,3310.45,0.6026,1999.842594,-4.97,-0.25,4.88,0.24,-39.58,-1.98,167.44,0.02
81,多头进场,2026-01-16 07:30,long,3318.69,0.6026,1999.842594,-4.97,-0.25,4.88,0.24,-39.58,-1.98,167.44,0.02
82,空头出场,2026-01-18 06:30,Close entry(s) order short,3302,0.6044,1999.71784,3.99,0.20,6.75,0.34,-0.18,-0.01,171.43,0.02
82,空头进场,2026-01-18 06:00,short,3308.6,0.6044,1999.71784,3.99,0.20,6.75,0.34,-0.18,-0.01,171.43,0.02
83,多头出场,2026-01-18 17:00,Close entry(s) order long,3322.65,0.6038,1999.918436,6.3,0.31,6.97,0.35,-9.59,-0.48,177.73,0.02
83,多头进场,2026-01-18 08:00,long,3312.22,0.6038,1999.918436,6.3,0.31,6.97,0.35,-9.59,-0.48,177.73,0.02
84,多头出场,2026-01-21 22:30,Close entry(s) order long,2981.09,0.6196,1999.802372,-152.72,-7.64,5.38,0.27,-201.72,-10.09,25.01,0.00
84,多头进场,2026-01-19 20:00,long,3227.57,0.6196,1999.802372,-152.72,-7.64,5.38,0.27,-201.72,-10.09,25.01,0.00
85,空头出场,2026-01-22 00:30,Close entry(s) order short,2891.58,0.6752,1999.814112,47.42,2.37,51.19,2.56,-1.12,-0.06,72.43,0.01
85,空头进场,2026-01-22 00:00,short,2961.81,0.6752,1999.814112,47.42,2.37,51.19,2.56,-1.12,-0.06,72.43,0.01
86,多头出场,2026-01-22 03:30,Close entry(s) order long,3055.56,0.6702,1999.937118,47.9,2.40,56.95,2.85,-6.5,-0.33,120.32,0.01
86,多头进场,2026-01-22 03:00,long,2984.09,0.6702,1999.937118,47.9,2.40,56.95,2.85,-6.5,-0.33,120.32,0.01
87,空头出场,2026-01-22 22:30,Close entry(s) order short,2941.33,0.6706,1999.910262,27.45,1.37,31.55,1.58,-37.59,-1.88,147.78,0.01
87,空头进场,2026-01-22 07:30,short,2982.27,0.6706,1999.910262,27.45,1.37,31.55,1.58,-37.59,-1.88,147.78,0.01
88,多头出场,2026-01-24 00:30,Close entry(s) order long,2967.99,0.6759,1999.85292,6.21,0.31,17.51,0.88,-44.88,-2.24,153.99,0.02
88,多头进场,2026-01-23 09:00,long,2958.8,0.6759,1999.85292,6.21,0.31,17.51,0.88,-44.88,-2.24,153.99,0.02
89,空头出场,2026-01-25 11:00,Close entry(s) order short,2945.3,0.6778,1999.787898,3.46,0.17,13.55,0.68,-13.56,-0.68,157.45,0.02
89,空头进场,2026-01-24 04:00,short,2950.41,0.6778,1999.787898,3.46,0.17,13.55,0.68,-13.56,-0.68,157.45,0.02
90,多头出场,2026-01-26 09:00,Close entry(s) order long,2875.45,0.6787,1999.870994,-48.3,-2.42,1.01,0.05,-108.33,-5.42,109.15,0.01
90,多头进场,2026-01-25 18:00,long,2946.62,0.6787,1999.870994,-48.3,-2.42,1.01,0.05,-108.33,-5.42,109.15,0.01
91,空头出场,2026-01-29 09:30,Close entry(s) order short,2992.71,0.7008,1999.992096,-97.3,-4.86,9.1,0.45,-134.49,-6.72,11.85,0.00
91,空头进场,2026-01-26 11:00,short,2853.87,0.7008,1999.992096,-97.3,-4.86,9.1,0.45,-134.49,-6.72,11.85,0.00
92,多头出场,2026-02-02 23:00,Close entry(s) order long,2367.82,0.7246,1999.809048,-284.09,-14.21,4.82,0.24,-436.75,-21.84,-272.23,-0.03
92,多头进场,2026-01-30 19:30,long,2759.88,0.7246,1999.809048,-284.09,-14.21,4.82,0.24,-436.75,-21.84,-272.23,-0.03
