交易 #,类型,日期和时间,信号,价格 USD,大小（数量）,大小（价值）,净损益 USD,净损益 %,有利波动 USD,有利波动 %,不利波动 USD,不利波动 %,累计P&L USD,累计P&L %
13,空头进场,2025-11-02 05:30,short,3866.88,0.5172,1999.950336,-8.71,-0.44,3.07,0.15,-8.71,-0.44,-120.9,-0.01
14,空头出场,2025-11-02 18:00,Close entry(s) order short,3858.04,0.5165,1999.74338,7.07,0.35,7.61,0.38,-1.68,-0.08,-113.84,-0.01
14,空头进场,2025-11-02 17:30,short,3871.72,0.5165,1999.74338,7.07,0.35,7.61,0.38,-1.68,-0.08,-113.84,-0.01
15,多头出场,2025-11-02 20:30,XL,3872.05,0.5141,1999.869564,-9.25,-0.46,1.66,0.08,-9.25,-0.46,-123.08,-0.01
15,多头进场,2025-11-02 19:30,long,3890.04,0.5141,1999.869564,-9.25,-0.46,1.66,0.08,-9.25,-0.46,-123.08,-0.01
16,多头出场,2025-11-03 07:30,Close entry(s) order long,3905.53,0.5163,1999.702182,16.72,0.84,21.49,1.07,-0.9,-0.05,-106.36,-0.01
16,多头进场,2025-11-03 07:00,long,3873.14,0.5163,1999.702182,16.72,0.84,21.49,1.07,-0.9,-0.05,-106.36,-0.01
17,空头出场,2025-11-03 09:00,Close entry(s) order short,3848.53,0.5174,1999.745826,8.52,0.43,11.9,0.60,-0.01,0.00,-97.84,-0.01
17,空头进场,2025-11-03 08:30,short,3864.99,0.5174,1999.745826,8.52,0.43,11.9,0.60,-0.01,0.00,-97.84,-0.01
18,多头出场,2025-11-04 13:00,XL,3606.49,0.5511,1999.963944,-12.43,-0.62,13.58,0.68,-12.43,-0.62,-110.27,-0.01
18,多头进场,2025-11-04 09:00,long,3629.04,0.5511,1999.963944,-12.43,-0.62,13.58,0.68,-12.43,-0.62,-110.27,-0.01
19,多头出场,2025-11-04 23:30,XL,3535.34,0.5624,1999.72568,-11.45,-0.57,17.41,0.87,-11.45,-0.57,-121.72,-0.01
19,多头进场,2025-11-04 22:30,long,3555.7,0.5624,1999.72568,-11.45,-0.57,17.41,0.87,-11.45,-0.57,-121.72,-0.01
20,多头出场,2025-11-05 16:00,XL,3289.93,0.6016,1999.910912,-20.69,-1.03,16.78,0.84,-20.69,-1.03,-142.41,-0.01
20,多头进场,2025-11-05 10:30,long,3324.32,0.6016,1999.910912,-20.69,-1.03,16.78,0.84,-20.69,-1.03,-142.41,-0.01
21,多头出场,2025-11-05 20:00,Close entry(s) order long,3354.48,0.6019,1999.836826,19.22,0.96,21.11,1.06,-5.9,-0.29,-123.19,-0.01
21,多头进场,2025-11-05 19:30,long,3322.54,0.6019,1999.836826,19.22,0.96,21.11,1.06,-5.9,-0.29,-123.19,-0.01
22,空头出场,2025-11-06 10:30,XS,3415.17,0.5875,1999.867625,-6.54,-0.33,16.8,0.84,-6.68,-0.33,-129.73,-0.01
22,空头进场,2025-11-06 08:00,short,3404.03,0.5875,1999.867625,-6.54,-0.33,16.8,0.84,-6.68,-0.33,-129.73,-0.01
23,空头出场,2025-11-06 18:30,XS,3402.39,0.5859,1999.817316,6.36,0.32,27.16,1.36,-0.95,-0.05,-123.37,-0.01
23,空头进场,2025-11-06 13:00,short,3413.24,0.5859,1999.817316,6.36,0.32,27.16,1.36,-0.95,-0.05,-123.37,-0.01
24,多头出场,2025-11-07 12:30,XL,3319.11,0.5978,1999.82034,-15.66,-0.78,11.17,0.56,-15.66,-0.78,-139.03,-0.01
24,多头进场,2025-11-07 10:30,long,3345.3,0.5978,1999.82034,-15.66,-0.78,11.17,0.56,-15.66,-0.78,-139.03,-0.01
25,多头出场,2025-11-07 23:00,Close entry(s) order long,3308.55,0.6085,1999.93261,13.32,0.67,18.28,0.91,-14.85,-0.74,-125.71,-0.01
25,多头进场,2025-11-07 22:30,long,3286.66,0.6085,1999.93261,13.32,0.67,18.28,0.91,-14.85,-0.74,-125.71,-0.01
26,空头出场,2025-11-08 22:00,Close entry(s) order short,3383.99,0.5862,1999.686474,15.99,0.80,23.03,1.15,-2.79,-0.14,-109.72,-0.01
26,空头进场,2025-11-08 19:30,short,3411.27,0.5862,1999.686474,15.99,0.80,23.03,1.15,-2.79,-0.14,-109.72,-0.01
27,多头出场,2025-11-09 08:00,XL,3387.13,0.5881,1999.992837,-8.02,-0.40,7.06,0.35,-8.02,-0.40,-117.74,-0.01
27,多头进场,2025-11-09 05:00,long,3400.77,0.5881,1999.992837,-8.02,-0.40,7.06,0.35,-8.02,-0.40,-117.74,-0.01
28,多头出场,2025-11-09 10:30,XL,3374.04,0.5881,1999.828169,-15.56,-0.78,0.01,0.00,-15.56,-0.78,-133.3,-0.01
28,多头进场,2025-11-09 09:30,long,3400.49,0.5881,1999.828169,-15.56,-0.78,0.01,0.00,-15.56,-0.78,-133.3,-0.01
29,多头出场,2025-11-09 15:30,Close entry(s) order long,3422.35,0.5871,1999.95615,9.31,0.47,10.49,0.52,-8.42,-0.42,-123.99,-0.01
29,多头进场,2025-11-09 13:00,long,3406.5,0.5871,1999.95615,9.31,0.47,10.49,0.52,-8.42,-0.42,-123.99,-0.01
30,空头出场,2025-11-09 19:00,XS,3408.07,0.5881,1999.881098,-4.4,-0.22,10.87,0.54,-4.4,-0.22,-128.4,-0.01
30,空头进场,2025-11-09 17:30,short,3400.58,0.5881,1999.881098,-4.4,-0.22,10.87,0.54,-4.4,-0.22,-128.4,-0.01
31,空头出场,2025-11-10 17:30,XS,3618.85,0.5564,1999.740548,-13.79,-0.69,4.28,0.21,-13.79,-0.69,-142.18,-0.01
31,空头进场,2025-11-10 16:30,short,3594.07,0.5564,1999.740548,-13.79,-0.69,4.28,0.21,-13.79,-0.69,-142.18,-0.01
32,空头出场,2025-11-10 21:00,XS,3616.99,0.5567,1999.855678,-13.72,-0.69,2.25,0.11,-13.72,-0.69,-155.91,-0.02
32,空头进场,2025-11-10 20:00,short,3592.34,0.5567,1999.855678,-13.72,-0.69,2.25,0.11,-13.72,-0.69,-155.91,-0.02
33,多头出场,2025-11-11 05:00,XL,3544.76,0.5608,1999.650168,-11.75,-0.59,10.13,0.51,-11.75,-0.59,-167.65,-0.02
33,多头进场,2025-11-11 04:00,long,3565.71,0.5608,1999.650168,-11.75,-0.59,10.13,0.51,-11.75,-0.59,-167.65,-0.02
34,多头出场,2025-11-11 09:00,Close entry(s) order long,3618.94,0.5593,1999.83308,24.24,1.21,40.1,2.00,-12.52,-0.63,-143.41,-0.01
34,多头进场,2025-11-11 06:30,long,3575.6,0.5593,1999.83308,24.24,1.21,40.1,2.00,-12.52,-0.63,-143.41,-0.01
35,空头出场,2025-11-11 17:00,XS,3570.24,0.5595,1999.860015,2.31,0.12,22.75,1.14,-0.32,-0.02,-141.1,-0.01
35,空头进场,2025-11-11 12:30,short,3574.37,0.5595,1999.860015,2.31,0.12,22.75,1.14,-0.32,-0.02,-141.1,-0.01
36,空头出场,2025-11-11 20:00,XS,3582.47,0.5625,1999.9575,-15.18,-0.76,3.77,0.19,-15.18,-0.76,-156.29,-0.02
36,空头进场,2025-11-11 17:30,short,3555.48,0.5625,1999.9575,-15.18,-0.76,3.77,0.19,-15.18,-0.76,-156.29,-0.02
37,空头出场,2025-11-11 22:30,XS,3492.29,0.5609,1999.900168,41.07,2.05,41.07,2.05,-3.48,-0.17,-115.21,-0.01
37,空头进场,2025-11-11 20:00,short,3565.52,0.5609,1999.900168,41.07,2.05,41.07,2.05,-3.48,-0.17,-115.21,-0.01
38,多头出场,2025-11-12 15:30,XL,3426.52,0.5792,1999.925472,-15.29,-0.76,0,0.00,-15.29,-0.76,-130.5,-0.01
38,多头进场,2025-11-12 14:00,long,3452.91,0.5792,1999.925472,-15.29,-0.76,0,0.00,-15.29,-0.76,-130.5,-0.01
39,多头出场,2025-11-12 18:00,Close entry(s) order long,3509.19,0.5782,1999.716264,29.3,1.47,31.95,1.60,-1.9,-0.10,-101.2,-0.01
39,多头进场,2025-11-12 16:00,long,3458.52,0.5782,1999.716264,29.3,1.47,31.95,1.60,-1.9,-0.10,-101.2,-0.01
40,多头出场,2025-11-13 11:00,XL,3405.1,0.5824,1999.775232,-16.64,-0.83,13.49,0.67,-16.64,-0.83,-117.84,-0.01
40,多头进场,2025-11-13 09:00,long,3433.68,0.5824,1999.775232,-16.64,-0.83,13.49,0.67,-16.64,-0.83,-117.84,-0.01
41,空头出场,2025-11-13 21:30,Close entry(s) order short,3438.16,0.5737,1999.964096,27.49,1.37,33.28,1.66,-18.23,-0.91,-90.35,-0.01
41,空头进场,2025-11-13 17:30,short,3486.08,0.5737,1999.964096,27.49,1.37,33.28,1.66,-18.23,-0.91,-90.35,-0.01
42,多头出场,2025-11-15 00:00,Close entry(s) order long,3236.22,0.6254,1999.972914,23.96,1.20,31.55,1.58,-23.43,-1.17,-66.39,-0.01
42,多头进场,2025-11-14 22:30,long,3197.91,0.6254,1999.972914,23.96,1.20,31.55,1.58,-23.43,-1.17,-66.39,-0.01
43,空头出场,2025-11-15 09:30,XS,3152.24,0.6293,1999.934279,16.23,0.81,55.89,2.79,-25.91,-1.30,-50.16,-0.01
43,空头进场,2025-11-15 01:30,short,3178.03,0.6293,1999.934279,16.23,0.81,55.89,2.79,-25.91,-1.30,-50.16,-0.01
44,空头出场,2025-11-15 21:00,XS,3178.47,0.6336,1999.8,-14.08,-0.70,14.24,0.71,-14.08,-0.70,-64.24,-0.01
44,空头进场,2025-11-15 16:00,short,3156.25,0.6336,1999.8,-14.08,-0.70,14.24,0.71,-14.08,-0.70,-64.24,-0.01
45,空头出场,2025-11-16 01:00,XS,3195.9,0.6313,1999.863705,-17.71,-0.89,1.61,0.08,-17.71,-0.89,-81.95,-0.01
45,空头进场,2025-11-16 00:00,short,3167.85,0.6313,1999.863705,-17.71,-0.89,1.61,0.08,-17.71,-0.89,-81.95,-0.01
46,空头出场,2025-11-16 08:00,Close entry(s) order short,3149.19,0.6304,1999.962912,14.71,0.74,16.33,0.82,-8.61,-0.43,-67.24,-0.01
46,空头进场,2025-11-16 04:30,short,3172.53,0.6304,1999.962912,14.71,0.74,16.33,0.82,-8.61,-0.43,-67.24,-0.01
47,多头出场,2025-11-16 10:30,Close entry(s) order long,3201.45,0.6296,1999.785888,15.85,0.79,16.55,0.83,-1.4,-0.07,-51.39,-0.01
47,多头进场,2025-11-16 10:00,long,3176.28,0.6296,1999.785888,15.85,0.79,16.55,0.83,-1.4,-0.07,-51.39,-0.01
48,多头出场,2025-11-17 10:00,Close entry(s) order long,3149.3,0.6409,1999.787452,18.6,0.93,24.19,1.21,-7.61,-0.38,-32.79,0.00
48,多头进场,2025-11-17 08:00,long,3120.28,0.6409,1999.787452,18.6,0.93,24.19,1.21,-7.61,-0.38,-32.79,0.00
49,空头出场,2025-11-17 21:30,Close entry(s) order short,3119.95,0.6355,1999.95663,17.23,0.86,33.38,1.67,-4.08,-0.20,-15.56,0.00
49,空头进场,2025-11-17 21:00,short,3147.06,0.6355,1999.95663,17.23,0.86,33.38,1.67,-4.08,-0.20,-15.56,0.00
50,多头出场,2025-11-18 21:30,XL,3027.17,0.6616,1999.877864,2.9,0.14,31.35,1.57,-0.44,-0.02,-12.66,0.00
50,多头进场,2025-11-18 15:30,long,3022.79,0.6616,1999.877864,2.9,0.14,31.35,1.57,-0.44,-0.02,-12.66,0.00
51,多头出场,2025-11-18 23:00,XL,3043.54,0.6567,1999.894479,-1.2,-0.06,28.64,1.43,-10.13,-0.51,-13.87,0.00
51,多头进场,2025-11-18 21:30,long,3045.37,0.6567,1999.894479,-1.2,-0.06,28.64,1.43,-10.13,-0.51,-13.87,0.00
52,空头出场,2025-11-19 12:00,Close entry(s) order short,3068.94,0.6461,1999.918557,17.08,0.85,21.39,1.07,-20.06,-1.00,3.21,0.00
52,空头进场,2025-11-19 05:30,short,3095.37,0.6461,1999.918557,17.08,0.85,21.39,1.07,-20.06,-1.00,3.21,0.00
53,空头出场,2025-11-19 18:00,XS,3100.63,0.6528,1999.996416,-24.09,-1.20,0.03,0.00,-24.09,-1.20,-20.88,0.00
53,空头进场,2025-11-19 17:00,short,3063.72,0.6528,1999.996416,-24.09,-1.20,0.03,0.00,-24.09,-1.20,-20.88,0.00
54,空头出场,2025-11-19 22:00,Close entry(s) order short,3026.35,0.6522,1999.932168,26.15,1.31,26.97,1.35,-1.86,-0.09,5.26,0.00
54,空头进场,2025-11-19 21:30,short,3066.44,0.6522,1999.932168,26.15,1.31,26.97,1.35,-1.86,-0.09,5.26,0.00
55,空头出场,2025-11-20 19:30,XS,3024.6,0.6641,1999.970355,-8.67,-0.43,13,0.65,-8.67,-0.43,-3.4,0.00
55,空头进场,2025-11-20 17:00,short,3011.55,0.6641,1999.970355,-8.67,-0.43,13,0.65,-8.67,-0.43,-3.4,0.00
56,空头出场,2025-11-20 22:00,XS,3010.11,0.6628,1999.939348,4.84,0.24,35.88,1.79,-17.7,-0.88,1.43,0.00
56,空头进场,2025-11-20 20:00,short,3017.41,0.6628,1999.939348,4.84,0.24,35.88,1.79,-17.7,-0.88,1.43,0.00
57,多头出场,2025-11-21 23:30,XL,2707.85,0.7224,1999.92828,-43.78,-2.19,3.21,0.16,-43.78,-2.19,-42.34,0.00
57,多头进场,2025-11-21 22:30,long,2768.45,0.7224,1999.92828,-43.78,-2.19,3.21,0.16,-43.78,-2.19,-42.34,0.00
58,多头出场,2025-11-22 01:00,Close entry(s) order long,2791.51,0.7246,1999.946722,22.78,1.14,31.19,1.56,-5.11,-0.26,-19.56,0.00
58,多头进场,2025-11-22 00:30,long,2760.07,0.7246,1999.946722,22.78,1.14,31.19,1.56,-5.11,-0.26,-19.56,0.00
59,空头出场,2025-11-22 05:30,XS,2771.82,0.7285,1999.856345,-19.41,-0.97,27.7,1.38,-33.57,-1.68,-38.98,0.00
59,空头进场,2025-11-22 02:00,short,2745.17,0.7285,1999.856345,-19.41,-0.97,27.7,1.38,-33.57,-1.68,-38.98,0.00
60,空头出场,2025-11-22 08:00,XS,2768.52,0.7273,1999.849537,-13.7,-0.68,28,1.40,-13.7,-0.68,-52.67,-0.01
60,空头进场,2025-11-22 06:00,short,2749.69,0.7273,1999.849537,-13.7,-0.68,28,1.40,-13.7,-0.68,-52.67,-0.01
61,空头出场,2025-11-22 14:30,XS,2765.61,0.7268,1999.761128,-10.28,-0.51,18.72,0.94,-10.28,-0.51,-62.96,-0.01
61,空头进场,2025-11-22 10:30,short,2751.46,0.7268,1999.761128,-10.28,-0.51,18.72,0.94,-10.28,-0.51,-62.96,-0.01
62,空头出场,2025-11-22 19:00,XS,2737.63,0.7331,1999.904131,-7.05,-0.35,17.98,0.90,-7.55,-0.38,-70.01,-0.01
62,空头进场,2025-11-22 16:00,short,2728.01,0.7331,1999.904131,-7.05,-0.35,17.98,0.90,-7.55,-0.38,-70.01,-0.01
63,空头出场,2025-11-23 06:00,XS,2758.72,0.7299,1999.896804,-13.69,-0.68,2.98,0.15,-13.69,-0.68,-83.7,-0.01
63,空头进场,2025-11-23 04:30,short,2739.96,0.7299,1999.896804,-13.69,-0.68,2.98,0.15,-13.69,-0.68,-83.7,-0.01
64,空头出场,2025-11-23 16:00,XS,2806.13,0.7191,1999.845864,-18.04,-0.90,1.05,0.05,-18.04,-0.90,-101.74,-0.01
64,空头进场,2025-11-23 15:00,short,2781.04,0.7191,1999.845864,-18.04,-0.90,1.05,0.05,-18.04,-0.90,-101.74,-0.01
65,空头出场,2025-11-24 03:00,XS,2815.49,0.7146,1999.729494,-12.22,-0.61,8.3,0.41,-12.42,-0.62,-113.96,-0.01
65,空头进场,2025-11-24 00:30,short,2798.39,0.7146,1999.729494,-12.22,-0.61,8.3,0.41,-12.42,-0.62,-113.96,-0.01
66,空头出场,2025-11-24 08:00,Close entry(s) order short,2784.28,0.7129,1999.741532,14.83,0.74,29.95,1.50,-1.19,-0.06,-99.13,-0.01
66,空头进场,2025-11-24 07:00,short,2805.08,0.7129,1999.741532,14.83,0.74,29.95,1.50,-1.19,-0.06,-99.13,-0.01
67,空头出场,2025-11-24 13:00,XS,2853.06,0.7108,1999.807368,-28.15,-1.41,0.28,0.01,-28.15,-1.41,-127.28,-0.01
67,空头进场,2025-11-24 12:00,short,2813.46,0.7108,1999.807368,-28.15,-1.41,0.28,0.01,-28.15,-1.41,-127.28,-0.01
68,空头出场,2025-11-24 21:00,XS,2821.92,0.707,1999.8202,4.72,0.24,28.97,1.45,-11.07,-0.55,-122.56,-0.01
68,空头进场,2025-11-24 15:00,short,2828.6,0.707,1999.8202,4.72,0.24,28.97,1.45,-11.07,-0.55,-122.56,-0.01
69,空头出场,2025-11-24 22:30,XS,2828.07,0.7104,1999.825728,-9.24,-0.46,20.47,1.02,-9.24,-0.46,-131.79,-0.01
69,空头进场,2025-11-24 21:30,short,2815.07,0.7104,1999.825728,-9.24,-0.46,20.47,1.02,-9.24,-0.46,-131.79,-0.01
70,空头出场,2025-11-25 12:30,XS,2941.1,0.6853,1999.91099,-15.62,-0.78,9.64,0.48,-15.62,-0.78,-147.42,-0.01
70,空头进场,2025-11-25 09:30,short,2918.3,0.6853,1999.91099,-15.62,-0.78,9.64,0.48,-15.62,-0.78,-147.42,-0.01
71,空头出场,2025-11-25 16:30,Close entry(s) order short,2871.15,0.6846,1999.894596,34.31,1.72,35.82,1.79,-10.09,-0.50,-113.11,-0.01
71,空头进场,2025-11-25 13:00,short,2921.26,0.6846,1999.894596,34.31,1.72,35.82,1.79,-10.09,-0.50,-113.11,-0.01
72,多头出场,2025-11-25 20:30,Close entry(s) order long,2926.58,0.6848,1999.828288,4.29,0.21,8.02,0.40,-4.98,-0.25,-108.82,-0.01
72,多头进场,2025-11-25 20:00,long,2920.31,0.6848,1999.828288,4.29,0.21,8.02,0.40,-4.98,-0.25,-108.82,-0.01
73,空头出场,2025-11-25 23:00,XS,2890.12,0.688,1999.8096,11.41,0.57,33.86,1.69,-9.65,-0.48,-97.41,-0.01
73,空头进场,2025-11-25 21:30,short,2906.7,0.688,1999.8096,11.41,0.57,33.86,1.69,-9.65,-0.48,-97.41,-0.01
74,空头出场,2025-11-26 04:00,XS,2924.83,0.6933,1999.816917,-27.97,-1.40,1.53,0.08,-27.97,-1.40,-125.38,-0.01
74,空头进场,2025-11-26 03:00,short,2884.49,0.6933,1999.816917,-27.97,-1.40,1.53,0.08,-27.97,-1.40,-125.38,-0.01
75,空头出场,2025-11-26 14:00,XS,2950.78,0.6835,1999.97568,-16.88,-0.84,4.03,0.20,-17.37,-0.87,-142.26,-0.01
75,空头进场,2025-11-26 11:30,short,2926.08,0.6835,1999.97568,-16.88,-0.84,4.03,0.20,-17.37,-0.87,-142.26,-0.01
76,空头出场,2025-11-26 20:00,Close entry(s) order short,2899.91,0.6806,1999.766144,26.09,1.30,34.1,1.71,-6.85,-0.34,-116.18,-0.01
76,空头进场,2025-11-26 14:00,short,2938.24,0.6806,1999.766144,26.09,1.30,34.1,1.71,-6.85,-0.34,-116.18,-0.01
77,多头出场,2025-11-26 22:30,XL,2912.84,0.6818,1999.842124,-13.87,-0.69,8.52,0.43,-13.87,-0.69,-130.04,-0.01
77,多头进场,2025-11-26 21:30,long,2933.18,0.6818,1999.842124,-13.87,-0.69,8.52,0.43,-13.87,-0.69,-130.04,-0.01
78,多头出场,2025-11-27 00:30,Close entry(s) order long,2944.94,0.6813,1999.785825,6.6,0.33,15.66,0.78,-17.96,-0.90,-123.44,-0.01
78,多头进场,2025-11-26 23:00,long,2935.25,0.6813,1999.785825,6.6,0.33,15.66,0.78,-17.96,-0.90,-123.44,-0.01
79,空头出场,2025-11-27 17:30,XS,3042.64,0.6615,1999.707885,-13,-0.65,3.17,0.16,-13,-0.65,-136.44,-0.01
79,空头进场,2025-11-27 16:00,short,3022.99,0.6615,1999.707885,-13,-0.65,3.17,0.16,-13,-0.65,-136.44,-0.01
80,空头出场,2025-11-27 23:00,XS,3009.02,0.6635,1999.97478,3.49,0.17,18.39,0.92,-1.76,-0.09,-132.95,-0.01
80,空头进场,2025-11-27 20:00,short,3014.28,0.6635,1999.97478,3.49,0.17,18.39,0.92,-1.76,-0.09,-132.95,-0.01
81,空头出场,2025-11-28 09:00,Close entry(s) order short,3001.7,0.6642,1999.886274,6.16,0.31,10.49,0.52,-8.57,-0.43,-126.79,-0.01
81,空头进场,2025-11-28 06:30,short,3010.97,0.6642,1999.886274,6.16,0.31,10.49,0.52,-8.57,-0.43,-126.79,-0.01
82,多头出场,2025-11-28 14:30,XL,3009.91,0.6628,1999.992372,-5.02,-0.25,7.37,0.37,-5.02,-0.25,-131.82,-0.01
82,多头进场,2025-11-28 12:30,long,3017.49,0.6628,1999.992372,-5.02,-0.25,7.37,0.37,-5.02,-0.25,-131.82,-0.01
83,多头出场,2025-11-28 15:30,XL,3001.84,0.6619,1999.944088,-13.03,-0.65,0.03,0.00,-13.81,-0.69,-144.84,-0.01
83,多头进场,2025-11-28 15:00,long,3021.52,0.6619,1999.944088,-13.03,-0.65,0.03,0.00,-13.81,-0.69,-144.84,-0.01
84,多头出场,2025-11-28 16:30,Close entry(s) order long,3063.68,0.6626,1999.812938,30.18,1.51,36.74,1.84,-1.86,-0.09,-114.66,-0.01
84,多头进场,2025-11-28 16:00,long,3018.13,0.6626,1999.812938,30.18,1.51,36.74,1.84,-1.86,-0.09,-114.66,-0.01
85,空头出场,2025-11-29 01:00,Close entry(s) order short,3017.63,0.66,1999.8264,8.19,0.41,11.73,0.59,-6.04,-0.30,-106.47,-0.01
85,空头进场,2025-11-29 00:00,short,3030.04,0.66,1999.8264,8.19,0.41,11.73,0.59,-6.04,-0.30,-106.47,-0.01
86,多头出场,2025-11-29 06:00,XL,3029.94,0.6573,1999.743228,-8.16,-0.41,11.59,0.58,-8.16,-0.41,-114.64,-0.01
86,多头进场,2025-11-29 02:30,long,3042.36,0.6573,1999.743228,-8.16,-0.41,11.59,0.58,-8.16,-0.41,-114.64,-0.01
87,多头出场,2025-11-29 14:00,XL,3024.11,0.6574,1999.77793,-11.73,-0.59,1.3,0.07,-11.73,-0.59,-126.36,-0.01
87,多头进场,2025-11-29 12:30,long,3041.95,0.6574,1999.77793,-11.73,-0.59,1.3,0.07,-11.73,-0.59,-126.36,-0.01
88,多头出场,2025-11-30 01:00,XL,2995.66,0.6648,1999.858008,-8.34,-0.42,2.67,0.13,-8.34,-0.42,-134.71,-0.01
88,多头进场,2025-11-29 23:30,long,3008.21,0.6648,1999.858008,-8.34,-0.42,2.67,0.13,-8.34,-0.42,-134.71,-0.01
89,多头出场,2025-11-30 10:30,XL,2997.56,0.6672,1999.771872,0.2,0.01,10.58,0.53,-1.13,-0.06,-134.51,-0.01
89,多头进场,2025-11-30 08:00,long,2997.26,0.6672,1999.771872,0.2,0.01,10.58,0.53,-1.13,-0.06,-134.51,-0.01
90,多头出场,2025-11-30 13:00,XL,2988.28,0.666,1999.9314,-9.74,-0.49,1.1,0.05,-9.74,-0.49,-144.24,-0.01
90,多头进场,2025-11-30 11:30,long,3002.9,0.666,1999.9314,-9.74,-0.49,1.1,0.05,-9.74,-0.49,-144.24,-0.01
91,多头出场,2025-11-30 16:00,Close entry(s) order long,3010.25,0.6669,1999.946403,7.59,0.38,13.61,0.68,-0.99,-0.05,-136.65,-0.01
91,多头进场,2025-11-30 14:00,long,2998.87,0.6669,1999.946403,7.59,0.38,13.61,0.68,-0.99,-0.05,-136.65,-0.01
92,空头出场,2025-12-01 06:00,XS,3036.02,0.6614,1999.895022,-8.13,-0.41,2.61,0.13,-8.13,-0.41,-144.78,-0.01
92,空头进场,2025-12-01 05:00,short,3023.73,0.6614,1999.895022,-8.13,-0.41,2.61,0.13,-8.13,-0.41,-144.78,-0.01
93,多头出场,2025-12-02 07:00,Close entry(s) order long,2813.01,0.7182,1999.878174,20.43,1.02,20.82,1.04,-0.06,0.00,-124.36,-0.01
