交易 #,类型,日期和时间,信号,价格 USD,大小（数量）,大小（价值）,净损益 USD,净损益 %,有利波动 USD,有利波动 %,不利波动 USD,不利波动 %,累计P&L USD,累计P&L %
9,多头进场,2025-04-06 07:00,long,1805.31,2,3610.62,-21.26,-0.59,21.34,0.59,-44.66,-1.24,-234.3,-0.23
10,空头出场,2025-04-07 22:00,long,1569.5,2,3589.36,450.36,12.55,762.52,21.24,-2.56,-0.07,216.06,0.22
10,空头进场,2025-04-06 16:00,short,1794.68,2,3589.36,450.36,12.55,762.52,21.24,-2.56,-0.07,216.06,0.22
11,多头出场,2025-04-08 16:00,short,1565.99,2,3139,-7.02,-0.22,96.14,3.06,-87.88,-2.80,209.04,0.21
11,多头进场,2025-04-07 22:00,long,1569.5,2,3139,-7.02,-0.22,96.14,3.06,-87.88,-2.80,209.04,0.21
12,空头出场,2025-04-08 19:00,long,1587.28,2,3131.98,-42.58,-1.36,4.3,0.14,-46.08,-1.47,166.46,0.17
12,空头进场,2025-04-08 16:00,short,1565.99,2,3131.98,-42.58,-1.36,4.3,0.14,-46.08,-1.47,166.46,0.17
13,多头出场,2025-04-08 22:00,short,1530.49,2,3174.56,-113.58,-3.58,10.78,0.34,-114.32,-3.60,52.88,0.05
13,多头进场,2025-04-08 19:00,long,1587.28,2,3174.56,-113.58,-3.58,10.78,0.34,-114.32,-3.60,52.88,0.05
14,空头出场,2025-04-09 16:00,long,1481.16,2,3060.98,98.66,3.22,289.96,9.47,-15.52,-0.51,151.54,0.15
14,空头进场,2025-04-08 22:00,short,1530.49,2,3060.98,98.66,3.22,289.96,9.47,-15.52,-0.51,151.54,0.15
15,多头出场,2025-04-09 19:00,short,1454.09,2,2962.32,-54.14,-1.83,27.68,0.93,-74.08,-2.50,97.4,0.10
15,多头进场,2025-04-09 16:00,long,1481.16,2,2962.32,-54.14,-1.83,27.68,0.93,-74.08,-2.50,97.4,0.10
16,空头出场,2025-04-09 22:00,long,1469.66,2,2908.18,-31.14,-1.07,28.12,0.97,-90.98,-3.13,66.26,0.07
16,空头进场,2025-04-09 19:00,short,1454.09,2,2908.18,-31.14,-1.07,28.12,0.97,-90.98,-3.13,66.26,0.07
17,多头出场,2025-04-10 13:00,short,1616.66,2,2939.32,294,10.00,433.5,14.75,-2.78,-0.09,360.26,0.36
17,多头进场,2025-04-09 22:00,long,1469.66,2,2939.32,294,10.00,433.5,14.75,-2.78,-0.09,360.26,0.36
18,空头出场,2025-04-11 13:00,long,1548.34,2,3233.32,136.64,4.23,286.68,8.87,-14.58,-0.45,496.9,0.50
18,空头进场,2025-04-10 13:00,short,1616.66,2,3233.32,136.64,4.23,286.68,8.87,-14.58,-0.45,496.9,0.50
19,多头出场,2025-04-12 07:00,short,1565.84,2,3096.68,35,1.13,80.96,2.61,-20.7,-0.67,531.9,0.53
19,多头进场,2025-04-11 13:00,long,1548.34,2,3096.68,35,1.13,80.96,2.61,-20.7,-0.67,531.9,0.53
20,空头出场,2025-04-12 13:00,long,1567.83,2,3131.68,-3.98,-0.13,39.48,1.26,-11.8,-0.38,527.92,0.53
20,空头进场,2025-04-12 07:00,short,1565.84,2,3131.68,-3.98,-0.13,39.48,1.26,-11.8,-0.38,527.92,0.53
21,多头出场,2025-04-13 10:00,short,1625.21,2,3135.66,114.76,3.66,199.38,6.36,0,0.00,642.68,0.64
21,多头进场,2025-04-12 13:00,long,1567.83,2,3135.66,114.76,3.66,199.38,6.36,0,0.00,642.68,0.64
22,空头出场,2025-04-14 01:00,long,1637.51,2,3250.42,-24.6,-0.76,118.24,3.64,-44,-1.35,618.08,0.62
22,空头进场,2025-04-13 10:00,short,1625.21,2,3250.42,-24.6,-0.76,118.24,3.64,-44,-1.35,618.08,0.62
23,多头出场,2025-04-14 04:00,short,1590.54,2,3275.02,-93.94,-2.87,17.56,0.54,-147.74,-4.51,524.14,0.52
23,多头进场,2025-04-14 01:00,long,1637.51,2,3275.02,-93.94,-2.87,17.56,0.54,-147.74,-4.51,524.14,0.52
24,空头出场,2025-04-14 10:00,long,1635.14,2,3181.08,-89.2,-2.80,35.56,1.12,-137.6,-4.33,434.94,0.43
24,空头进场,2025-04-14 04:00,short,1590.54,2,3181.08,-89.2,-2.80,35.56,1.12,-137.6,-4.33,434.94,0.43
25,多头出场,2025-04-15 01:00,short,1647.61,2,3270.28,24.94,0.76,110.48,3.38,-44.68,-1.37,459.88,0.46
25,多头进场,2025-04-14 10:00,long,1635.14,2,3270.28,24.94,0.76,110.48,3.38,-44.68,-1.37,459.88,0.46
26,空头出场,2025-04-15 13:00,long,1638.96,2,3295.22,17.3,0.53,79.68,2.42,-6.82,-0.21,477.18,0.48
26,空头进场,2025-04-15 01:00,short,1647.61,2,3295.22,17.3,0.53,79.68,2.42,-6.82,-0.21,477.18,0.48
27,多头出场,2025-04-15 19:00,short,1632,2,3277.92,-13.92,-0.42,24.86,0.76,-32.52,-0.99,463.26,0.46
27,多头进场,2025-04-15 13:00,long,1638.96,2,3277.92,-13.92,-0.42,24.86,0.76,-32.52,-0.99,463.26,0.46
28,空头出场,2025-04-16 19:00,long,1584.02,2,3264,95.96,2.94,154.32,4.73,-57,-1.75,559.22,0.56
28,空头进场,2025-04-15 19:00,short,1632,2,3264,95.96,2.94,154.32,4.73,-57,-1.75,559.22,0.56
29,多头出场,2025-04-17 01:00,short,1545.54,2,3168.04,-76.96,-2.43,55.84,1.76,-89.74,-2.83,482.26,0.48
29,多头进场,2025-04-16 19:00,long,1584.02,2,3168.04,-76.96,-2.43,55.84,1.76,-89.74,-2.83,482.26,0.48
30,空头出场,2025-04-17 04:00,long,1573.28,2,3091.08,-55.48,-1.79,3.8,0.12,-99.32,-3.21,426.78,0.43
30,空头进场,2025-04-17 01:00,short,1545.54,2,3091.08,-55.48,-1.79,3.8,0.12,-99.32,-3.21,426.78,0.43
31,多头出场,2025-04-17 22:00,short,1569.88,2,3146.56,-6.8,-0.22,74.18,2.36,-19.54,-0.62,419.98,0.42
31,多头进场,2025-04-17 04:00,long,1573.28,2,3146.56,-6.8,-0.22,74.18,2.36,-19.54,-0.62,419.98,0.42
32,空头出场,2025-04-18 01:00,long,1610.04,2,3139.76,-80.32,-2.56,0,0.00,-92.66,-2.95,339.66,0.34
32,空头进场,2025-04-17 22:00,short,1569.88,2,3139.76,-80.32,-2.56,0,0.00,-92.66,-2.95,339.66,0.34
33,多头出场,2025-04-18 04:00,short,1584.5,2,3220.08,-51.08,-1.59,11.2,0.35,-65.42,-2.03,288.58,0.29
33,多头进场,2025-04-18 01:00,long,1610.04,2,3220.08,-51.08,-1.59,11.2,0.35,-65.42,-2.03,288.58,0.29
34,空头出场,2025-04-18 16:00,long,1586.67,2,3169,-4.34,-0.14,21.64,0.68,-16.12,-0.51,284.24,0.28
34,空头进场,2025-04-18 04:00,short,1584.5,2,3169,-4.34,-0.14,21.64,0.68,-16.12,-0.51,284.24,0.28
35,多头出场,2025-04-19 07:00,short,1588.66,2,3173.34,3.98,0.13,27.66,0.87,-13.66,-0.43,288.22,0.29
35,多头进场,2025-04-18 16:00,long,1586.67,2,3173.34,3.98,0.13,27.66,0.87,-13.66,-0.43,288.22,0.29
36,空头出场,2025-04-19 10:00,long,1592.22,2,3177.32,-7.12,-0.22,7.08,0.22,-14.72,-0.46,281.1,0.28
36,空头进场,2025-04-19 07:00,short,1588.66,2,3177.32,-7.12,-0.22,7.08,0.22,-14.72,-0.46,281.1,0.28
37,多头出场,2025-04-19 19:00,short,1596.65,2,3184.44,8.86,0.28,41.68,1.31,-0.32,-0.01,289.96,0.29
37,多头进场,2025-04-19 10:00,long,1592.22,2,3184.44,8.86,0.28,41.68,1.31,-0.32,-0.01,289.96,0.29
38,空头出场,2025-04-19 22:00,long,1606,2,3193.3,-18.7,-0.59,3.24,0.10,-22.3,-0.70,271.26,0.27
38,空头进场,2025-04-19 19:00,short,1596.65,2,3193.3,-18.7,-0.59,3.24,0.10,-22.3,-0.70,271.26,0.27
39,多头出场,2025-04-20 13:00,short,1609.8,2,3212,7.6,0.24,47.48,1.48,-15.24,-0.47,278.86,0.28
39,多头进场,2025-04-19 22:00,long,1606,2,3212,7.6,0.24,47.48,1.48,-15.24,-0.47,278.86,0.28
40,空头出场,2025-04-21 04:00,long,1589.68,2,3219.6,40.24,1.25,88.02,2.73,-6.44,-0.20,319.1,0.32
40,空头进场,2025-04-20 13:00,short,1609.8,2,3219.6,40.24,1.25,88.02,2.73,-6.44,-0.20,319.1,0.32
41,多头出场,2025-04-21 19:00,short,1626.43,2,3179.36,73.5,2.31,136.18,4.28,-29.78,-0.94,392.6,0.39
41,多头进场,2025-04-21 04:00,long,1589.68,2,3179.36,73.5,2.31,136.18,4.28,-29.78,-0.94,392.6,0.39
42,空头出场,2025-04-21 22:00,long,1634.05,2,3252.86,-15.24,-0.47,35.22,1.08,-29.16,-0.90,377.36,0.38
42,空头进场,2025-04-21 19:00,short,1626.43,2,3252.86,-15.24,-0.47,35.22,1.08,-29.16,-0.90,377.36,0.38
43,多头出场,2025-04-22 01:00,short,1578.14,2,3268.1,-111.82,-3.42,1.72,0.05,-124.7,-3.82,265.54,0.27
43,多头进场,2025-04-21 22:00,long,1634.05,2,3268.1,-111.82,-3.42,1.72,0.05,-124.7,-3.82,265.54,0.27
44,空头出场,2025-04-22 13:00,long,1583.75,2,3156.28,-11.22,-0.36,73.44,2.33,-31.04,-0.98,254.32,0.25
44,空头进场,2025-04-22 01:00,short,1578.14,2,3156.28,-11.22,-0.36,73.44,2.33,-31.04,-0.98,254.32,0.25
45,多头出场,2025-04-23 22:00,short,1788.9,2,3167.5,410.3,12.95,499.28,15.76,-17.5,-0.55,664.62,0.66
45,多头进场,2025-04-22 13:00,long,1583.75,2,3167.5,410.3,12.95,499.28,15.76,-17.5,-0.55,664.62,0.66
46,空头出场,2025-04-24 01:00,long,1801.26,2,3577.8,-24.72,-0.69,53.14,1.49,-30.76,-0.86,639.9,0.64
46,空头进场,2025-04-23 22:00,short,1788.9,2,3577.8,-24.72,-0.69,53.14,1.49,-30.76,-0.86,639.9,0.64
47,多头出场,2025-04-24 04:00,short,1796.37,2,3602.52,-9.78,-0.27,18.6,0.52,-51.96,-1.44,630.12,0.63
47,多头进场,2025-04-24 01:00,long,1801.26,2,3602.52,-9.78,-0.27,18.6,0.52,-51.96,-1.44,630.12,0.63
48,空头出场,2025-04-24 22:00,long,1765.88,2,3592.74,60.98,1.70,144.64,4.03,-21.94,-0.61,691.1,0.69
48,空头进场,2025-04-24 04:00,short,1796.37,2,3592.74,60.98,1.70,144.64,4.03,-21.94,-0.61,691.1,0.69
49,多头出场,2025-04-25 01:00,short,1756.16,2,3531.76,-19.44,-0.55,24.98,0.71,-38.08,-1.08,671.66,0.67
49,多头进场,2025-04-24 22:00,long,1765.88,2,3531.76,-19.44,-0.55,24.98,0.71,-38.08,-1.08,671.66,0.67
50,空头出场,2025-04-25 04:00,long,1763.01,2,3512.32,-13.7,-0.39,0.58,0.02,-29,-0.83,657.96,0.66
50,空头进场,2025-04-25 01:00,short,1756.16,2,3512.32,-13.7,-0.39,0.58,0.02,-29,-0.83,657.96,0.66
51,多头出场,2025-04-25 10:00,short,1745.27,2,3526.02,-35.48,-1.01,55.64,1.58,-46.02,-1.31,622.48,0.62
51,多头进场,2025-04-25 04:00,long,1763.01,2,3526.02,-35.48,-1.01,55.64,1.58,-46.02,-1.31,622.48,0.62
52,空头出场,2025-04-25 13:00,long,1767.88,2,3490.54,-45.22,-1.30,8.84,0.25,-53.34,-1.53,577.26,0.58
52,空头进场,2025-04-25 10:00,short,1745.27,2,3490.54,-45.22,-1.30,8.84,0.25,-53.34,-1.53,577.26,0.58
53,多头出场,2025-04-26 01:00,short,1786.55,2,3535.76,37.34,1.06,118.62,3.35,-18.7,-0.53,614.6,0.61
53,多头进场,2025-04-25 13:00,long,1767.88,2,3535.76,37.34,1.06,118.62,3.35,-18.7,-0.53,614.6,0.61
54,空头出场,2025-04-26 04:00,long,1799.04,2,3573.1,-24.98,-0.70,0.02,0.00,-40.38,-1.13,589.62,0.59
54,空头进场,2025-04-26 01:00,short,1786.55,2,3573.1,-24.98,-0.70,0.02,0.00,-40.38,-1.13,589.62,0.59
55,多头出场,2025-04-26 07:00,short,1785.22,2,3598.08,-27.64,-0.77,21.76,0.60,-28.4,-0.79,561.98,0.56
55,多头进场,2025-04-26 04:00,long,1799.04,2,3598.08,-27.64,-0.77,21.76,0.60,-28.4,-0.79,561.98,0.56
56,空头出场,2025-04-26 10:00,long,1809.08,2,3570.44,-47.72,-1.34,0,0.00,-62.86,-1.76,514.26,0.51
56,空头进场,2025-04-26 07:00,short,1785.22,2,3570.44,-47.72,-1.34,0,0.00,-62.86,-1.76,514.26,0.51
57,多头出场,2025-04-26 13:00,short,1795.59,2,3618.16,-26.98,-0.75,4.14,0.11,-37.82,-1.05,487.28,0.49
57,多头进场,2025-04-26 10:00,long,1809.08,2,3618.16,-26.98,-0.75,4.14,0.11,-37.82,-1.05,487.28,0.49
58,空头出场,2025-04-26 16:00,long,1807.52,2,3591.18,-23.86,-0.66,0.9,0.03,-88.7,-2.47,463.42,0.46
58,空头进场,2025-04-26 13:00,short,1795.59,2,3591.18,-23.86,-0.66,0.9,0.03,-88.7,-2.47,463.42,0.46
59,多头出场,2025-04-26 19:00,short,1786.99,2,3615.04,-41.06,-1.14,17.78,0.49,-53.28,-1.47,422.36,0.42
59,多头进场,2025-04-26 16:00,long,1807.52,2,3615.04,-41.06,-1.14,17.78,0.49,-53.28,-1.47,422.36,0.42
60,空头出场,2025-04-27 01:00,long,1805.56,2,3573.98,-37.14,-1.04,10.58,0.30,-42.5,-1.19,385.22,0.39
60,空头进场,2025-04-26 19:00,short,1786.99,2,3573.98,-37.14,-1.04,10.58,0.30,-42.5,-1.19,385.22,0.39
61,多头出场,2025-04-27 13:00,short,1799.22,2,3611.12,-12.68,-0.35,103.48,2.87,-28.72,-0.80,372.54,0.37
61,多头进场,2025-04-27 01:00,long,1805.56,2,3611.12,-12.68,-0.35,103.48,2.87,-28.72,-0.80,372.54,0.37
62,空头出场,2025-04-27 16:00,long,1810.64,2,3598.44,-22.84,-0.63,2.84,0.08,-33.24,-0.92,349.7,0.35
62,空头进场,2025-04-27 13:00,short,1799.22,2,3598.44,-22.84,-0.63,2.84,0.08,-33.24,-0.92,349.7,0.35
63,多头出场,2025-04-27 19:00,short,1806.63,2,3621.28,-8.02,-0.22,5.7,0.16,-12.58,-0.35,341.68,0.34
63,多头进场,2025-04-27 16:00,long,1810.64,2,3621.28,-8.02,-0.22,5.7,0.16,-12.58,-0.35,341.68,0.34
64,空头出场,2025-04-28 04:00,long,1803.05,2,3613.26,7.16,0.20,43.96,1.22,-4.44,-0.12,348.84,0.35
64,空头进场,2025-04-27 19:00,short,1806.63,2,3613.26,7.16,0.20,43.96,1.22,-4.44,-0.12,348.84,0.35
65,多头出场,2025-04-28 07:00,short,1791.79,2,3606.1,-22.52,-0.62,9.44,0.26,-35.36,-0.98,326.32,0.33
65,多头进场,2025-04-28 04:00,long,1803.05,2,3606.1,-22.52,-0.62,9.44,0.26,-35.36,-0.98,326.32,0.33
66,空头出场,2025-04-28 13:00,long,1796.28,2,3583.58,-8.98,-0.25,75.94,2.12,-22.36,-0.62,317.34,0.32
66,空头进场,2025-04-28 07:00,short,1791.79,2,3583.58,-8.98,-0.25,75.94,2.12,-22.36,-0.62,317.34,0.32
67,多头出场,2025-04-28 22:00,short,1782.68,2,3592.56,-27.2,-0.76,61.9,1.72,-31.1,-0.87,290.14,0.29
67,多头进场,2025-04-28 13:00,long,1796.28,2,3592.56,-27.2,-0.76,61.9,1.72,-31.1,-0.87,290.14,0.29
68,空头出场,2025-04-29 04:00,long,1786.5,2,3565.36,-7.64,-0.21,72.66,2.04,-44.7,-1.25,282.5,0.28
68,空头进场,2025-04-28 22:00,short,1782.68,2,3565.36,-7.64,-0.21,72.66,2.04,-44.7,-1.25,282.5,0.28
69,多头出场,2025-04-30 04:00,short,1809.1,2,3573,45.2,1.27,111.9,3.13,-9.22,-0.26,327.7,0.33
69,多头进场,2025-04-29 04:00,long,1786.5,2,3573,45.2,1.27,111.9,3.13,-9.22,-0.26,327.7,0.33
70,空头出场,2025-04-30 19:00,long,1816.12,2,3618.2,-14.04,-0.39,55.12,1.52,-15.2,-0.42,313.66,0.31
70,空头进场,2025-04-30 04:00,short,1809.1,2,3618.2,-14.04,-0.39,55.12,1.52,-15.2,-0.42,313.66,0.31
71,多头出场,2025-04-30 22:00,short,1759.79,2,3632.24,-112.66,-3.10,1.34,0.04,-165.26,-4.55,201,0.20
71,多头进场,2025-04-30 19:00,long,1816.12,2,3632.24,-112.66,-3.10,1.34,0.04,-165.26,-4.55,201,0.20
72,空头出场,2025-05-01 04:00,long,1794.84,2,3519.58,-70.1,-1.99,5.96,0.17,-100.38,-2.85,130.9,0.13
72,空头进场,2025-04-30 22:00,short,1759.79,2,3519.58,-70.1,-1.99,5.96,0.17,-100.38,-2.85,130.9,0.13
73,多头出场,2025-05-02 04:00,short,1839.71,2,3589.68,89.74,2.50,155.94,4.34,-10.2,-0.28,220.64,0.22
73,多头进场,2025-05-01 04:00,long,1794.84,2,3589.68,89.74,2.50,155.94,4.34,-10.2,-0.28,220.64,0.22
74,空头出场,2025-05-02 10:00,long,1847.34,2,3679.42,-15.26,-0.41,10.62,0.29,-24.18,-0.66,205.38,0.21
74,空头进场,2025-05-02 04:00,short,1839.71,2,3679.42,-15.26,-0.41,10.62,0.29,-24.18,-0.66,205.38,0.21
75,多头出场,2025-05-02 13:00,short,1832.64,2,3694.68,-29.4,-0.80,9.2,0.25,-33.42,-0.90,175.98,0.18
75,多头进场,2025-05-02 10:00,long,1847.34,2,3694.68,-29.4,-0.80,9.2,0.25,-33.42,-0.90,175.98,0.18
76,空头出场,2025-05-02 22:00,long,1849.34,2,3665.28,-33.4,-0.91,37.04,1.01,-38.82,-1.06,142.58,0.14
76,空头进场,2025-05-02 13:00,short,1832.64,2,3665.28,-33.4,-0.91,37.04,1.01,-38.82,-1.06,142.58,0.14
77,多头出场,2025-05-03 07:00,short,1842.63,2,3698.68,-13.42,-0.36,41.52,1.12,-33.72,-0.91,129.16,0.13
77,多头进场,2025-05-02 22:00,long,1849.34,2,3698.68,-13.42,-0.36,41.52,1.12,-33.72,-0.91,129.16,0.13
78,空头出场,2025-05-03 22:00,long,1835.83,2,3685.26,13.6,0.37,48.14,1.31,-2.1,-0.06,142.76,0.14
78,空头进场,2025-05-03 07:00,short,1842.63,2,3685.26,13.6,0.37,48.14,1.31,-2.1,-0.06,142.76,0.14
79,多头出场,2025-05-04 01:00,short,1824.72,2,3671.66,-22.22,-0.61,9.04,0.25,-48.78,-1.33,120.54,0.12
79,多头进场,2025-05-03 22:00,long,1835.83,2,3671.66,-22.22,-0.61,9.04,0.25,-48.78,-1.33,120.54,0.12
80,空头出场,2025-05-04 04:00,long,1839.33,2,3649.44,-29.22,-0.80,2.68,0.07,-31.06,-0.85,91.32,0.09
80,空头进场,2025-05-04 01:00,short,1824.72,2,3649.44,-29.22,-0.80,2.68,0.07,-31.06,-0.85,91.32,0.09
81,多头出场,2025-05-04 16:00,short,1831.49,2,3678.66,-15.68,-0.43,21.72,0.59,-24.16,-0.66,75.64,0.08
81,多头进场,2025-05-04 04:00,long,1839.33,2,3678.66,-15.68,-0.43,21.72,0.59,-24.16,-0.66,75.64,0.08
82,空头出场,2025-05-05 04:00,long,1836.54,2,3662.98,-10.1,-0.28,24.3,0.66,-22.04,-0.60,65.54,0.07
82,空头进场,2025-05-04 16:00,short,1831.49,2,3662.98,-10.1,-0.28,24.3,0.66,-22.04,-0.60,65.54,0.07
83,多头出场,2025-05-05 07:00,short,1809.26,2,3673.08,-54.56,-1.49,1.82,0.05,-65.14,-1.77,10.98,0.01
83,多头进场,2025-05-05 04:00,long,1836.54,2,3673.08,-54.56,-1.49,1.82,0.05,-65.14,-1.77,10.98,0.01
84,空头出场,2025-05-05 13:00,long,1816.67,2,3618.52,-14.82,-0.41,53.7,1.48,-18.64,-0.52,-3.84,0.00
84,空头进场,2025-05-05 07:00,short,1809.26,2,3618.52,-14.82,-0.41,53.7,1.48,-18.64,-0.52,-3.84,0.00
85,多头出场,2025-05-05 19:00,short,1804.82,2,3633.34,-23.7,-0.65,29.34,0.81,-35.8,-0.99,-27.54,-0.03
85,多头进场,2025-05-05 13:00,long,1816.67,2,3633.34,-23.7,-0.65,29.34,0.81,-35.8,-0.99,-27.54,-0.03
86,空头出场,2025-05-06 01:00,long,1814.68,2,3609.64,-19.72,-0.55,19.76,0.55,-25.86,-0.72,-47.26,-0.05
86,空头进场,2025-05-05 19:00,short,1804.82,2,3609.64,-19.72,-0.55,19.76,0.55,-25.86,-0.72,-47.26,-0.05
87,多头出场,2025-05-06 04:00,short,1808.91,2,3629.36,-11.54,-0.32,27.9,0.77,-29.84,-0.82,-58.8,-0.06
87,多头进场,2025-05-06 01:00,long,1814.68,2,3629.36,-11.54,-0.32,27.9,0.77,-29.84,-0.82,-58.8,-0.06
88,空头出场,2025-05-06 07:00,long,1820.28,2,3617.82,-22.74,-0.63,0.68,0.02,-48.44,-1.34,-81.54,-0.08
88,空头进场,2025-05-06 04:00,short,1808.91,2,3617.82,-22.74,-0.63,0.68,0.02,-48.44,-1.34,-81.54,-0.08
89,多头出场,2025-05-06 10:00,short,1803.68,2,3640.56,-33.2,-0.91,0.98,0.03,-54.4,-1.49,-114.74,-0.11
89,多头进场,2025-05-06 07:00,long,1820.28,2,3640.56,-33.2,-0.91,0.98,0.03,-54.4,-1.49,-114.74,-0.11
90,空头出场,2025-05-07 04:00,long,1775.36,2,3607.36,56.64,1.57,102.48,2.84,-10.94,-0.30,-58.1,-0.06
90,空头进场,2025-05-06 10:00,short,1803.68,2,3607.36,56.64,1.57,102.48,2.84,-10.94,-0.30,-58.1,-0.06
91,多头出场,2025-05-07 22:00,short,1822.57,2,3550.72,94.42,2.66,148.84,4.19,-19.64,-0.55,36.32,0.04
91,多头进场,2025-05-07 04:00,long,1775.36,2,3550.72,94.42,2.66,148.84,4.19,-19.64,-0.55,36.32,0.04
92,空头出场,2025-05-08 07:00,long,1811.07,2,3645.14,23,0.63,70.72,1.94,-5.38,-0.15,59.32,0.06
92,空头进场,2025-05-07 22:00,short,1822.57,2,3645.14,23,0.63,70.72,1.94,-5.38,-0.15,59.32,0.06
93,多头出场,2025-05-09 22:00,short,2305.46,2,3622.14,988.78,27.30,1353.62,37.37,-3.84,-0.11,1048.1,1.05
93,多头进场,2025-05-08 07:00,long,1811.07,2,3622.14,988.78,27.30,1353.62,37.37,-3.84,-0.11,1048.1,1.05
94,空头出场,2025-05-10 01:00,long,2350.26,2,4610.92,-89.6,-1.94,60.32,1.31,-98.18,-2.13,958.5,0.96
94,空头进场,2025-05-09 22:00,short,2305.46,2,4610.92,-89.6,-1.94,60.32,1.31,-98.18,-2.13,958.5,0.96
95,多头出场,2025-05-10 04:00,short,2340.01,2,4700.52,-20.5,-0.44,4.2,0.09,-79.94,-1.70,938,0.94
95,多头进场,2025-05-10 01:00,long,2350.26,2,4700.52,-20.5,-0.44,4.2,0.09,-79.94,-1.70,938,0.94
96,空头出场,2025-05-10 16:00,long,2382.28,2,4680.02,-84.54,-1.81,40.16,0.86,-190.16,-4.06,853.46,0.85
96,空头进场,2025-05-10 04:00,short,2340.01,2,4680.02,-84.54,-1.81,40.16,0.86,-190.16,-4.06,853.46,0.85
97,多头出场,2025-05-11 16:00,short,2481.2,2,4764.56,197.84,4.15,443.58,9.31,-31.54,-0.66,1051.3,1.05
97,多头进场,2025-05-10 16:00,long,2382.28,2,4764.56,197.84,4.15,443.58,9.31,-31.54,-0.66,1051.3,1.05
98,空头出场,2025-05-11 19:00,long,2531.02,2,4962.4,-99.64,-2.01,0.02,0.00,-107.5,-2.17,951.66,0.95
98,空头进场,2025-05-11 16:00,short,2481.2,2,4962.4,-99.64,-2.01,0.02,0.00,-107.5,-2.17,951.66,0.95
99,多头出场,2025-05-11 22:00,short,2486.26,2,5062.04,-89.52,-1.77,1.72,0.03,-128.38,-2.54,862.14,0.86
99,多头进场,2025-05-11 19:00,long,2531.02,2,5062.04,-89.52,-1.77,1.72,0.03,-128.38,-2.54,862.14,0.86
100,空头出场,2025-05-12 04:00,long,2510.22,2,4972.52,-47.92,-0.96,93.94,1.89,-78.22,-1.57,814.22,0.81
100,空头进场,2025-05-11 22:00,short,2486.26,2,4972.52,-47.92,-0.96,93.94,1.89,-78.22,-1.57,814.22,0.81
101,多头出场,2025-05-12 13:00,short,2498.19,2,5020.44,-24.06,-0.48,75.58,1.51,-51.32,-1.02,790.16,0.79
101,多头进场,2025-05-12 04:00,long,2510.22,2,5020.44,-24.06,-0.48,75.58,1.51,-51.32,-1.02,790.16,0.79
102,空头出场,2025-05-12 16:00,long,2577.91,2,4996.38,-159.44,-3.19,20.44,0.41,-251.14,-5.03,630.72,0.63
102,空头进场,2025-05-12 13:00,short,2498.19,2,4996.38,-159.44,-3.19,20.44,0.41,-251.14,-5.03,630.72,0.63
